freq (Hz),leafValue( PSRR "vin_dc" 1.98 ) (dB)
10.00,-49.01
11.22,-49.01
12.59,-49.01
14.13,-49.01
15.85,-49.01
17.78,-49.01
19.95,-49.01
22.39,-49.01
25.12,-49.01
28.18,-49.01
31.62,-49.01
35.48,-49.01
39.81,-49.01
44.67,-49.01
50.12,-49.01
56.23,-49.01
63.10,-49.01
70.79,-49.01
79.43,-49.01
89.13,-49.01
100.0,-49.01
112.2,-49.01
125.9,-49.01
141.3,-49.00
158.5,-49.00
177.8,-49.00
199.5,-49.00
223.9,-49.00
251.2,-48.99
281.8,-48.99
316.2,-48.98
354.8,-48.97
398.1,-48.96
446.7,-48.95
501.2,-48.93
562.3,-48.91
631.0,-48.89
707.9,-48.86
794.3,-48.82
891.3,-48.77
1.000E3,-48.71
1.122E3,-48.64
1.259E3,-48.55
1.413E3,-48.44
1.585E3,-48.30
1.778E3,-48.13
1.995E3,-47.93
2.239E3,-47.69
2.512E3,-47.40
2.818E3,-47.07
3.162E3,-46.68
3.548E3,-46.24
3.981E3,-45.74
4.467E3,-45.18
5.012E3,-44.56
5.623E3,-43.90
6.310E3,-43.18
7.079E3,-42.42
7.943E3,-41.61
8.913E3,-40.77
10.00E3,-39.91
11.22E3,-39.01
12.59E3,-38.09
14.13E3,-37.16
15.85E3,-36.21
17.78E3,-35.24
19.95E3,-34.27
22.39E3,-33.29
25.12E3,-32.30
28.18E3,-31.31
31.62E3,-30.31
35.48E3,-29.31
39.81E3,-28.32
44.67E3,-27.32
50.12E3,-26.33
56.23E3,-25.33
63.10E3,-24.34
70.79E3,-23.36
79.43E3,-22.38
89.13E3,-21.41
100.0E3,-20.45
112.2E3,-19.50
125.9E3,-18.56
141.3E3,-17.63
158.5E3,-16.72
177.8E3,-15.83
199.5E3,-14.97
223.9E3,-14.13
251.2E3,-13.33
281.8E3,-12.57
316.2E3,-11.85
354.8E3,-11.19
398.1E3,-10.57
446.7E3,-10.01
501.2E3,-9.503
562.3E3,-9.056
631.0E3,-8.664
707.9E3,-8.326
794.3E3,-8.037
891.3E3,-7.793
1.000E6,-7.589
1.122E6,-7.420
1.259E6,-7.281
1.413E6,-7.167
1.585E6,-7.074
1.778E6,-6.999
1.995E6,-6.939
2.239E6,-6.890
2.512E6,-6.851
2.818E6,-6.820
3.162E6,-6.795
3.548E6,-6.776
3.981E6,-6.760
4.467E6,-6.748
5.012E6,-6.738
5.623E6,-6.731
6.310E6,-6.725
7.079E6,-6.721
7.943E6,-6.718
8.913E6,-6.716
10.00E6,-6.715
11.22E6,-6.715
12.59E6,-6.715
14.13E6,-6.715
15.85E6,-6.716
17.78E6,-6.717
19.95E6,-6.717
22.39E6,-6.718
25.12E6,-6.718
28.18E6,-6.719
31.62E6,-6.719
35.48E6,-6.719
39.81E6,-6.719
44.67E6,-6.720
50.12E6,-6.721
56.23E6,-6.723
63.10E6,-6.725
70.79E6,-6.727
79.43E6,-6.730
89.13E6,-6.733
100.0E6,-6.735
112.2E6,-6.737
125.9E6,-6.739
141.3E6,-6.740
158.5E6,-6.740
177.8E6,-6.740
199.5E6,-6.740
223.9E6,-6.740
251.2E6,-6.739
281.8E6,-6.738
316.2E6,-6.736
354.8E6,-6.733
398.1E6,-6.730
446.7E6,-6.725
501.2E6,-6.719
562.3E6,-6.712
631.0E6,-6.702
707.9E6,-6.690
794.3E6,-6.675
891.3E6,-6.656
1.000E9,-6.632
