freq (Hz),Loop Gain Phase (deg),Loop Gain dB20 (dB)
1.000,179.6,75.49
1.039,179.6,75.49
1.080,179.5,75.49
1.122,179.5,75.49
1.166,179.5,75.49
1.212,179.5,75.49
1.259,179.5,75.49
1.308,179.4,75.49
1.359,179.4,75.49
1.413,179.4,75.49
1.468,179.4,75.49
1.525,179.3,75.49
1.585,179.3,75.49
1.647,179.3,75.49
1.711,179.3,75.49
1.778,179.2,75.49
1.848,179.2,75.49
1.920,179.2,75.49
1.995,179.1,75.49
2.073,179.1,75.49
2.154,179.1,75.49
2.239,179.0,75.49
2.326,179.0,75.49
2.417,179.0,75.49
2.512,178.9,75.49
2.610,178.9,75.49
2.712,178.8,75.49
2.818,178.8,75.49
2.929,178.7,75.49
3.043,178.7,75.49
3.162,178.6,75.49
3.286,178.6,75.49
3.415,178.5,75.49
3.548,178.5,75.49
3.687,178.4,75.49
3.831,178.3,75.49
3.981,178.3,75.49
4.137,178.2,75.49
4.299,178.1,75.49
4.467,178.1,75.49
4.642,178.0,75.49
4.823,177.9,75.49
5.012,177.8,75.49
5.208,177.7,75.49
5.412,177.7,75.49
5.623,177.6,75.49
5.843,177.5,75.49
6.072,177.4,75.49
6.310,177.3,75.49
6.556,177.2,75.48
6.813,177.1,75.48
7.079,176.9,75.48
7.356,176.8,75.48
7.644,176.7,75.48
7.943,176.6,75.48
8.254,176.4,75.48
8.577,176.3,75.48
8.913,176.2,75.48
9.261,176.0,75.47
9.624,175.8,75.47
10.00,175.7,75.47
10.39,175.5,75.47
10.80,175.3,75.47
11.22,175.2,75.46
11.66,175.0,75.46
12.12,174.8,75.46
12.59,174.6,75.46
13.08,174.4,75.45
13.59,174.1,75.45
14.13,173.9,75.45
14.68,173.7,75.44
15.25,173.4,75.44
15.85,173.2,75.43
16.47,172.9,75.43
17.11,172.6,75.42
17.78,172.4,75.42
18.48,172.1,75.41
19.20,171.7,75.41
19.95,171.4,75.40
20.73,171.1,75.39
21.54,170.8,75.38
22.39,170.4,75.37
23.26,170.0,75.36
24.17,169.7,75.35
25.12,169.3,75.34
26.10,168.8,75.33
27.12,168.4,75.32
28.18,168.0,75.30
29.29,167.5,75.29
30.43,167.1,75.27
31.62,166.6,75.26
32.86,166.1,75.24
34.15,165.5,75.22
35.48,165.0,75.20
36.87,164.4,75.17
38.31,163.9,75.15
39.81,163.3,75.12
41.37,162.6,75.09
42.99,162.0,75.06
44.67,161.4,75.03
46.42,160.7,75.00
48.23,160.0,74.96
50.12,159.3,74.92
52.08,158.5,74.88
54.12,157.8,74.83
56.23,157.0,74.78
58.43,156.2,74.73
60.72,155.3,74.67
63.10,154.5,74.62
65.56,153.6,74.55
68.13,152.7,74.49
70.79,151.8,74.41
73.56,150.9,74.34
76.44,150.0,74.26
79.43,149.0,74.17
82.54,148.0,74.08
85.77,147.0,73.99
89.13,146.0,73.89
92.61,145.0,73.78
96.24,143.9,73.67
100.0,142.9,73.55
103.9,141.8,73.43
108.0,140.7,73.30
112.2,139.6,73.16
116.6,138.5,73.02
121.2,137.4,72.88
125.9,136.3,72.72
130.8,135.2,72.56
135.9,134.1,72.39
141.3,133.0,72.22
146.8,131.9,72.04
152.5,130.8,71.86
158.5,129.7,71.66
164.7,128.6,71.46
171.1,127.5,71.26
177.8,126.4,71.05
184.8,125.3,70.83
192.0,124.3,70.61
199.5,123.2,70.38
207.3,122.2,70.15
215.4,121.2,69.91
223.9,120.2,69.67
232.6,119.2,69.42
241.7,118.3,69.16
251.2,117.3,68.91
261.0,116.4,68.64
271.2,115.5,68.38
281.8,114.6,68.11
292.9,113.8,67.83
304.3,112.9,67.55
316.2,112.1,67.27
328.6,111.3,66.99
341.5,110.5,66.70
354.8,109.7,66.41
368.7,109.0,66.11
383.1,108.3,65.82
398.1,107.6,65.52
413.7,106.9,65.22
429.9,106.2,64.91
446.7,105.5,64.61
464.2,104.9,64.30
482.3,104.3,63.99
501.2,103.7,63.68
520.8,103.1,63.37
541.2,102.5,63.05
562.3,102.0,62.74
584.3,101.5,62.42
607.2,100.9,62.10
631.0,100.4,61.79
655.6,99.94,61.47
681.3,99.46,61.14
707.9,98.99,60.82
735.6,98.53,60.50
764.4,98.08,60.17
794.3,97.65,59.85
825.4,97.22,59.52
857.7,96.81,59.20
891.3,96.40,58.87
926.1,96.00,58.54
962.4,95.62,58.21
1.000E3,95.23,57.89
1.039E3,94.86,57.56
1.080E3,94.49,57.23
1.122E3,94.13,56.90
1.166E3,93.78,56.57
1.212E3,93.43,56.23
