freq (Hz),Loop Gain dB20 (dB),Loop Gain Phase (deg)
1.000,91.45,177.9
1.039,91.45,177.8
1.080,91.45,177.7
1.122,91.45,177.6
1.166,91.45,177.5
1.212,91.45,177.4
1.259,91.45,177.3
1.308,91.45,177.2
1.359,91.45,177.1
1.413,91.45,177.0
1.468,91.45,176.9
1.525,91.45,176.8
1.585,91.45,176.7
1.647,91.44,176.5
1.711,91.44,176.4
1.778,91.44,176.3
1.848,91.44,176.1
1.920,91.44,176.0
1.995,91.44,175.8
2.073,91.44,175.6
2.154,91.43,175.5
2.239,91.43,175.3
2.326,91.43,175.1
2.417,91.43,174.9
2.512,91.42,174.7
2.610,91.42,174.5
2.712,91.42,174.3
2.818,91.41,174.1
2.929,91.41,173.9
3.043,91.41,173.6
3.162,91.40,173.4
3.286,91.40,173.1
3.415,91.39,172.8
3.548,91.39,172.6
3.687,91.38,172.3
3.831,91.38,172.0
3.981,91.37,171.7
4.137,91.36,171.3
4.299,91.35,171.0
4.467,91.34,170.7
4.642,91.34,170.3
4.823,91.33,169.9
5.012,91.32,169.6
5.208,91.30,169.2
5.412,91.29,168.7
5.623,91.28,168.3
5.843,91.26,167.9
6.072,91.25,167.4
6.310,91.23,166.9
6.556,91.22,166.4
6.813,91.20,165.9
7.079,91.18,165.4
7.356,91.15,164.9
7.644,91.13,164.3
7.943,91.11,163.7
8.254,91.08,163.1
8.577,91.05,162.5
8.913,91.02,161.8
9.261,90.98,161.2
9.624,90.95,160.5
10.00,90.91,159.8
10.39,90.87,159.1
10.80,90.83,158.3
11.22,90.78,157.6
11.66,90.73,156.8
12.12,90.68,156.0
12.59,90.62,155.1
13.08,90.56,154.3
13.59,90.49,153.4
14.13,90.42,152.5
14.68,90.35,151.6
15.25,90.27,150.7
15.85,90.19,149.7
16.47,90.11,148.8
17.11,90.01,147.8
17.78,89.92,146.8
18.48,89.81,145.8
19.20,89.71,144.7
19.95,89.59,143.7
20.73,89.47,142.6
21.54,89.35,141.6
22.39,89.22,140.5
23.26,89.08,139.4
24.17,88.93,138.3
25.12,88.78,137.2
26.10,88.63,136.1
27.12,88.46,135.0
28.18,88.30,133.9
29.29,88.12,132.8
30.43,87.94,131.7
31.62,87.75,130.6
32.86,87.55,129.6
34.15,87.35,128.5
35.48,87.15,127.4
36.87,86.93,126.3
38.31,86.72,125.3
39.81,86.49,124.3
41.37,86.26,123.2
42.99,86.03,122.2
44.67,85.79,121.2
46.42,85.54,120.3
48.23,85.29,119.3
50.12,85.03,118.4
52.08,84.77,117.5
54.12,84.51,116.6
56.23,84.24,115.7
58.43,83.97,114.8
60.72,83.70,114.0
63.10,83.42,113.2
65.56,83.13,112.4
68.13,82.85,111.6
70.79,82.56,110.9
73.56,82.27,110.1
76.44,81.97,109.4
79.43,81.67,108.7
82.54,81.38,108.0
85.77,81.07,107.4
89.13,80.77,106.8
92.61,80.46,106.1
96.24,80.16,105.6
100.0,79.85,105.0
103.9,79.54,104.4
108.0,79.22,103.9
112.2,78.91,103.4
116.6,78.59,102.9
121.2,78.28,102.4
125.9,77.96,101.9
130.8,77.64,101.4
135.9,77.32,101.0
141.3,77.00,100.6
146.8,76.68,100.1
152.5,76.35,99.74
158.5,76.03,99.36
164.7,75.71,98.98
171.1,75.38,98.62
177.8,75.06,98.27
184.8,74.73,97.93
192.0,74.40,97.60
199.5,74.08,97.28
207.3,73.75,96.97
215.4,73.42,96.67
223.9,73.09,96.38
232.6,72.76,96.10
241.7,72.43,95.83
251.2,72.10,95.57
261.0,71.78,95.31
271.2,71.45,95.07
281.8,71.11,94.82
292.9,70.78,94.59
304.3,70.45,94.36
316.2,70.12,94.14
328.6,69.79,93.93
341.5,69.46,93.72
354.8,69.13,93.52
368.7,68.80,93.32
383.1,68.47,93.12
398.1,68.13,92.94
413.7,67.80,92.75
429.9,67.47,92.57
446.7,67.14,92.39
464.2,66.80,92.22
482.3,66.47,92.05
501.2,66.14,91.88
520.8,65.81,91.72
541.2,65.47,91.55
562.3,65.14,91.39
584.3,64.81,91.24
607.2,64.47,91.08
631.0,64.14,90.93
655.6,63.81,90.77
681.3,63.47,90.62
707.9,63.14,90.47
735.6,62.81,90.32
764.4,62.47,90.17
794.3,62.14,90.02
825.4,61.80,89.87
857.7,61.47,89.72
891.3,61.14,89.57
926.1,60.80,89.42
962.4,60.47,89.27
1.000E3,60.13,89.12
1.039E3,59.80,88.96
1.080E3,59.46,88.81
1.122E3,59.13,88.65
1.166E3,58.79,88.49
1.212E3,58.46,88.33
1.259E3,58.12,88.17
1.308E3,57.78,88.00
1.359E3,57.45,87.84
1.413E3,57.11,87.67
1.468E3,56.78,87.49
1.525E3,56.44,87.31
1.585E3,56.10,87.13
1.647E3,55.76,86.95
1.711E3,55.43,86.76
1.778E3,55.09,86.57
1.848E3,54.75,86.37
1.920E3,54.41,86.17
1.995E3,54.07,85.96
2.073E3,53.73,85.75
2.154E3,53.39,85.53
2.239E3,53.05,85.31
2.326E3,52.71,85.08
2.417E3,52.36,84.84
2.512E3,52.02,84.60
2.610E3,51.68,84.35
2.712E3,51.33,84.10
2.818E3,50.99,83.84
2.929E3,50.64,83.57
3.043E3,50.29,83.29
3.162E3,49.95,83.01
3.286E3,49.60,82.72
3.415E3,49.25,82.42
3.548E3,48.89,82.12
3.687E3,48.54,81.81
3.831E3,48.19,81.49
3.981E3,47.83,81.16
4.137E3,47.47,80.82
4.299E3,47.11,80.48
4.467E3,46.75,80.13
4.642E3,46.39,79.77
4.823E3,46.02,79.41
5.012E3,45.65,79.04
5.208E3,45.29,78.66
5.412E3,44.91,78.28
5.623E3,44.54,77.89
5.843E3,44.16,77.50
6.072E3,43.78,77.10
6.310E3,43.40,76.70
6.556E3,43.01,76.30
6.813E3,42.63,75.89
7.079E3,42.24,75.48
7.356E3,41.84,75.08
7.644E3,41.44,74.67
7.943E3,41.04,74.27
8.254E3,40.64,73.87
8.577E3,40.23,73.47
8.913E3,39.82,73.09
9.261E3,39.41,72.70
9.624E3,38.99,72.33
10.00E3,38.57,71.97
10.39E3,38.14,71.62
10.80E3,37.71,71.29
11.22E3,37.28,70.97
11.66E3,36.85,70.67
12.12E3,36.41,70.38
12.59E3,35.97,70.12
13.08E3,35.53,69.88
13.59E3,35.09,69.66
14.13E3,34.64,69.46
14.68E3,34.19,69.29
15.25E3,33.74,69.15
15.85E3,33.29,69.03
16.47E3,32.84,68.94
17.11E3,32.38,68.88
17.78E3,31.93,68.84
18.48E3,31.48,68.83
19.20E3,31.02,68.86
19.95E3,30.57,68.91
20.73E3,30.12,68.99
21.54E3,29.67,69.09
22.39E3,29.21,69.23
23.26E3,28.77,69.39
24.17E3,28.32,69.57
25.12E3,27.88,69.78
26.10E3,27.43,70.01
27.12E3,26.99,70.26
28.18E3,26.56,70.53
29.29E3,26.12,70.82
30.43E3,25.69,71.13
31.62E3,25.26,71.45
32.86E3,24.84,71.79
34.15E3,24.42,72.14
35.48E3,24.00,72.50
36.87E3,23.58,72.86
38.31E3,23.17,73.24
39.81E3,22.77,73.62
41.37E3,22.36,74.01
42.99E3,21.96,74.40
44.67E3,21.56,74.79
46.42E3,21.17,75.18
48.23E3,20.78,75.57
50.12E3,20.39,75.97
52.08E3,20.00,76.35
54.12E3,19.62,76.74
56.23E3,19.24,77.12
58.43E3,18.86,77.50
60.72E3,18.49,77.87
63.10E3,18.12,78.23
65.56E3,17.75,78.59
68.13E3,17.38,78.94
70.79E3,17.02,79.29
73.56E3,16.65,79.62
76.44E3,16.29,79.95
79.43E3,15.93,80.27
82.54E3,15.57,80.58
85.77E3,15.22,80.89
89.13E3,14.86,81.18
92.61E3,14.51,81.47
96.24E3,14.16,81.74
100.0E3,13.81,82.01
103.9E3,13.46,82.27
108.0E3,13.11,82.52
112.2E3,12.77,82.77
116.6E3,12.42,83.00
121.2E3,12.07,83.23
125.9E3,11.73,83.44
130.8E3,11.39,83.65
135.9E3,11.04,83.85
141.3E3,10.70,84.05
146.8E3,10.36,84.23
152.5E3,10.02,84.41
158.5E3,9.681,84.58
164.7E3,9.342,84.74
171.1E3,9.003,84.90
177.8E3,8.664,85.04
