freq (Hz),Loop Gain Phase (deg),Loop Gain dB20 (dB)
1.000,163.3,100.3
1.039,162.7,100.3
1.080,162.0,100.2
1.122,161.4,100.2
1.166,160.7,100.2
1.212,160.0,100.1
1.259,159.3,100.1
1.308,158.5,100.0
1.359,157.8,100.0
1.413,157.0,99.95
1.468,156.2,99.89
1.525,155.4,99.84
1.585,154.5,99.78
1.647,153.7,99.72
1.711,152.8,99.65
1.778,151.9,99.58
1.848,150.9,99.50
1.920,150.0,99.42
1.995,149.0,99.34
2.073,148.1,99.25
2.154,147.1,99.15
2.239,146.0,99.05
2.326,145.0,98.94
2.417,144.0,98.83
2.512,142.9,98.71
2.610,141.8,98.59
2.712,140.8,98.46
2.818,139.7,98.33
2.929,138.6,98.18
3.043,137.5,98.04
3.162,136.4,97.88
3.286,135.3,97.72
3.415,134.2,97.55
3.548,133.1,97.38
3.687,132.0,97.20
3.831,130.9,97.01
3.981,129.8,96.82
4.137,128.7,96.62
4.299,127.6,96.42
4.467,126.5,96.21
4.642,125.5,95.99
4.823,124.4,95.77
5.012,123.4,95.54
5.208,122.4,95.31
5.412,121.4,95.07
5.623,120.4,94.82
5.843,119.4,94.57
6.072,118.5,94.32
6.310,117.6,94.06
6.556,116.6,93.80
6.813,115.8,93.53
7.079,114.9,93.26
7.356,114.0,92.99
7.644,113.2,92.71
7.943,112.4,92.43
8.254,111.6,92.14
8.577,110.8,91.85
8.913,110.1,91.56
9.261,109.3,91.27
9.624,108.6,90.97
10.00,107.9,90.67
10.39,107.3,90.37
10.80,106.6,90.07
11.22,106.0,89.77
11.66,105.4,89.46
12.12,104.8,89.15
12.59,104.2,88.84
13.08,103.6,88.53
13.59,103.1,88.21
14.13,102.6,87.90
14.68,102.0,87.58
15.25,101.5,87.26
15.85,101.1,86.94
16.47,100.6,86.63
17.11,100.1,86.30
17.78,99.69,85.98
18.48,99.26,85.66
19.20,98.85,85.34
19.95,98.44,85.01
20.73,98.05,84.69
21.54,97.67,84.36
22.39,97.30,84.04
23.26,96.93,83.71
24.17,96.58,83.38
25.12,96.24,83.06
26.10,95.91,82.73
27.12,95.58,82.40
28.18,95.26,82.07
29.29,94.95,81.74
30.43,94.65,81.41
31.62,94.35,81.08
32.86,94.06,80.75
34.15,93.77,80.42
35.48,93.49,80.09
36.87,93.22,79.76
38.31,92.95,79.43
39.81,92.68,79.10
41.37,92.42,78.77
42.99,92.16,78.43
44.67,91.91,78.10
46.42,91.65,77.77
48.23,91.40,77.44
50.12,91.15,77.11
52.08,90.91,76.77
54.12,90.66,76.44
56.23,90.42,76.11
58.43,90.17,75.77
60.72,89.93,75.44
63.10,89.68,75.11
65.56,89.44,74.77
68.13,89.19,74.44
70.79,88.95,74.10
73.56,88.70,73.77
76.44,88.45,73.44
79.43,88.20,73.10
82.54,87.94,72.77
85.77,87.69,72.43
89.13,87.43,72.10
92.61,87.16,71.76
96.24,86.89,71.43
100.0,86.62,71.09
103.9,86.34,70.75
108.0,86.06,70.42
112.2,85.77,70.08
116.6,85.48,69.74
121.2,85.18,69.41
125.9,84.87,69.07
130.8,84.56,68.73
135.9,84.23,68.39
141.3,83.90,68.05
146.8,83.56,67.71
152.5,83.22,67.37
158.5,82.86,67.03
164.7,82.49,66.69
171.1,82.12,66.35
177.8,81.73,66.01
184.8,81.33,65.66
192.0,80.92,65.32
199.5,80.50,64.98
207.3,80.06,64.63
215.4,79.62,64.28
223.9,79.16,63.94
232.6,78.68,63.59
241.7,78.19,63.24
251.2,77.69,62.89
261.0,77.17,62.53
271.2,76.63,62.18
281.8,76.08,61.82
292.9,75.52,61.47
304.3,74.93,61.11
316.2,74.33,60.75
328.6,73.71,60.39
341.5,73.07,60.02
354.8,72.42,59.65
368.7,71.74,59.28
383.1,71.05,58.91
398.1,70.34,58.54
413.7,69.61,58.16
429.9,68.86,57.78
446.7,68.09,57.40
464.2,67.30,57.01
482.3,66.50,56.62
501.2,65.67,56.22
520.8,64.83,55.83
541.2,63.96,55.42
562.3,63.08,55.02
584.3,62.19,54.61
607.2,61.28,54.19
631.0,60.35,53.77
655.6,59.40,53.34
681.3,58.45,52.91
707.9,57.48,52.48
735.6,56.50,52.03
764.4,55.50,51.59
794.3,54.50,51.13
825.4,53.49,50.67
857.7,52.48,50.21
891.3,51.46,49.74
926.1,50.44,49.26
962.4,49.41,48.78
1.000E3,48.39,48.29
1.039E3,47.37,47.79
1.080E3,46.35,47.29
1.122E3,45.34,46.78
1.166E3,44.33,46.26
1.212E3,43.33,45.74
1.259E3,42.34,45.21
1.308E3,41.37,44.68
1.359E3,40.41,44.14
1.413E3,39.46,43.59
1.468E3,38.53,43.04
1.525E3,37.62,42.48
1.585E3,36.73,41.92
1.647E3,35.86,41.35
1.711E3,35.01,40.78
1.778E3,34.18,40.20
1.848E3,33.38,39.62
1.920E3,32.60,39.03
1.995E3,31.85,38.44
2.073E3,31.13,37.84
2.154E3,30.43,37.24
2.239E3,29.75,36.64
2.326E3,29.11,36.03
2.417E3,28.49,35.42
2.512E3,27.91,34.81
2.610E3,27.35,34.19
2.712E3,26.82,33.57
2.818E3,26.32,32.95
2.929E3,25.85,32.32
3.043E3,25.41,31.70
3.162E3,25.00,31.07
3.286E3,24.62,30.44
3.415E3,24.27,29.81
3.548E3,23.95,29.17
3.687E3,23.66,28.54
3.831E3,23.39,27.90
3.981E3,23.16,27.26
4.137E3,22.96,26.62
4.299E3,22.79,25.98
4.467E3,22.65,25.34
4.642E3,22.54,24.70
4.823E3,22.45,24.06
5.012E3,22.40,23.42
5.208E3,22.38,22.78
5.412E3,22.39,22.14
5.623E3,22.42,21.50
5.843E3,22.49,20.86
6.072E3,22.58,20.21
6.310E3,22.71,19.57
6.556E3,22.86,18.93
6.813E3,23.05,18.30
7.079E3,23.27,17.66
7.356E3,23.51,17.02
7.644E3,23.78,16.39
7.943E3,24.09,15.75
8.254E3,24.42,15.12
8.577E3,24.79,14.49
8.913E3,25.18,13.86
9.261E3,25.60,13.23
9.624E3,26.06,12.60
10.00E3,26.54,11.98
10.39E3,27.05,11.36
10.80E3,27.59,10.74
11.22E3,28.16,10.13
11.66E3,28.76,9.517
12.12E3,29.39,8.909
12.59E3,30.04,8.304
13.08E3,30.73,7.703
13.59E3,31.43,7.105
14.13E3,32.17,6.512
14.68E3,32.93,5.923
15.25E3,33.72,5.338
15.85E3,34.53,4.758
16.47E3,35.36,4.183
17.11E3,36.21,3.613
17.78E3,37.09,3.048
18.48E3,37.98,2.489
19.20E3,38.89,1.935
19.95E3,39.82,1.387
20.73E3,40.77,844.5E-3
21.54E3,41.73,308.1E-3
22.39E3,42.70,-222.3E-3
23.26E3,43.68,-746.5E-3
24.17E3,44.67,-1.264
25.12E3,45.67,-1.776
26.10E3,46.67,-2.281
27.12E3,47.68,-2.780
28.18E3,48.69,-3.273
29.29E3,49.70,-3.759
30.43E3,50.71,-4.239
31.62E3,51.72,-4.713
32.86E3,52.72,-5.181
34.15E3,53.71,-5.642
35.48E3,54.70,-6.098
36.87E3,55.68,-6.547
38.31E3,56.64,-6.991
39.81E3,57.60,-7.430
41.37E3,58.54,-7.862
42.99E3,59.47,-8.290
44.67E3,60.38,-8.713
46.42E3,61.28,-9.130
48.23E3,62.16,-9.543
50.12E3,63.02,-9.952
52.08E3,63.86,-10.36
54.12E3,64.69,-10.76
56.23E3,65.49,-11.15
58.43E3,66.28,-11.54
60.72E3,67.04,-11.93
63.10E3,67.79,-12.32
65.56E3,68.51,-12.70
68.13E3,69.22,-13.08
70.79E3,69.90,-13.45
73.56E3,70.57,-13.83
76.44E3,71.21,-14.20
79.43E3,71.84,-14.56
82.54E3,72.44,-14.93
85.77E3,73.03,-15.29
89.13E3,73.59,-15.65
92.61E3,74.14,-16.01
96.24E3,74.67,-16.37
100.0E3,75.18,-16.73
103.9E3,75.67,-17.08
108.0E3,76.14,-17.43
112.2E3,76.60,-17.79
116.6E3,77.04,-18.14
121.2E3,77.46,-18.49
125.9E3,77.87,-18.83
130.8E3,78.26,-19.18
135.9E3,78.63,-19.53
141.3E3,78.99,-19.87
146.8E3,79.34,-20.22
152.5E3,79.67,-20.56
158.5E3,79.99,-20.90
164.7E3,80.29,-21.24
171.1E3,80.58,-21.59
177.8E3,80.85,-21.93
184.8E3,81.12,-22.27
192.0E3,81.37,-22.61
199.5E3,81.61,-22.95
207.3E3,81.83,-23.29
215.4E3,82.05,-23.62
223.9E3,82.25,-23.96
232.6E3,82.45,-24.30
241.7E3,82.63,-24.64
251.2E3,82.80,-24.97
261.0E3,82.96,-25.31
271.2E3,83.11,-25.65
281.8E3,83.25,-25.98
292.9E3,83.39,-26.32
304.3E3,83.51,-26.66
316.2E3,83.62,-26.99
328.6E3,83.72,-27.33
341.5E3,83.82,-27.66
354.8E3,83.90,-28.00
368.7E3,83.98,-28.33
383.1E3,84.05,-28.67
398.1E3,84.10,-29.00
413.7E3,84.15,-29.34
429.9E3,84.20,-29.67
446.7E3,84.23,-30.01
464.2E3,84.25,-30.34
482.3E3,84.27,-30.68
501.2E3,84.28,-31.01
520.8E3,84.28,-31.34
541.2E3,84.27,-31.68
562.3E3,84.25,-32.01
584.3E3,84.23,-32.35
607.2E3,84.19,-32.68
631.0E3,84.15,-33.02
655.6E3,84.10,-33.35
681.3E3,84.04,-33.68
707.9E3,83.97,-34.02
735.6E3,83.89,-34.35
764.4E3,83.80,-34.68
794.3E3,83.71,-35.02
825.4E3,83.60,-35.35
857.7E3,83.49,-35.69
891.3E3,83.36,-36.02
926.1E3,83.23,-36.35
962.4E3,83.09,-36.69
1.000E6,82.93,-37.02
1.039E6,82.77,-37.35
1.080E6,82.60,-37.69
1.122E6,82.41,-38.02
1.166E6,82.21,-38.36
1.212E6,82.00,-38.69
1.259E6,81.78,-39.02
1.308E6,81.55,-39.36
1.359E6,81.31,-39.69
1.413E6,81.05,-40.02
1.468E6,80.78,-40.36
1.525E6,80.50,-40.69
1.585E6,80.20,-41.02
1.647E6,79.89,-41.36
1.711E6,79.56,-41.69
1.778E6,79.22,-42.03
1.848E6,78.86,-42.36
1.920E6,78.49,-42.69
1.995E6,78.10,-43.03
2.073E6,77.69,-43.36
2.154E6,77.27,-43.69
2.239E6,76.82,-44.03
2.326E6,76.36,-44.36
2.417E6,75.88,-44.70
2.512E6,75.38,-45.03
2.610E6,74.85,-45.36
2.712E6,74.31,-45.70
2.818E6,73.74,-46.03
2.929E6,73.15,-46.37
3.043E6,72.53,-46.70
3.162E6,71.89,-47.03
3.286E6,71.23,-47.37
3.415E6,70.53,-47.70
3.548E6,69.81,-48.04
3.687E6,69.07,-48.37
3.831E6,68.29,-48.71
3.981E6,67.48,-49.04
4.137E6,66.64,-49.37
4.299E6,65.77,-49.71
4.467E6,64.87,-50.04
4.642E6,63.93,-50.38
4.823E6,62.95,-50.71
5.012E6,61.94,-51.05
5.208E6,60.89,-51.39
5.412E6,59.80,-51.72
5.623E6,58.68,-52.06
5.843E6,57.51,-52.39
6.072E6,56.30,-52.73
6.310E6,55.04,-53.07
6.556E6,53.74,-53.40
6.813E6,52.40,-53.74
7.079E6,51.01,-54.08
7.356E6,49.57,-54.41
7.644E6,48.08,-54.75
7.943E6,46.55,-55.09
8.254E6,44.96,-55.43
8.577E6,43.32,-55.77
8.913E6,41.63,-56.11
9.261E6,39.88,-56.45
9.624E6,38.08,-56.79
10.00E6,36.23,-57.13
10.39E6,34.32,-57.47
10.80E6,32.35,-57.81
11.22E6,30.33,-58.15
11.66E6,28.25,-58.49
12.12E6,26.12,-58.84
12.59E6,23.93,-59.18
13.08E6,21.69,-59.53
13.59E6,19.39,-59.87
14.13E6,17.03,-60.22
14.68E6,14.62,-60.57
15.25E6,12.16,-60.92
15.85E6,9.649,-61.27
16.47E6,7.085,-61.62
17.11E6,4.473,-61.97
17.78E6,1.813,-62.32
18.48E6,-892.9E-3,-62.68
19.20E6,-3.642,-63.03
19.95E6,-6.433,-63.39
20.73E6,-9.264,-63.75
21.54E6,-12.13,-64.11
22.39E6,-15.04,-64.47
23.26E6,-17.97,-64.83
24.17E6,-20.94,-65.20
25.12E6,-23.94,-65.56
26.10E6,-26.96,-65.93
27.12E6,-30.01,-66.30
28.18E6,-33.08,-66.68
29.29E6,-36.17,-67.05
30.43E6,-39.28,-67.43
31.62E6,-42.40,-67.81
32.86E6,-45.54,-68.20
34.15E6,-48.70,-68.58
35.48E6,-51.87,-68.98
36.87E6,-55.04,-69.37
38.31E6,-58.23,-69.77
39.81E6,-61.43,-70.18
41.37E6,-64.63,-70.59
42.99E6,-67.85,-71.01
44.67E6,-71.06,-71.43
46.42E6,-74.28,-71.86
48.23E6,-77.50,-72.30
50.12E6,-80.72,-72.74
52.08E6,-83.94,-73.20
54.12E6,-87.16,-73.66
56.23E6,-90.36,-74.14
58.43E6,-93.56,-74.62
60.72E6,-96.74,-75.12
63.10E6,-99.89,-75.63
65.56E6,-103.0,-76.15
68.13E6,-106.1,-76.69
70.79E6,-109.2,-77.24
73.56E6,-112.2,-77.80
76.44E6,-115.2,-78.38
79.43E6,-118.1,-78.97
82.54E6,-121.0,-79.57
85.77E6,-123.8,-80.19
89.13E6,-126.5,-80.82
92.61E6,-129.2,-81.46
96.24E6,-131.8,-82.11
100.0E6,-134.2,-82.78
103.9E6,-136.6,-83.45
108.0E6,-138.9,-84.14
112.2E6,-141.1,-84.83
116.6E6,-143.2,-85.53
121.2E6,-145.2,-86.24
125.9E6,-147.1,-86.96
130.8E6,-148.9,-87.68
135.9E6,-150.6,-88.40
141.3E6,-152.2,-89.12
146.8E6,-153.7,-89.85
152.5E6,-155.1,-90.58
158.5E6,-156.4,-91.30
164.7E6,-157.6,-92.03
171.1E6,-158.8,-92.75
177.8E6,-159.9,-93.47
184.8E6,-160.8,-94.19
192.0E6,-161.8,-94.90
199.5E6,-162.7,-95.60
207.3E6,-163.5,-96.31
215.4E6,-164.3,-97.00
223.9E6,-165.0,-97.69
232.6E6,-165.7,-98.38
