time (s),leafValue( VT("/VOUT") "vin_dc" 1.62 ) (V)
0.000,1.199
200.0E-9,1.199
600.0E-9,1.199
1.400E-6,1.199
2.785E-6,1.199
4.785E-6,1.199
6.785E-6,1.199
8.393E-6,1.199
10.00E-6,1.199
10.00E-6,1.198
10.01E-6,1.197
10.01E-6,1.195
10.02E-6,1.192
10.03E-6,1.190
10.04E-6,1.186
10.05E-6,1.183
10.06E-6,1.180
10.08E-6,1.176
10.10E-6,1.168
10.13E-6,1.160
10.14E-6,1.158
10.15E-6,1.156
10.15E-6,1.155
10.15E-6,1.154
10.16E-6,1.153
10.16E-6,1.153
10.16E-6,1.152
10.16E-6,1.152
10.16E-6,1.151
10.17E-6,1.151
10.17E-6,1.150
10.17E-6,1.149
10.17E-6,1.148
10.18E-6,1.147
10.18E-6,1.146
10.19E-6,1.144
10.20E-6,1.142
10.20E-6,1.140
10.21E-6,1.139
10.21E-6,1.137
10.22E-6,1.136
10.23E-6,1.134
10.23E-6,1.133
10.24E-6,1.131
10.25E-6,1.128
10.26E-6,1.125
10.28E-6,1.121
10.31E-6,1.116
10.35E-6,1.109
10.39E-6,1.102
10.45E-6,1.097
10.51E-6,1.093
10.56E-6,1.092
10.60E-6,1.092
10.64E-6,1.093
10.69E-6,1.094
10.74E-6,1.096
10.79E-6,1.098
10.85E-6,1.101
10.91E-6,1.104
10.95E-6,1.107
11.00E-6,1.109
11.01E-6,1.111
11.01E-6,1.112
11.02E-6,1.114
11.04E-6,1.118
11.06E-6,1.122
11.08E-6,1.126
11.12E-6,1.133
11.19E-6,1.144
11.26E-6,1.153
11.32E-6,1.160
11.39E-6,1.166
11.46E-6,1.171
11.52E-6,1.176
11.60E-6,1.179
11.67E-6,1.183
11.76E-6,1.186
11.85E-6,1.188
11.94E-6,1.191
12.03E-6,1.192
12.14E-6,1.194
12.24E-6,1.195
12.35E-6,1.196
12.43E-6,1.196
12.50E-6,1.197
12.56E-6,1.197
12.63E-6,1.197
12.72E-6,1.198
12.80E-6,1.198
12.90E-6,1.198
13.00E-6,1.198
13.10E-6,1.199
13.22E-6,1.199
13.35E-6,1.199
13.47E-6,1.199
13.61E-6,1.199
13.67E-6,1.199
13.74E-6,1.199
13.81E-6,1.199
13.88E-6,1.199
13.94E-6,1.199
14.01E-6,1.199
14.10E-6,1.199
14.22E-6,1.199
14.40E-6,1.199
14.72E-6,1.199
15.36E-6,1.199
16.47E-6,1.199
17.79E-6,1.199
19.27E-6,1.199
20.97E-6,1.199
22.91E-6,1.199
24.91E-6,1.199
26.91E-6,1.199
28.91E-6,1.199
30.91E-6,1.199
32.91E-6,1.199
34.91E-6,1.199
36.91E-6,1.199
38.91E-6,1.199
40.91E-6,1.199
42.91E-6,1.199
44.91E-6,1.199
46.91E-6,1.199
48.91E-6,1.199
50.91E-6,1.199
52.91E-6,1.199
54.91E-6,1.199
56.91E-6,1.199
58.91E-6,1.199
59.95E-6,1.199
61.00E-6,1.199
61.00E-6,1.199
61.01E-6,1.200
61.03E-6,1.203
61.04E-6,1.205
61.06E-6,1.207
61.07E-6,1.210
61.09E-6,1.212
61.11E-6,1.215
61.15E-6,1.219
61.19E-6,1.224
61.23E-6,1.228
61.27E-6,1.232
61.33E-6,1.237
61.40E-6,1.243
61.49E-6,1.248
61.57E-6,1.253
61.66E-6,1.258
61.75E-6,1.262
61.80E-6,1.265
61.84E-6,1.267
61.88E-6,1.269
61.90E-6,1.270
61.92E-6,1.271
61.94E-6,1.272
61.95E-6,1.273
61.97E-6,1.274
61.99E-6,1.275
62.00E-6,1.276
62.00E-6,1.276
62.01E-6,1.275
62.01E-6,1.275
62.02E-6,1.274
62.02E-6,1.273
62.03E-6,1.273
62.03E-6,1.272
62.04E-6,1.270
62.05E-6,1.269
62.06E-6,1.269
62.07E-6,1.268
62.07E-6,1.267
62.08E-6,1.266
62.09E-6,1.265
62.09E-6,1.264
62.10E-6,1.264
62.10E-6,1.263
62.11E-6,1.262
62.11E-6,1.262
62.12E-6,1.261
62.13E-6,1.260
62.14E-6,1.259
62.15E-6,1.258
62.17E-6,1.255
62.20E-6,1.253
62.23E-6,1.250
62.26E-6,1.248
62.30E-6,1.244
62.35E-6,1.241
62.41E-6,1.237
62.49E-6,1.234
62.57E-6,1.230
62.66E-6,1.227
62.76E-6,1.224
62.87E-6,1.222
62.98E-6,1.220
63.10E-6,1.218
63.24E-6,1.217
63.39E-6,1.215
63.57E-6,1.214
63.76E-6,1.213
63.97E-6,1.212
64.22E-6,1.212
64.50E-6,1.211
64.83E-6,1.211
65.21E-6,1.211
65.66E-6,1.211
66.21E-6,1.211
66.91E-6,1.211
67.83E-6,1.210
68.47E-6,1.210
69.09E-6,1.210
69.66E-6,1.210
70.15E-6,1.210
70.72E-6,1.210
71.32E-6,1.210
71.91E-6,1.210
72.60E-6,1.210
73.49E-6,1.210
74.87E-6,1.210
76.87E-6,1.209
78.87E-6,1.209
80.87E-6,1.209
82.87E-6,1.209
84.87E-6,1.209
86.87E-6,1.208
88.87E-6,1.208
90.87E-6,1.208
92.87E-6,1.208
94.87E-6,1.208
96.87E-6,1.207
98.87E-6,1.207
100.9E-6,1.207
102.9E-6,1.207
104.9E-6,1.206
106.9E-6,1.206
108.4E-6,1.206
110.0E-6,1.206
110.0E-6,1.205
110.0E-6,1.203
110.0E-6,1.198
110.0E-6,1.194
110.1E-6,1.189
110.1E-6,1.186
110.1E-6,1.182
110.1E-6,1.179
110.1E-6,1.176
110.1E-6,1.171
110.1E-6,1.167
110.1E-6,1.161
110.2E-6,1.158
110.2E-6,1.152
110.2E-6,1.151
110.2E-6,1.150
110.2E-6,1.149
110.2E-6,1.149
110.2E-6,1.148
110.2E-6,1.148
110.2E-6,1.147
110.2E-6,1.146
110.2E-6,1.144
110.2E-6,1.142
110.2E-6,1.140
110.2E-6,1.138
110.2E-6,1.136
110.2E-6,1.134
110.2E-6,1.132
110.2E-6,1.131
110.3E-6,1.129
110.3E-6,1.126
110.3E-6,1.123
110.3E-6,1.119
110.3E-6,1.114
110.3E-6,1.106
110.4E-6,1.095
110.4E-6,1.079
110.5E-6,1.061
110.5E-6,1.041
110.6E-6,1.033
110.6E-6,1.026
110.6E-6,1.021
110.7E-6,1.017
110.7E-6,1.014
110.7E-6,1.014
110.8E-6,1.016
110.8E-6,1.019
110.8E-6,1.023
110.9E-6,1.028
110.9E-6,1.034
111.0E-6,1.039
111.0E-6,1.044
111.0E-6,1.047
111.0E-6,1.049
111.0E-6,1.052
111.0E-6,1.058
111.1E-6,1.064
111.1E-6,1.073
111.2E-6,1.090
111.2E-6,1.113
111.4E-6,1.138
111.5E-6,1.153
111.6E-6,1.162
111.6E-6,1.169
111.7E-6,1.174
111.8E-6,1.179
111.9E-6,1.183
112.0E-6,1.186
112.1E-6,1.189
112.2E-6,1.191
112.3E-6,1.193
112.4E-6,1.194
112.5E-6,1.195
112.6E-6,1.196
112.7E-6,1.197
112.7E-6,1.197
112.8E-6,1.197
112.9E-6,1.198
113.0E-6,1.198
113.1E-6,1.198
113.2E-6,1.198
113.3E-6,1.199
113.4E-6,1.199
113.5E-6,1.199
113.6E-6,1.199
113.7E-6,1.199
113.8E-6,1.199
113.9E-6,1.199
113.9E-6,1.199
114.0E-6,1.199
114.1E-6,1.199
