time (s),leafValue( VT("/VOUT") "vin_dc" 1.98 ) (V)
0.000,1.201
200.0E-9,1.201
600.0E-9,1.201
1.247E-6,1.201
2.238E-6,1.201
4.221E-6,1.201
6.221E-6,1.201
8.221E-6,1.201
10.00E-6,1.201
10.00E-6,1.200
10.01E-6,1.199
10.01E-6,1.197
10.02E-6,1.195
10.03E-6,1.193
10.03E-6,1.191
10.04E-6,1.188
10.06E-6,1.184
10.06E-6,1.182
10.07E-6,1.180
10.08E-6,1.178
10.08E-6,1.177
10.09E-6,1.176
10.09E-6,1.175
10.09E-6,1.173
10.10E-6,1.172
10.10E-6,1.171
10.10E-6,1.170
10.11E-6,1.168
10.12E-6,1.166
10.13E-6,1.164
10.13E-6,1.161
10.14E-6,1.159
10.16E-6,1.155
10.17E-6,1.152
10.18E-6,1.150
10.18E-6,1.148
10.19E-6,1.145
10.20E-6,1.142
10.22E-6,1.139
10.24E-6,1.134
10.26E-6,1.128
10.29E-6,1.121
10.33E-6,1.114
10.37E-6,1.108
10.42E-6,1.102
10.48E-6,1.098
10.53E-6,1.096
10.57E-6,1.096
10.61E-6,1.097
10.66E-6,1.098
10.70E-6,1.100
10.75E-6,1.102
10.80E-6,1.105
10.86E-6,1.109
10.92E-6,1.112
10.96E-6,1.115
11.00E-6,1.117
11.01E-6,1.118
11.01E-6,1.119
11.02E-6,1.121
11.04E-6,1.125
11.05E-6,1.128
11.08E-6,1.133
11.11E-6,1.139
11.17E-6,1.148
11.23E-6,1.157
11.30E-6,1.165
11.36E-6,1.171
11.43E-6,1.177
11.49E-6,1.181
11.56E-6,1.185
11.63E-6,1.188
11.71E-6,1.191
11.79E-6,1.193
11.88E-6,1.195
11.97E-6,1.196
12.07E-6,1.197
12.18E-6,1.198
12.31E-6,1.199
12.45E-6,1.200
12.59E-6,1.200
12.72E-6,1.200
12.85E-6,1.201
12.98E-6,1.201
13.13E-6,1.201
13.30E-6,1.201
13.48E-6,1.201
13.67E-6,1.201
13.95E-6,1.201
14.31E-6,1.201
14.69E-6,1.201
15.02E-6,1.201
15.33E-6,1.201
15.65E-6,1.201
16.00E-6,1.201
16.37E-6,1.201
16.80E-6,1.201
17.27E-6,1.201
17.80E-6,1.201
18.41E-6,1.201
19.11E-6,1.201
19.95E-6,1.201
20.98E-6,1.201
22.45E-6,1.201
24.45E-6,1.200
26.45E-6,1.200
28.38E-6,1.200
30.34E-6,1.200
32.34E-6,1.200
34.34E-6,1.200
36.34E-6,1.200
38.34E-6,1.200
40.34E-6,1.200
42.34E-6,1.200
44.34E-6,1.200
46.34E-6,1.200
48.34E-6,1.200
50.34E-6,1.200
52.34E-6,1.200
54.34E-6,1.200
56.34E-6,1.200
58.34E-6,1.200
59.67E-6,1.200
61.00E-6,1.200
61.02E-6,1.203
61.04E-6,1.206
61.05E-6,1.208
61.06E-6,1.209
61.07E-6,1.211
61.10E-6,1.215
61.12E-6,1.217
61.14E-6,1.219
61.16E-6,1.222
61.18E-6,1.224
61.20E-6,1.226
61.22E-6,1.228
61.23E-6,1.228
61.24E-6,1.229
61.24E-6,1.229
61.24E-6,1.230
61.25E-6,1.230
61.25E-6,1.231
61.26E-6,1.231
61.27E-6,1.232
61.28E-6,1.233
61.29E-6,1.234
61.30E-6,1.235
61.32E-6,1.236
61.34E-6,1.237
61.37E-6,1.239
61.40E-6,1.241
61.45E-6,1.244
61.53E-6,1.248
61.62E-6,1.253
61.70E-6,1.256
61.79E-6,1.260
61.86E-6,1.264
61.91E-6,1.267
61.95E-6,1.269
61.98E-6,1.271
61.99E-6,1.272
62.00E-6,1.272
62.00E-6,1.272
62.01E-6,1.271
62.01E-6,1.271
62.01E-6,1.270
62.02E-6,1.270
62.03E-6,1.269
62.03E-6,1.268
62.04E-6,1.267
62.04E-6,1.267
62.05E-6,1.266
62.05E-6,1.266
62.06E-6,1.265
62.07E-6,1.264
62.07E-6,1.263
62.08E-6,1.262
62.09E-6,1.261
62.10E-6,1.260
62.11E-6,1.258
62.13E-6,1.256
62.15E-6,1.254
62.18E-6,1.252
62.21E-6,1.249
62.24E-6,1.247
62.28E-6,1.244
62.33E-6,1.241
62.39E-6,1.237
62.46E-6,1.234
62.54E-6,1.231
62.63E-6,1.228
62.73E-6,1.225
62.83E-6,1.223
62.95E-6,1.221
63.07E-6,1.219
63.21E-6,1.217
63.36E-6,1.216
63.53E-6,1.215
63.73E-6,1.214
63.94E-6,1.213
64.19E-6,1.213
64.48E-6,1.212
64.81E-6,1.212
65.20E-6,1.212
65.66E-6,1.212
66.22E-6,1.212
66.92E-6,1.212
67.84E-6,1.211
68.66E-6,1.211
69.47E-6,1.211
70.13E-6,1.211
70.73E-6,1.211
71.44E-6,1.211
72.14E-6,1.211
72.86E-6,1.211
73.74E-6,1.211
74.98E-6,1.211
76.98E-6,1.210
78.98E-6,1.210
80.98E-6,1.210
82.98E-6,1.210
84.98E-6,1.210
86.98E-6,1.209
88.98E-6,1.209
90.98E-6,1.209
92.98E-6,1.209
94.98E-6,1.208
96.98E-6,1.208
98.98E-6,1.208
101.0E-6,1.208
103.0E-6,1.208
105.0E-6,1.207
107.0E-6,1.207
108.5E-6,1.207
110.0E-6,1.207
110.0E-6,1.206
110.0E-6,1.204
110.0E-6,1.199
110.0E-6,1.195
110.1E-6,1.191
110.1E-6,1.187
110.1E-6,1.184
110.1E-6,1.181
110.1E-6,1.175
110.1E-6,1.169
110.2E-6,1.156
110.2E-6,1.152
110.2E-6,1.152
110.2E-6,1.151
110.2E-6,1.151
110.2E-6,1.150
110.2E-6,1.149
110.2E-6,1.149
110.2E-6,1.148
110.2E-6,1.148
110.2E-6,1.146
