freq (Hz),leafValue( PSRR "modelFiles" "mm180_reg18_v124.lib.scs:tt" ) (dB),leafValue( PSRR "modelFiles" "mm180_reg18_v124.lib.scs:ss" ) (dB),leafValue( PSRR "modelFiles" "mm180_reg18_v124.lib.scs:ff" ) (dB)
10.00,-46.81,-47.58,-44.45
11.22,-46.81,-47.58,-44.45
12.59,-46.81,-47.58,-44.45
14.13,-46.81,-47.58,-44.45
15.85,-46.81,-47.58,-44.45
17.78,-46.81,-47.58,-44.45
19.95,-46.81,-47.58,-44.45
22.39,-46.81,-47.58,-44.45
25.12,-46.81,-47.58,-44.45
28.18,-46.81,-47.58,-44.45
31.62,-46.81,-47.58,-44.45
35.48,-46.81,-47.58,-44.45
39.81,-46.81,-47.58,-44.45
44.67,-46.81,-47.58,-44.45
50.12,-46.81,-47.58,-44.45
56.23,-46.81,-47.58,-44.45
63.10,-46.81,-47.58,-44.45
70.79,-46.81,-47.58,-44.45
79.43,-46.81,-47.58,-44.45
89.13,-46.81,-47.58,-44.45
100.0,-46.81,-47.58,-44.45
112.2,-46.81,-47.58,-44.45
125.9,-46.81,-47.58,-44.45
141.3,-46.81,-47.57,-44.45
158.5,-46.81,-47.57,-44.45
177.8,-46.81,-47.57,-44.45
199.5,-46.81,-47.57,-44.45
223.9,-46.80,-47.57,-44.44
251.2,-46.80,-47.56,-44.44
281.8,-46.80,-47.56,-44.44
316.2,-46.79,-47.55,-44.44
354.8,-46.79,-47.55,-44.44
398.1,-46.78,-47.54,-44.43
446.7,-46.77,-47.53,-44.43
501.2,-46.76,-47.51,-44.42
562.3,-46.75,-47.50,-44.41
631.0,-46.74,-47.48,-44.40
707.9,-46.72,-47.45,-44.39
794.3,-46.69,-47.42,-44.38
891.3,-46.66,-47.37,-44.36
1.000E3,-46.62,-47.32,-44.33
1.122E3,-46.57,-47.26,-44.30
1.259E3,-46.51,-47.18,-44.26
1.413E3,-46.43,-47.08,-44.22
1.585E3,-46.34,-46.96,-44.16
1.778E3,-46.23,-46.81,-44.08
1.995E3,-46.09,-46.63,-43.99
2.239E3,-45.92,-46.42,-43.88
2.512E3,-45.71,-46.16,-43.75
2.818E3,-45.46,-45.86,-43.58
3.162E3,-45.17,-45.51,-43.38
3.548E3,-44.83,-45.10,-43.14
3.981E3,-44.44,-44.64,-42.86
4.467E3,-43.99,-44.12,-42.53
5.012E3,-43.48,-43.54,-42.14
5.623E3,-42.92,-42.90,-41.70
6.310E3,-42.30,-42.22,-41.20
7.079E3,-41.62,-41.48,-40.64
7.943E3,-40.90,-40.70,-40.03
8.913E3,-40.13,-39.89,-39.36
10.00E3,-39.32,-39.04,-38.64
11.22E3,-38.47,-38.16,-37.88
12.59E3,-37.60,-37.25,-37.07
14.13E3,-36.70,-36.32,-36.23
15.85E3,-35.78,-35.38,-35.36
17.78E3,-34.84,-34.42,-34.46
19.95E3,-33.88,-33.45,-33.54
22.39E3,-32.92,-32.47,-32.61
25.12E3,-31.94,-31.49,-31.65
28.18E3,-30.96,-30.49,-30.69
31.62E3,-29.97,-29.50,-29.72
35.48E3,-28.98,-28.50,-28.74
39.81E3,-27.99,-27.50,-27.75
44.67E3,-27.00,-26.51,-26.77
50.12E3,-26.00,-25.51,-25.78
56.23E3,-25.02,-24.52,-24.80
63.10E3,-24.03,-23.54,-23.82
70.79E3,-23.05,-22.56,-22.84
79.43E3,-22.07,-21.58,-21.87
89.13E3,-21.11,-20.62,-20.90
100.0E3,-20.15,-19.66,-19.94
112.2E3,-19.20,-18.72,-18.99
125.9E3,-18.26,-17.79,-18.05
141.3E3,-17.34,-16.89,-17.13
158.5E3,-16.44,-16.00,-16.22
177.8E3,-15.56,-15.14,-15.34
199.5E3,-14.70,-14.30,-14.49
223.9E3,-13.88,-13.51,-13.66
251.2E3,-13.09,-12.75,-12.87
281.8E3,-12.34,-12.04,-12.13
316.2E3,-11.64,-11.38,-11.42
354.8E3,-10.99,-10.77,-10.77
398.1E3,-10.40,-10.22,-10.17
446.7E3,-9.855,-9.720,-9.631
501.2E3,-9.372,-9.281,-9.147
562.3E3,-8.946,-8.899,-8.719
631.0E3,-8.575,-8.569,-8.347
707.9E3,-8.255,-8.288,-8.027
794.3E3,-7.984,-8.051,-7.754
891.3E3,-7.755,-7.853,-7.525
1.000E6,-7.565,-7.689,-7.334
1.122E6,-7.408,-7.554,-7.176
1.259E6,-7.278,-7.444,-7.046
1.413E6,-7.173,-7.354,-6.940
1.585E6,-7.087,-7.282,-6.855
1.778E6,-7.018,-7.223,-6.785
1.995E6,-6.962,-7.177,-6.729
2.239E6,-6.917,-7.139,-6.684
2.512E6,-6.881,-7.109,-6.648
2.818E6,-6.853,-7.085,-6.619
3.162E6,-6.830,-7.066,-6.596
3.548E6,-6.812,-7.051,-6.578
3.981E6,-6.797,-7.038,-6.564
4.467E6,-6.786,-7.029,-6.552
5.012E6,-6.777,-7.022,-6.543
5.623E6,-6.770,-7.016,-6.536
6.310E6,-6.765,-7.011,-6.531
7.079E6,-6.761,-7.008,-6.527
7.943E6,-6.758,-7.005,-6.524
8.913E6,-6.756,-7.004,-6.522
10.00E6,-6.755,-7.003,-6.521
11.22E6,-6.754,-7.002,-6.520
12.59E6,-6.754,-7.002,-6.519
14.13E6,-6.753,-7.002,-6.519
15.85E6,-6.753,-7.002,-6.519
17.78E6,-6.754,-7.003,-6.519
19.95E6,-6.754,-7.003,-6.519
22.39E6,-6.754,-7.004,-6.519
25.12E6,-6.753,-7.004,-6.518
28.18E6,-6.753,-7.005,-6.517
31.62E6,-6.752,-7.005,-6.516
35.48E6,-6.752,-7.006,-6.515
39.81E6,-6.752,-7.007,-6.513
44.67E6,-6.752,-7.008,-6.512
50.12E6,-6.753,-7.010,-6.511
56.23E6,-6.755,-7.011,-6.511
63.10E6,-6.757,-7.013,-6.512
70.79E6,-6.759,-7.014,-6.514
79.43E6,-6.762,-7.016,-6.516
89.13E6,-6.765,-7.017,-6.519
100.0E6,-6.767,-7.018,-6.522
112.2E6,-6.769,-7.020,-6.525
125.9E6,-6.771,-7.021,-6.527
141.3E6,-6.772,-7.021,-6.529
158.5E6,-6.772,-7.022,-6.531
177.8E6,-6.772,-7.022,-6.532
199.5E6,-6.772,-7.022,-6.532
223.9E6,-6.772,-7.022,-6.532
251.2E6,-6.771,-7.021,-6.531
281.8E6,-6.769,-7.020,-6.530
316.2E6,-6.767,-7.017,-6.529
354.8E6,-6.765,-7.014,-6.526
398.1E6,-6.761,-7.010,-6.523
446.7E6,-6.756,-7.004,-6.519
501.2E6,-6.750,-6.997,-6.514
562.3E6,-6.742,-6.987,-6.507
631.0E6,-6.732,-6.975,-6.499
707.9E6,-6.720,-6.960,-6.488
794.3E6,-6.704,-6.941,-6.475
891.3E6,-6.684,-6.917,-6.458
1.000E9,-6.659,-6.887,-6.437
