freq (Hz),leafValue( PSRR "modelFiles" "mm180_reg18_v124.lib.scs:ss" ) (dB)
10.00,-47.58
11.22,-47.58
12.59,-47.58
14.13,-47.58
15.85,-47.58
17.78,-47.58
19.95,-47.58
22.39,-47.58
25.12,-47.58
28.18,-47.58
31.62,-47.58
35.48,-47.58
39.81,-47.58
44.67,-47.58
50.12,-47.58
56.23,-47.58
63.10,-47.58
70.79,-47.58
79.43,-47.58
89.13,-47.58
100.0,-47.58
112.2,-47.58
125.9,-47.58
141.3,-47.57
158.5,-47.57
177.8,-47.57
199.5,-47.57
223.9,-47.57
251.2,-47.56
281.8,-47.56
316.2,-47.55
354.8,-47.55
398.1,-47.54
446.7,-47.53
501.2,-47.51
562.3,-47.50
631.0,-47.48
707.9,-47.45
794.3,-47.42
891.3,-47.37
1.000E3,-47.32
1.122E3,-47.26
1.259E3,-47.18
1.413E3,-47.08
1.585E3,-46.96
1.778E3,-46.81
1.995E3,-46.63
2.239E3,-46.42
2.512E3,-46.16
2.818E3,-45.86
3.162E3,-45.51
3.548E3,-45.10
3.981E3,-44.64
4.467E3,-44.12
5.012E3,-43.54
5.623E3,-42.90
6.310E3,-42.22
7.079E3,-41.48
7.943E3,-40.70
8.913E3,-39.89
10.00E3,-39.04
11.22E3,-38.16
12.59E3,-37.25
14.13E3,-36.32
15.85E3,-35.38
17.78E3,-34.42
19.95E3,-33.45
22.39E3,-32.47
25.12E3,-31.49
28.18E3,-30.49
31.62E3,-29.50
35.48E3,-28.50
39.81E3,-27.50
44.67E3,-26.51
50.12E3,-25.51
56.23E3,-24.52
63.10E3,-23.54
70.79E3,-22.56
79.43E3,-21.58
89.13E3,-20.62
100.0E3,-19.66
112.2E3,-18.72
125.9E3,-17.79
141.3E3,-16.89
158.5E3,-16.00
177.8E3,-15.14
199.5E3,-14.30
223.9E3,-13.51
251.2E3,-12.75
281.8E3,-12.04
316.2E3,-11.38
354.8E3,-10.77
398.1E3,-10.22
446.7E3,-9.720
501.2E3,-9.281
562.3E3,-8.899
631.0E3,-8.569
707.9E3,-8.288
794.3E3,-8.051
891.3E3,-7.853
1.000E6,-7.689
1.122E6,-7.554
1.259E6,-7.444
1.413E6,-7.354
1.585E6,-7.282
1.778E6,-7.223
1.995E6,-7.177
2.239E6,-7.139
2.512E6,-7.109
2.818E6,-7.085
3.162E6,-7.066
3.548E6,-7.051
3.981E6,-7.038
4.467E6,-7.029
5.012E6,-7.022
5.623E6,-7.016
6.310E6,-7.011
7.079E6,-7.008
7.943E6,-7.005
8.913E6,-7.004
10.00E6,-7.003
11.22E6,-7.002
12.59E6,-7.002
14.13E6,-7.002
15.85E6,-7.002
17.78E6,-7.003
19.95E6,-7.003
22.39E6,-7.004
25.12E6,-7.004
28.18E6,-7.005
31.62E6,-7.005
35.48E6,-7.006
39.81E6,-7.007
44.67E6,-7.008
50.12E6,-7.010
56.23E6,-7.011
63.10E6,-7.013
70.79E6,-7.014
79.43E6,-7.016
89.13E6,-7.017
100.0E6,-7.018
112.2E6,-7.020
125.9E6,-7.021
141.3E6,-7.021
158.5E6,-7.022
177.8E6,-7.022
199.5E6,-7.022
223.9E6,-7.022
251.2E6,-7.021
281.8E6,-7.020
316.2E6,-7.017
354.8E6,-7.014
398.1E6,-7.010
446.7E6,-7.004
501.2E6,-6.997
562.3E6,-6.987
631.0E6,-6.975
707.9E6,-6.960
794.3E6,-6.941
891.3E6,-6.917
1.000E9,-6.887
