freq (Hz),Loop Gain dB20 (dB),Loop Gain Phase (deg)
1.000,93.01,165.2
1.039,92.99,164.7
1.080,92.96,164.1
1.122,92.94,163.5
1.166,92.91,162.9
1.212,92.88,162.3
1.259,92.85,161.6
1.308,92.81,161.0
1.359,92.78,160.3
1.413,92.74,159.6
1.468,92.70,158.8
1.525,92.65,158.1
1.585,92.60,157.3
1.647,92.55,156.5
1.711,92.50,155.7
1.778,92.44,154.9
1.848,92.38,154.0
1.920,92.31,153.1
1.995,92.24,152.3
2.073,92.17,151.3
2.154,92.09,150.4
2.239,92.01,149.4
2.326,91.92,148.5
2.417,91.82,147.5
2.512,91.73,146.5
2.610,91.62,145.5
2.712,91.51,144.4
2.818,91.40,143.4
2.929,91.27,142.3
3.043,91.15,141.2
3.162,91.01,140.2
3.286,90.87,139.1
3.415,90.73,138.0
3.548,90.58,136.9
3.687,90.42,135.8
3.831,90.25,134.7
3.981,90.08,133.6
4.137,89.91,132.5
4.299,89.72,131.4
4.467,89.53,130.3
4.642,89.33,129.2
4.823,89.13,128.1
5.012,88.92,127.0
5.208,88.71,126.0
5.412,88.49,124.9
5.623,88.26,123.9
5.843,88.03,122.9
6.072,87.79,121.9
6.310,87.55,120.9
6.556,87.30,119.9
6.813,87.05,119.0
7.079,86.80,118.1
7.356,86.54,117.1
7.644,86.27,116.2
7.943,86.00,115.4
8.254,85.73,114.5
8.577,85.45,113.7
8.913,85.17,112.9
9.261,84.89,112.1
9.624,84.60,111.3
10.00,84.31,110.6
10.39,84.02,109.8
10.80,83.72,109.1
11.22,83.42,108.4
11.66,83.12,107.8
12.12,82.82,107.1
12.59,82.52,106.5
13.08,82.21,105.9
13.59,81.90,105.3
14.13,81.59,104.7
14.68,81.28,104.1
15.25,80.97,103.6
15.85,80.65,103.1
16.47,80.34,102.6
17.11,80.02,102.1
17.78,79.70,101.6
18.48,79.38,101.2
19.20,79.06,100.7
19.95,78.74,100.3
20.73,78.42,99.86
21.54,78.10,99.46
22.39,77.77,99.07
23.26,77.45,98.69
24.17,77.12,98.32
25.12,76.80,97.97
26.10,76.47,97.62
27.12,76.14,97.29
28.18,75.82,96.96
29.29,75.49,96.65
30.43,75.16,96.35
31.62,74.83,96.05
32.86,74.50,95.76
34.15,74.18,95.48
35.48,73.85,95.21
36.87,73.52,94.95
38.31,73.19,94.69
39.81,72.86,94.44
41.37,72.52,94.20
42.99,72.19,93.96
44.67,71.86,93.73
46.42,71.53,93.50
48.23,71.20,93.28
50.12,70.87,93.06
52.08,70.54,92.85
54.12,70.21,92.64
56.23,69.87,92.44
58.43,69.54,92.24
60.72,69.21,92.04
63.10,68.88,91.84
65.56,68.54,91.65
68.13,68.21,91.46
70.79,67.88,91.27
73.56,67.55,91.09
76.44,67.21,90.90
79.43,66.88,90.72
82.54,66.55,90.54
85.77,66.21,90.36
89.13,65.88,90.18
92.61,65.55,90.00
96.24,65.21,89.82
100.0,64.88,89.64
103.9,64.55,89.46
108.0,64.21,89.27
112.2,63.88,89.09
116.6,63.54,88.91
121.2,63.21,88.72
125.9,62.88,88.53
130.8,62.54,88.34
135.9,62.21,88.15
141.3,61.87,87.96
146.8,61.54,87.76
152.5,61.20,87.56
158.5,60.87,87.35
164.7,60.53,87.15
171.1,60.20,86.93
177.8,59.86,86.72
184.8,59.53,86.50
192.0,59.19,86.27
199.5,58.86,86.04
207.3,58.52,85.80
215.4,58.18,85.56
223.9,57.85,85.31
232.6,57.51,85.05
241.7,57.17,84.79
251.2,56.83,84.52
261.0,56.49,84.24
271.2,56.16,83.95
281.8,55.82,83.66
292.9,55.48,83.35
304.3,55.14,83.04
316.2,54.80,82.72
328.6,54.46,82.39
341.5,54.11,82.04
354.8,53.77,81.69
368.7,53.43,81.33
383.1,53.09,80.95
398.1,52.74,80.56
413.7,52.39,80.16
429.9,52.05,79.75
446.7,51.70,79.32
464.2,51.35,78.88
482.3,51.00,78.42
501.2,50.65,77.96
520.8,50.30,77.47
541.2,49.95,76.97
562.3,49.59,76.46
584.3,49.23,75.93
607.2,48.88,75.38
631.0,48.52,74.82
655.6,48.15,74.24
681.3,47.79,73.64
707.9,47.42,73.02
735.6,47.05,72.39
764.4,46.68,71.74
794.3,46.31,71.07
825.4,45.93,70.38
857.7,45.55,69.68
891.3,45.17,68.95
926.1,44.78,68.21
962.4,44.39,67.45
1.000E3,44.00,66.68
1.039E3,43.60,65.88
1.080E3,43.20,65.07
1.122E3,42.79,64.25
1.166E3,42.38,63.40
1.212E3,41.97,62.55
1.259E3,41.55,61.68
1.308E3,41.12,60.79
1.359E3,40.69,59.90
1.413E3,40.26,58.99
1.468E3,39.82,58.08
1.525E3,39.37,57.15
1.585E3,38.92,56.22
1.647E3,38.46,55.28
1.711E3,38.00,54.34
1.778E3,37.53,53.40
1.848E3,37.05,52.45
1.920E3,36.57,51.51
1.995E3,36.08,50.57
2.073E3,35.59,49.63
2.154E3,35.09,48.70
2.239E3,34.58,47.78
2.326E3,34.07,46.87
2.417E3,33.55,45.97
2.512E3,33.02,45.09
2.610E3,32.49,44.22
2.712E3,31.96,43.37
2.818E3,31.41,42.53
2.929E3,30.86,41.72
3.043E3,30.31,40.93
3.162E3,29.75,40.16
3.286E3,29.19,39.42
3.415E3,28.62,38.71
3.548E3,28.05,38.02
3.687E3,27.47,37.36
3.831E3,26.89,36.73
3.981E3,26.30,36.14
4.137E3,25.71,35.57
4.299E3,25.12,35.04
4.467E3,24.52,34.54
4.642E3,23.92,34.07
4.823E3,23.32,33.64
5.012E3,22.71,33.24
5.208E3,22.11,32.88
5.412E3,21.50,32.55
5.623E3,20.89,32.26
5.843E3,20.27,32.01
6.072E3,19.66,31.79
6.310E3,19.04,31.61
6.556E3,18.43,31.47
6.813E3,17.81,31.37
7.079E3,17.19,31.30
7.356E3,16.57,31.27
7.644E3,15.95,31.27
7.943E3,15.34,31.32
8.254E3,14.72,31.40
8.577E3,14.10,31.52
8.913E3,13.48,31.68
9.261E3,12.87,31.87
9.624E3,12.26,32.10
10.00E3,11.64,32.37
10.39E3,11.03,32.67
10.80E3,10.42,33.01
11.22E3,9.819,33.38
11.66E3,9.215,33.79
12.12E3,8.614,34.24
12.59E3,8.016,34.72
13.08E3,7.421,35.23
13.59E3,6.829,35.77
14.13E3,6.241,36.35
14.68E3,5.657,36.96
15.25E3,5.078,37.59
15.85E3,4.502,38.26
16.47E3,3.931,38.96
17.11E3,3.365,39.68
17.78E3,2.803,40.42
18.48E3,2.247,41.20
19.20E3,1.696,41.99
19.95E3,1.151,42.81
20.73E3,610.9E-3,43.64
21.54E3,76.91E-3,44.49
22.39E3,-451.2E-3,45.36
23.26E3,-973.4E-3,46.25
24.17E3,-1.489,47.14
25.12E3,-1.999,48.05
26.10E3,-2.503,48.97
27.12E3,-3.000,49.89
28.18E3,-3.492,50.82
29.29E3,-3.977,51.75
30.43E3,-4.455,52.68
31.62E3,-4.928,53.61
32.86E3,-5.395,54.55
34.15E3,-5.855,55.47
35.48E3,-6.310,56.39
36.87E3,-6.759,57.31
38.31E3,-7.202,58.22
39.81E3,-7.639,59.11
41.37E3,-8.072,60.00
42.99E3,-8.499,60.88
44.67E3,-8.921,61.74
46.42E3,-9.338,62.58
48.23E3,-9.750,63.42
50.12E3,-10.16,64.23
52.08E3,-10.56,65.03
54.12E3,-10.96,65.81
56.23E3,-11.36,66.58
58.43E3,-11.75,67.33
60.72E3,-12.14,68.05
63.10E3,-12.52,68.76
65.56E3,-12.90,69.46
68.13E3,-13.28,70.13
70.79E3,-13.66,70.78
73.56E3,-14.03,71.42
76.44E3,-14.40,72.03
79.43E3,-14.77,72.63
82.54E3,-15.13,73.21
85.77E3,-15.50,73.77
89.13E3,-15.86,74.31
92.61E3,-16.22,74.83
96.24E3,-16.57,75.34
100.0E3,-16.93,75.82
103.9E3,-17.28,76.30
108.0E3,-17.64,76.75
112.2E3,-17.99,77.19
116.6E3,-18.34,77.61
121.2E3,-18.69,78.01
125.9E3,-19.04,78.40
130.8E3,-19.38,78.78
135.9E3,-19.73,79.14
141.3E3,-20.07,79.49
146.8E3,-20.42,79.82
152.5E3,-20.76,80.14
158.5E3,-21.10,80.44
164.7E3,-21.45,80.73
171.1E3,-21.79,81.01
177.8E3,-22.13,81.28
184.8E3,-22.47,81.53
192.0E3,-22.81,81.77
199.5E3,-23.15,82.00
207.3E3,-23.49,82.22
215.4E3,-23.82,82.43
223.9E3,-24.16,82.63
232.6E3,-24.50,82.82
241.7E3,-24.84,82.99
251.2E3,-25.18,83.16
261.0E3,-25.51,83.32
271.2E3,-25.85,83.47
281.8E3,-26.18,83.60
292.9E3,-26.52,83.73
304.3E3,-26.86,83.85
316.2E3,-27.19,83.96
328.6E3,-27.53,84.07
341.5E3,-27.86,84.16
354.8E3,-28.20,84.25
368.7E3,-28.53,84.32
383.1E3,-28.87,84.39
398.1E3,-29.20,84.45
413.7E3,-29.54,84.50
429.9E3,-29.87,84.55
446.7E3,-30.21,84.58
464.2E3,-30.54,84.61
482.3E3,-30.88,84.63
501.2E3,-31.21,84.64
520.8E3,-31.54,84.65
541.2E3,-31.88,84.65
562.3E3,-32.21,84.63
584.3E3,-32.55,84.62
607.2E3,-32.88,84.59
631.0E3,-33.22,84.55
655.6E3,-33.55,84.51
681.3E3,-33.88,84.46
707.9E3,-34.22,84.40
735.6E3,-34.55,84.33
764.4E3,-34.88,84.26
794.3E3,-35.22,84.17
825.4E3,-35.55,84.08
857.7E3,-35.88,83.98
891.3E3,-36.22,83.87
926.1E3,-36.55,83.75
962.4E3,-36.89,83.62
1.000E6,-37.22,83.48
1.039E6,-37.55,83.34
1.080E6,-37.89,83.18
1.122E6,-38.22,83.01
1.166E6,-38.55,82.84
1.212E6,-38.89,82.65
1.259E6,-39.22,82.45
1.308E6,-39.55,82.24
1.359E6,-39.89,82.02
1.413E6,-40.22,81.79
1.468E6,-40.55,81.54
1.525E6,-40.89,81.28
1.585E6,-41.22,81.01
1.647E6,-41.55,80.73
1.711E6,-41.89,80.43
1.778E6,-42.22,80.12
1.848E6,-42.55,79.80
1.920E6,-42.88,79.46
1.995E6,-43.22,79.10
2.073E6,-43.55,78.73
2.154E6,-43.88,78.35
2.239E6,-44.22,77.94
2.326E6,-44.55,77.52
2.417E6,-44.88,77.08
2.512E6,-45.22,76.62
2.610E6,-45.55,76.14
2.712E6,-45.88,75.64
2.818E6,-46.21,75.13
2.929E6,-46.55,74.59
3.043E6,-46.88,74.02
3.162E6,-47.21,73.44
3.286E6,-47.54,72.83
3.415E6,-47.88,72.20
3.548E6,-48.21,71.54
3.687E6,-48.54,70.85
3.831E6,-48.87,70.14
3.981E6,-49.21,69.40
4.137E6,-49.54,68.63
4.299E6,-49.87,67.84
