freq (Hz),Loop Gain Phase (deg),Loop Gain dB20 (dB)
1.000,156.7,105.8
1.039,155.9,105.8
1.080,155.1,105.7
1.122,154.2,105.7
1.166,153.3,105.6
1.212,152.4,105.5
1.259,151.5,105.5
1.308,150.6,105.4
1.359,149.6,105.3
1.413,148.7,105.2
1.468,147.7,105.1
1.525,146.7,105.0
1.585,145.7,104.9
1.647,144.6,104.8
1.711,143.6,104.7
1.778,142.5,104.6
1.848,141.5,104.5
1.920,140.4,104.3
1.995,139.3,104.2
2.073,138.2,104.0
2.154,137.1,103.9
2.239,136.0,103.7
2.326,134.9,103.6
2.417,133.8,103.4
2.512,132.7,103.2
2.610,131.6,103.0
2.712,130.5,102.9
2.818,129.4,102.7
2.929,128.3,102.5
3.043,127.2,102.2
3.162,126.2,102.0
3.286,125.1,101.8
3.415,124.1,101.6
3.548,123.0,101.4
3.687,122.0,101.1
3.831,121.0,100.9
3.981,120.0,100.6
4.137,119.1,100.4
4.299,118.1,100.1
4.467,117.2,99.87
4.642,116.3,99.61
4.823,115.4,99.34
5.012,114.6,99.07
5.208,113.7,98.79
5.412,112.9,98.51
5.623,112.1,98.23
5.843,111.3,97.94
6.072,110.5,97.66
6.310,109.8,97.36
6.556,109.1,97.07
6.813,108.4,96.77
7.079,107.7,96.47
7.356,107.0,96.17
7.644,106.4,95.87
7.943,105.7,95.56
8.254,105.1,95.25
8.577,104.5,94.94
8.913,104.0,94.63
9.261,103.4,94.32
9.624,102.9,94.00
10.00,102.4,93.69
10.39,101.8,93.37
10.80,101.4,93.05
11.22,100.9,92.73
11.66,100.4,92.41
12.12,99.96,92.09
12.59,99.52,91.77
13.08,99.10,91.45
13.59,98.69,91.13
14.13,98.29,90.80
14.68,97.90,90.48
15.25,97.52,90.15
15.85,97.15,89.82
16.47,96.79,89.50
17.11,96.44,89.17
17.78,96.10,88.84
18.48,95.77,88.51
19.20,95.45,88.19
19.95,95.13,87.86
20.73,94.82,87.53
21.54,94.52,87.20
22.39,94.23,86.87
23.26,93.94,86.54
24.17,93.65,86.21
25.12,93.38,85.88
26.10,93.10,85.55
27.12,92.83,85.21
28.18,92.57,84.88
29.29,92.30,84.55
30.43,92.05,84.22
31.62,91.79,83.89
32.86,91.54,83.56
34.15,91.29,83.22
35.48,91.04,82.89
36.87,90.79,82.56
38.31,90.54,82.22
39.81,90.30,81.89
41.37,90.05,81.56
42.99,89.81,81.22
44.67,89.56,80.89
46.42,89.32,80.56
48.23,89.07,80.22
50.12,88.82,79.89
52.08,88.57,79.55
54.12,88.32,79.22
56.23,88.07,78.89
58.43,87.81,78.55
60.72,87.55,78.22
63.10,87.29,77.88
65.56,87.02,77.55
68.13,86.75,77.21
70.79,86.47,76.87
73.56,86.19,76.54
76.44,85.90,76.20
79.43,85.61,75.86
82.54,85.31,75.53
85.77,85.01,75.19
89.13,84.69,74.85
92.61,84.37,74.51
96.24,84.05,74.17
100.0,83.71,73.84
103.9,83.37,73.50
108.0,83.01,73.16
112.2,82.65,72.82
116.6,82.28,72.47
121.2,81.89,72.13
125.9,81.50,71.79
130.8,81.09,71.45
135.9,80.67,71.10
141.3,80.24,70.76
146.8,79.80,70.41
152.5,79.34,70.06
158.5,78.87,69.72
164.7,78.39,69.37
171.1,77.89,69.02
177.8,77.37,68.67
184.8,76.84,68.31
192.0,76.30,67.96
199.5,75.74,67.60
207.3,75.16,67.25
215.4,74.56,66.89
223.9,73.95,66.52
232.6,73.31,66.16
241.7,72.66,65.80
251.2,71.99,65.43
261.0,71.30,65.06
271.2,70.60,64.69
281.8,69.87,64.31
292.9,69.12,63.93
304.3,68.36,63.55
316.2,67.57,63.17
328.6,66.77,62.78
341.5,65.94,62.39
354.8,65.10,61.99
368.7,64.24,61.59
383.1,63.36,61.19
398.1,62.46,60.78
413.7,61.55,60.37
429.9,60.61,59.95
446.7,59.67,59.53
464.2,58.70,59.10
482.3,57.72,58.67
501.2,56.73,58.23
520.8,55.73,57.79
541.2,54.72,57.34
562.3,53.70,56.88
584.3,52.66,56.42
607.2,51.63,55.95
631.0,50.58,55.48
655.6,49.54,55.00
681.3,48.49,54.51
707.9,47.44,54.02
735.6,46.40,53.52
764.4,45.35,53.02
794.3,44.31,52.51
825.4,43.28,51.99
857.7,42.26,51.46
891.3,41.24,50.93
926.1,40.24,50.40
962.4,39.25,49.86
1.000E3,38.27,49.31
1.039E3,37.31,48.75
1.080E3,36.37,48.19
1.122E3,35.45,47.63
1.166E3,34.54,47.06
1.212E3,33.66,46.48
1.259E3,32.79,45.90
1.308E3,31.95,45.32
1.359E3,31.14,44.73
1.413E3,30.34,44.13
1.468E3,29.57,43.54
1.525E3,28.83,42.93
1.585E3,28.11,42.33
1.647E3,27.42,41.72
1.711E3,26.75,41.11
1.778E3,26.11,40.49
1.848E3,25.50,39.87
1.920E3,24.91,39.25
1.995E3,24.36,38.62
2.073E3,23.82,38.00
2.154E3,23.32,37.37
2.239E3,22.84,36.74
2.326E3,22.39,36.10
2.417E3,21.97,35.47
2.512E3,21.57,34.83
2.610E3,21.20,34.19
2.712E3,20.86,33.55
2.818E3,20.54,32.91
2.929E3,20.25,32.27
3.043E3,19.99,31.62
3.162E3,19.76,30.98
3.286E3,19.54,30.33
3.415E3,19.36,29.69
3.548E3,19.20,29.04
3.687E3,19.07,28.39
3.831E3,18.96,27.74
3.981E3,18.88,27.09
4.137E3,18.83,26.45
4.299E3,18.80,25.80
4.467E3,18.80,25.15
4.642E3,18.82,24.50
4.823E3,18.87,23.85
5.012E3,18.94,23.20
5.208E3,19.04,22.55
5.412E3,19.17,21.91
5.623E3,19.32,21.26
5.843E3,19.50,20.61
6.072E3,19.70,19.97
6.310E3,19.93,19.32
6.556E3,20.19,18.68
6.813E3,20.47,18.04
7.079E3,20.78,17.39
7.356E3,21.11,16.75
7.644E3,21.48,16.11
7.943E3,21.86,15.48
8.254E3,22.28,14.84
8.577E3,22.72,14.21
8.913E3,23.19,13.58
9.261E3,23.69,12.95
9.624E3,24.21,12.32
10.00E3,24.76,11.69
10.39E3,25.34,11.07
10.80E3,25.95,10.45
11.22E3,26.58,9.837
11.66E3,27.23,9.224
12.12E3,27.92,8.614
12.59E3,28.63,8.008
13.08E3,29.36,7.406
13.59E3,30.12,6.807
14.13E3,30.91,6.213
14.68E3,31.71,5.623
15.25E3,32.54,5.038
15.85E3,33.40,4.457
16.47E3,34.27,3.881
17.11E3,35.17,3.310
17.78E3,36.08,2.745
18.48E3,37.01,2.185
19.20E3,37.96,1.631
19.95E3,38.92,1.082
20.73E3,39.90,539.0E-3
21.54E3,40.89,2.169E-3
22.39E3,41.90,-528.6E-3
23.26E3,42.91,-1.053
24.17E3,43.93,-1.571
25.12E3,44.95,-2.083
26.10E3,45.98,-2.589
27.12E3,47.02,-3.088
28.18E3,48.05,-3.581
29.29E3,49.08,-4.068
30.43E3,50.12,-4.548
31.62E3,51.14,-5.022
32.86E3,52.16,-5.489
34.15E3,53.18,-5.951
35.48E3,54.19,-6.407
36.87E3,55.18,-6.857
38.31E3,56.17,-7.301
39.81E3,57.14,-7.739
41.37E3,58.10,-8.172
42.99E3,59.04,-8.600
44.67E3,59.97,-9.022
46.42E3,60.88,-9.440
48.23E3,61.77,-9.853
50.12E3,62.65,-10.26
52.08E3,63.50,-10.67
54.12E3,64.34,-11.07
56.23E3,65.16,-11.46
58.43E3,65.96,-11.85
60.72E3,66.73,-12.24
63.10E3,67.49,-12.63
65.56E3,68.22,-13.01
68.13E3,68.94,-13.39
70.79E3,69.63,-13.76
73.56E3,70.31,-14.14
76.44E3,70.96,-14.51
79.43E3,71.59,-14.87
82.54E3,72.20,-15.24
85.77E3,72.80,-15.60
89.13E3,73.37,-15.96
92.61E3,73.92,-16.32
96.24E3,74.46,-16.68
100.0E3,74.97,-17.04
103.9E3,75.47,-17.39
108.0E3,75.95,-17.75
112.2E3,76.41,-18.10
116.6E3,76.86,-18.45
121.2E3,77.28,-18.80
125.9E3,77.69,-19.14
130.8E3,78.09,-19.49
135.9E3,78.47,-19.84
141.3E3,78.83,-20.18
146.8E3,79.18,-20.53
152.5E3,79.51,-20.87
158.5E3,79.83,-21.21
164.7E3,80.14,-21.56
171.1E3,80.43,-21.90
177.8E3,80.70,-22.24
184.8E3,80.97,-22.58
192.0E3,81.22,-22.92
199.5E3,81.46,-23.26
207.3E3,81.69,-23.60
215.4E3,81.91,-23.93
223.9E3,82.11,-24.27
232.6E3,82.31,-24.61
241.7E3,82.49,-24.95
251.2E3,82.66,-25.29
261.0E3,82.82,-25.62
271.2E3,82.97,-25.96
281.8E3,83.11,-26.30
292.9E3,83.24,-26.63
304.3E3,83.37,-26.97
316.2E3,83.48,-27.30
328.6E3,83.58,-27.64
341.5E3,83.67,-27.97
354.8E3,83.76,-28.31
368.7E3,83.83,-28.64
383.1E3,83.90,-28.98
398.1E3,83.95,-29.31
413.7E3,84.00,-29.65
429.9E3,84.04,-29.98
446.7E3,84.07,-30.32
464.2E3,84.09,-30.65
482.3E3,84.10,-30.99
501.2E3,84.11,-31.32
520.8E3,84.10,-31.66
541.2E3,84.09,-31.99
562.3E3,84.07,-32.32
584.3E3,84.04,-32.66
607.2E3,84.00,-32.99
631.0E3,83.95,-33.33
655.6E3,83.89,-33.66
681.3E3,83.83,-33.99
707.9E3,83.75,-34.33
735.6E3,83.67,-34.66
764.4E3,83.57,-35.00
794.3E3,83.47,-35.33
825.4E3,83.36,-35.66
857.7E3,83.23,-36.00
891.3E3,83.10,-36.33
926.1E3,82.96,-36.66
962.4E3,82.81,-37.00
1.000E6,82.64,-37.33
1.039E6,82.47,-37.67
1.080E6,82.28,-38.00
1.122E6,82.09,-38.33
1.166E6,81.88,-38.67
1.212E6,81.66,-39.00
1.259E6,81.43,-39.33
1.308E6,81.18,-39.67
1.359E6,80.92,-40.00
1.413E6,80.65,-40.33
1.468E6,80.37,-40.67
1.525E6,80.07,-41.00
1.585E6,79.76,-41.34
1.647E6,79.43,-41.67
1.711E6,79.08,-42.00
1.778E6,78.72,-42.34
1.848E6,78.35,-42.67
1.920E6,77.96,-43.00
1.995E6,77.54,-43.34
2.073E6,77.12,-43.67
2.154E6,76.67,-44.01
2.239E6,76.20,-44.34
2.326E6,75.71,-44.67
2.417E6,75.21,-45.01
2.512E6,74.68,-45.34
2.610E6,74.13,-45.68
2.712E6,73.55,-46.01
2.818E6,72.96,-46.35
2.929E6,72.33,-46.68
3.043E6,71.69,-47.01
3.162E6,71.01,-47.35
3.286E6,70.31,-47.68
3.415E6,69.58,-48.02
3.548E6,68.83,-48.35
3.687E6,68.04,-48.69
3.831E6,67.22,-49.02
3.981E6,66.37,-49.36
4.137E6,65.49,-49.69
4.299E6,64.57,-50.03
4.467E6,63.62,-50.36
4.642E6,62.63,-50.70
4.823E6,61.60,-51.04
5.012E6,60.54,-51.37
5.208E6,59.43,-51.71
5.412E6,58.29,-52.05
5.623E6,57.10,-52.38
5.843E6,55.87,-52.72
6.072E6,54.59,-53.06
6.310E6,53.27,-53.40
6.556E6,51.90,-53.74
6.813E6,50.48,-54.08
7.079E6,49.02,-54.42
7.356E6,47.50,-54.76
7.644E6,45.93,-55.10
7.943E6,44.31,-55.44
8.254E6,42.63,-55.78
8.577E6,40.90,-56.12
8.913E6,39.11,-56.47
9.261E6,37.27,-56.81
9.624E6,35.36,-57.16
10.00E6,33.41,-57.50
10.39E6,31.39,-57.85
10.80E6,29.31,-58.20
11.22E6,27.17,-58.55
11.66E6,24.98,-58.90
12.12E6,22.72,-59.26
12.59E6,20.41,-59.61
13.08E6,18.04,-59.97
13.59E6,15.61,-60.32
14.13E6,13.12,-60.68
14.68E6,10.58,-61.05
15.25E6,7.981,-61.41
15.85E6,5.332,-61.78
16.47E6,2.631,-62.15
17.11E6,-118.8E-3,-62.52
17.78E6,-2.916,-62.89
18.48E6,-5.757,-63.27
19.20E6,-8.641,-63.65
19.95E6,-11.56,-64.03
20.73E6,-14.52,-64.41
21.54E6,-17.52,-64.80
22.39E6,-20.54,-65.19
23.26E6,-23.59,-65.59
24.17E6,-26.67,-65.98
25.12E6,-29.77,-66.38
26.10E6,-32.88,-66.79
27.12E6,-36.01,-67.20
28.18E6,-39.16,-67.61
