freq (Hz),Loop Gain Phase (deg),Loop Gain dB20 (dB)
1.000,179.1,83.38
1.039,179.1,83.38
1.080,179.0,83.38
1.122,179.0,83.38
1.166,179.0,83.38
1.212,178.9,83.37
1.259,178.9,83.37
1.308,178.8,83.37
1.359,178.8,83.37
1.413,178.7,83.37
1.468,178.7,83.37
1.525,178.6,83.37
1.585,178.6,83.37
1.647,178.5,83.37
1.711,178.5,83.37
1.778,178.4,83.37
1.848,178.3,83.37
1.920,178.3,83.37
1.995,178.2,83.37
2.073,178.1,83.37
2.154,178.1,83.37
2.239,178.0,83.37
2.326,177.9,83.37
2.417,177.8,83.37
2.512,177.8,83.37
2.610,177.7,83.37
2.712,177.6,83.37
2.818,177.5,83.37
2.929,177.4,83.37
3.043,177.3,83.37
3.162,177.2,83.37
3.286,177.1,83.37
3.415,176.9,83.36
3.548,176.8,83.36
3.687,176.7,83.36
3.831,176.6,83.36
3.981,176.4,83.36
4.137,176.3,83.36
4.299,176.2,83.36
4.467,176.0,83.36
4.642,175.9,83.35
4.823,175.7,83.35
5.012,175.5,83.35
5.208,175.4,83.35
5.412,175.2,83.35
5.623,175.0,83.34
5.843,174.8,83.34
6.072,174.6,83.34
6.310,174.4,83.33
6.556,174.2,83.33
6.813,173.9,83.33
7.079,173.7,83.32
7.356,173.4,83.32
7.644,173.2,83.32
7.943,172.9,83.31
8.254,172.7,83.31
8.577,172.4,83.30
8.913,172.1,83.29
9.261,171.8,83.29
9.624,171.5,83.28
10.00,171.1,83.27
10.39,170.8,83.26
10.80,170.4,83.26
11.22,170.1,83.25
11.66,169.7,83.24
12.12,169.3,83.22
12.59,168.9,83.21
13.08,168.5,83.20
13.59,168.0,83.19
14.13,167.6,83.17
14.68,167.1,83.16
15.25,166.6,83.14
15.85,166.1,83.12
16.47,165.6,83.10
17.11,165.0,83.08
17.78,164.5,83.06
18.48,163.9,83.03
19.20,163.3,83.00
19.95,162.7,82.98
20.73,162.1,82.95
21.54,161.4,82.91
22.39,160.7,82.88
23.26,160.0,82.84
24.17,159.3,82.80
25.12,158.6,82.76
26.10,157.8,82.71
27.12,157.0,82.66
28.18,156.2,82.61
29.29,155.4,82.56
30.43,154.6,82.50
31.62,153.7,82.43
32.86,152.8,82.37
34.15,151.9,82.29
35.48,151.0,82.22
36.87,150.0,82.14
38.31,149.1,82.05
39.81,148.1,81.96
41.37,147.1,81.87
42.99,146.1,81.77
44.67,145.1,81.66
46.42,144.0,81.55
48.23,143.0,81.43
50.12,141.9,81.31
52.08,140.8,81.18
54.12,139.7,81.05
56.23,138.7,80.90
58.43,137.6,80.76
60.72,136.5,80.60
63.10,135.4,80.44
65.56,134.3,80.27
68.13,133.1,80.10
70.79,132.0,79.92
73.56,130.9,79.73
76.44,129.9,79.54
79.43,128.8,79.34
82.54,127.7,79.14
85.77,126.6,78.93
89.13,125.6,78.71
92.61,124.5,78.49
96.24,123.5,78.26
100.0,122.5,78.03
103.9,121.5,77.79
108.0,120.5,77.55
112.2,119.5,77.30
116.6,118.6,77.04
121.2,117.6,76.79
125.9,116.7,76.52
130.8,115.8,76.26
135.9,115.0,75.99
141.3,114.1,75.71
146.8,113.3,75.43
152.5,112.5,75.15
158.5,111.7,74.87
164.7,110.9,74.58
171.1,110.2,74.29
177.8,109.4,73.99
184.8,108.7,73.70
192.0,108.1,73.40
199.5,107.4,73.10
207.3,106.7,72.80
215.4,106.1,72.49
223.9,105.5,72.18
232.6,104.9,71.87
241.7,104.3,71.56
251.2,103.8,71.25
261.0,103.2,70.94
271.2,102.7,70.62
281.8,102.2,70.31
292.9,101.7,69.99
304.3,101.2,69.67
316.2,100.8,69.35
328.6,100.3,69.03
341.5,99.87,68.71
354.8,99.45,68.39
368.7,99.04,68.06
383.1,98.64,67.74
398.1,98.26,67.41
413.7,97.88,67.09
429.9,97.52,66.76
446.7,97.17,66.43
464.2,96.82,66.11
482.3,96.49,65.78
501.2,96.16,65.45
520.8,95.85,65.12
541.2,95.54,64.79
562.3,95.24,64.47
584.3,94.95,64.14
607.2,94.66,63.81
631.0,94.38,63.47
655.6,94.11,63.14
681.3,93.84,62.81
707.9,93.58,62.48
735.6,93.32,62.15
764.4,93.07,61.82
794.3,92.82,61.49
825.4,92.58,61.15
857.7,92.34,60.82
891.3,92.10,60.49
926.1,91.87,60.16
962.4,91.64,59.82
1.000E3,91.41,59.49
1.039E3,91.19,59.16
1.080E3,90.96,58.82
1.122E3,90.74,58.49
1.166E3,90.52,58.15
1.212E3,90.30,57.82
1.259E3,90.08,57.49
1.308E3,89.86,57.15
1.359E3,89.64,56.81
1.413E3,89.42,56.48
1.468E3,89.20,56.14
1.525E3,88.98,55.81
1.585E3,88.76,55.47
1.647E3,88.53,55.13
1.711E3,88.30,54.80
1.778E3,88.08,54.46
1.848E3,87.85,54.12
1.920E3,87.61,53.78
1.995E3,87.38,53.45
2.073E3,87.14,53.11
2.154E3,86.90,52.77
2.239E3,86.65,52.43
2.326E3,86.40,52.09
2.417E3,86.15,51.74
2.512E3,85.89,51.40
2.610E3,85.62,51.06
2.712E3,85.35,50.72
2.818E3,85.08,50.37
2.929E3,84.80,50.03
3.043E3,84.52,49.68
3.162E3,84.23,49.34
3.286E3,83.93,48.99
3.415E3,83.63,48.64
3.548E3,83.32,48.29
3.687E3,83.00,47.94
3.831E3,82.68,47.58
3.981E3,82.36,47.23
4.137E3,82.02,46.88
4.299E3,81.68,46.52
4.467E3,81.33,46.16
4.642E3,80.98,45.80
4.823E3,80.62,45.44
5.012E3,80.26,45.07
5.208E3,79.89,44.71
5.412E3,79.51,44.34
5.623E3,79.13,43.97
5.843E3,78.74,43.59
6.072E3,78.35,43.22
6.310E3,77.96,42.84
6.556E3,77.57,42.46
6.813E3,77.17,42.08
7.079E3,76.77,41.69
7.356E3,76.37,41.30
7.644E3,75.98,40.91
7.943E3,75.58,40.51
8.254E3,75.19,40.11
8.577E3,74.80,39.71
8.913E3,74.42,39.31
9.261E3,74.04,38.90
9.624E3,73.67,38.49
10.00E3,73.31,38.07
10.39E3,72.96,37.65
10.80E3,72.63,37.23
11.22E3,72.31,36.81
11.66E3,72.00,36.38
12.12E3,71.72,35.95
12.59E3,71.45,35.52
13.08E3,71.20,35.08
13.59E3,70.97,34.65
14.13E3,70.76,34.21
14.68E3,70.58,33.76
15.25E3,70.42,33.32
15.85E3,70.29,32.88
16.47E3,70.18,32.43
17.11E3,70.10,31.98
17.78E3,70.05,31.54
18.48E3,70.02,31.09
19.20E3,70.03,30.64
19.95E3,70.06,30.19
20.73E3,70.11,29.74
21.54E3,70.20,29.30
22.39E3,70.30,28.85
23.26E3,70.44,28.41
24.17E3,70.60,27.97
25.12E3,70.78,27.53
26.10E3,70.99,27.09
27.12E3,71.21,26.65
28.18E3,71.46,26.22
29.29E3,71.72,25.79
30.43E3,72.00,25.36
31.62E3,72.30,24.94
32.86E3,72.61,24.52
34.15E3,72.93,24.10
35.48E3,73.27,23.68
36.87E3,73.61,23.27
38.31E3,73.96,22.86
39.81E3,74.32,22.46
41.37E3,74.68,22.05
42.99E3,75.05,21.65
44.67E3,75.42,21.26
46.42E3,75.79,20.87
48.23E3,76.16,20.48
50.12E3,76.52,20.09
52.08E3,76.89,19.71
54.12E3,77.26,19.32
56.23E3,77.62,18.95
58.43E3,77.97,18.57
60.72E3,78.33,18.20
63.10E3,78.67,17.82
65.56E3,79.01,17.46
68.13E3,79.35,17.09
70.79E3,79.67,16.72
73.56E3,79.99,16.36
