freq (Hz),Loop Gain Phase (deg),Loop Gain dB20 (dB)
1.000,178.3,88.84
1.039,178.2,88.84
1.080,178.2,88.84
1.122,178.1,88.84
1.166,178.0,88.84
1.212,177.9,88.84
1.259,177.9,88.84
1.308,177.8,88.84
1.359,177.7,88.84
1.413,177.6,88.84
1.468,177.5,88.84
1.525,177.4,88.84
1.585,177.3,88.84
1.647,177.2,88.83
1.711,177.1,88.83
1.778,177.0,88.83
1.848,176.9,88.83
1.920,176.7,88.83
1.995,176.6,88.83
2.073,176.5,88.83
2.154,176.4,88.83
2.239,176.2,88.83
2.326,176.1,88.82
2.417,175.9,88.82
2.512,175.7,88.82
2.610,175.6,88.82
2.712,175.4,88.82
2.818,175.2,88.81
2.929,175.0,88.81
3.043,174.9,88.81
3.162,174.7,88.81
3.286,174.4,88.80
3.415,174.2,88.80
3.548,174.0,88.80
3.687,173.8,88.79
3.831,173.5,88.79
3.981,173.3,88.78
4.137,173.0,88.78
4.299,172.7,88.78
4.467,172.5,88.77
4.642,172.2,88.76
4.823,171.9,88.76
5.012,171.6,88.75
5.208,171.2,88.74
5.412,170.9,88.73
5.623,170.6,88.73
5.843,170.2,88.72
6.072,169.8,88.71
6.310,169.4,88.70
6.556,169.0,88.68
6.813,168.6,88.67
7.079,168.2,88.66
7.356,167.7,88.64
7.644,167.3,88.63
7.943,166.8,88.61
8.254,166.3,88.59
8.577,165.8,88.57
8.913,165.2,88.55
9.261,164.7,88.53
9.624,164.1,88.51
10.00,163.5,88.48
10.39,162.9,88.45
10.80,162.3,88.42
11.22,161.6,88.39
11.66,161.0,88.36
12.12,160.3,88.32
12.59,159.6,88.28
13.08,158.8,88.24
13.59,158.1,88.19
14.13,157.3,88.15
14.68,156.5,88.10
15.25,155.7,88.04
15.85,154.9,87.98
16.47,154.0,87.92
17.11,153.1,87.86
17.78,152.2,87.79
18.48,151.3,87.71
19.20,150.4,87.63
19.95,149.4,87.55
20.73,148.5,87.46
21.54,147.5,87.37
22.39,146.5,87.27
23.26,145.4,87.16
24.17,144.4,87.05
25.12,143.3,86.94
26.10,142.3,86.82
27.12,141.2,86.69
28.18,140.1,86.56
29.29,139.1,86.42
30.43,138.0,86.27
31.62,136.9,86.12
32.86,135.8,85.96
34.15,134.7,85.80
35.48,133.6,85.62
36.87,132.5,85.45
38.31,131.4,85.26
39.81,130.3,85.07
41.37,129.2,84.88
42.99,128.1,84.67
44.67,127.0,84.46
46.42,126.0,84.25
48.23,124.9,84.03
50.12,123.9,83.80
52.08,122.9,83.57
54.12,121.9,83.33
56.23,120.9,83.09
58.43,119.9,82.84
60.72,119.0,82.59
63.10,118.0,82.34
65.56,117.1,82.07
68.13,116.2,81.81
70.79,115.4,81.54
73.56,114.5,81.27
76.44,113.7,80.99
79.43,112.9,80.71
82.54,112.1,80.43
85.77,111.3,80.14
89.13,110.6,79.85
92.61,109.8,79.56
96.24,109.1,79.26
100.0,108.4,78.96
103.9,107.8,78.66
108.0,107.1,78.36
112.2,106.5,78.06
116.6,105.9,77.75
121.2,105.3,77.44
125.9,104.7,77.13
130.8,104.2,76.82
135.9,103.6,76.51
141.3,103.1,76.19
146.8,102.6,75.87
152.5,102.1,75.56
158.5,101.6,75.24
164.7,101.2,74.92
171.1,100.7,74.60
177.8,100.3,74.28
184.8,99.89,73.96
192.0,99.49,73.63
199.5,99.10,73.31
207.3,98.72,72.99
215.4,98.36,72.66
223.9,98.01,72.33
232.6,97.66,72.01
241.7,97.33,71.68
251.2,97.01,71.35
261.0,96.70,71.03
271.2,96.40,70.70
281.8,96.10,70.37
292.9,95.82,70.04
304.3,95.54,69.71
316.2,95.27,69.38
328.6,95.01,69.05
341.5,94.76,68.72
354.8,94.51,68.39
368.7,94.27,68.06
383.1,94.04,67.73
398.1,93.81,67.40
413.7,93.59,67.07
429.9,93.37,66.74
446.7,93.15,66.40
464.2,92.95,66.07
482.3,92.74,65.74
501.2,92.54,65.41
520.8,92.34,65.08
541.2,92.15,64.74
562.3,91.96,64.41
584.3,91.77,64.08
607.2,91.59,63.74
631.0,91.41,63.41
655.6,91.23,63.08
681.3,91.05,62.75
707.9,90.87,62.41
735.6,90.70,62.08
764.4,90.52,61.74
794.3,90.35,61.41
825.4,90.17,61.08
857.7,90.00,60.74
891.3,89.83,60.41
926.1,89.66,60.07
962.4,89.48,59.74
1.000E3,89.31,59.40
1.039E3,89.13,59.07
1.080E3,88.96,58.73
1.122E3,88.78,58.40
1.166E3,88.60,58.06
1.212E3,88.42,57.73
1.259E3,88.24,57.39
1.308E3,88.05,57.06
1.359E3,87.86,56.72
1.413E3,87.67,56.38
1.468E3,87.48,56.05
1.525E3,87.28,55.71
1.585E3,87.08,55.37
1.647E3,86.88,55.03
1.711E3,86.67,54.70
1.778E3,86.45,54.36
1.848E3,86.24,54.02
1.920E3,86.01,53.68
1.995E3,85.78,53.34
2.073E3,85.55,53.00
2.154E3,85.31,52.66
2.239E3,85.07,52.31
2.326E3,84.82,51.97
2.417E3,84.56,51.63
2.512E3,84.30,51.28
2.610E3,84.03,50.94
2.712E3,83.75,50.59
2.818E3,83.47,50.25
2.929E3,83.18,49.90
3.043E3,82.88,49.55
3.162E3,82.57,49.20
3.286E3,82.26,48.85
3.415E3,81.94,48.50
3.548E3,81.61,48.14
3.687E3,81.28,47.79
3.831E3,80.93,47.43
3.981E3,80.58,47.07
4.137E3,80.22,46.71
4.299E3,79.85,46.35
4.467E3,79.48,45.99
4.642E3,79.09,45.62
4.823E3,78.71,45.25
5.012E3,78.31,44.88
5.208E3,77.91,44.51
5.412E3,77.50,44.13
5.623E3,77.09,43.76
5.843E3,76.67,43.37
6.072E3,76.25,42.99
6.310E3,75.82,42.60
6.556E3,75.40,42.21
6.813E3,74.97,41.82
7.079E3,74.54,41.43
7.356E3,74.11,41.03
7.644E3,73.69,40.62
7.943E3,73.27,40.22
8.254E3,72.85,39.81
8.577E3,72.44,39.39
8.913E3,72.03,38.98
9.261E3,71.64,38.56
9.624E3,71.26,38.13
10.00E3,70.88,37.70
10.39E3,70.53,37.27
10.80E3,70.18,36.84
11.22E3,69.86,36.40
11.66E3,69.55,35.96
12.12E3,69.26,35.52
12.59E3,69.00,35.07
13.08E3,68.76,34.62
13.59E3,68.54,34.17
14.13E3,68.35,33.72
14.68E3,68.18,33.26
15.25E3,68.04,32.81
15.85E3,67.93,32.35
16.47E3,67.85,31.89
17.11E3,67.80,31.43
17.78E3,67.78,30.97
18.48E3,67.78,30.51
19.20E3,67.82,30.05
19.95E3,67.89,29.60
20.73E3,67.98,29.14
21.54E3,68.11,28.68
22.39E3,68.26,28.23
23.26E3,68.43,27.77
24.17E3,68.64,27.32
25.12E3,68.86,26.87
26.10E3,69.11,26.43
27.12E3,69.38,25.98
28.18E3,69.68,25.54
29.29E3,69.99,25.11
30.43E3,70.31,24.67
31.62E3,70.65,24.24
32.86E3,71.01,23.81
34.15E3,71.38,23.39
35.48E3,71.75,22.97
36.87E3,72.14,22.55
38.31E3,72.54,22.14
39.81E3,72.93,21.73
41.37E3,73.34,21.32
42.99E3,73.75,20.92
44.67E3,74.15,20.52
46.42E3,74.56,20.12
48.23E3,74.97,19.73
50.12E3,75.38,19.34
52.08E3,75.78,18.95
54.12E3,76.18,18.57
56.23E3,76.57,18.19
58.43E3,76.96,17.81
60.72E3,77.35,17.43
63.10E3,77.72,17.06
65.56E3,78.09,16.69
68.13E3,78.46,16.32
70.79E3,78.81,15.95
73.56E3,79.16,15.59
76.44E3,79.50,15.23
79.43E3,79.83,14.87
82.54E3,80.15,14.51
85.77E3,80.46,14.15
89.13E3,80.76,13.80
92.61E3,81.06,13.44
96.24E3,81.34,13.09
100.0E3,81.62,12.74
103.9E3,81.88,12.39
108.0E3,82.14,12.04
112.2E3,82.39,11.69
116.6E3,82.63,11.35
121.2E3,82.86,11.00
125.9E3,83.09,10.66
130.8E3,83.30,10.31
135.9E3,83.51,9.968
141.3E3,83.71,9.625
146.8E3,83.90,9.283
152.5E3,84.08,8.942
158.5E3,84.25,8.601
164.7E3,84.42,8.260
171.1E3,84.58,7.921
177.8E3,84.73,7.581
184.8E3,84.88,7.242
192.0E3,85.02,6.904
199.5E3,85.15,6.566
207.3E3,85.27,6.228
215.4E3,85.39,5.890
223.9E3,85.50,5.553
232.6E3,85.61,5.216
241.7E3,85.71,4.880
251.2E3,85.80,4.543
261.0E3,85.89,4.207
271.2E3,85.97,3.871
281.8E3,86.05,3.535
292.9E3,86.12,3.200
304.3E3,86.18,2.864
316.2E3,86.24,2.529
328.6E3,86.29,2.194
341.5E3,86.34,1.859
354.8E3,86.38,1.524
368.7E3,86.42,1.189
383.1E3,86.45,854.1E-3
398.1E3,86.48,519.5E-3
413.7E3,86.50,184.9E-3
429.9E3,86.52,-149.6E-3
446.7E3,86.53,-484.0E-3
464.2E3,86.54,-818.4E-3
482.3E3,86.54,-1.153
501.2E3,86.54,-1.487
520.8E3,86.53,-1.821
541.2E3,86.52,-2.155
562.3E3,86.50,-2.490
584.3E3,86.48,-2.824
607.2E3,86.45,-3.158
631.0E3,86.41,-3.492
655.6E3,86.38,-3.826
681.3E3,86.33,-4.160
707.9E3,86.28,-4.494
735.6E3,86.23,-4.828
764.4E3,86.17,-5.162
794.3E3,86.10,-5.496
825.4E3,86.03,-5.830
857.7E3,85.95,-6.164
891.3E3,85.86,-6.498
926.1E3,85.77,-6.832
962.4E3,85.68,-7.167
1.000E6,85.58,-7.501
1.039E6,85.47,-7.835
1.080E6,85.35,-8.169
1.122E6,85.23,-8.503
1.166E6,85.10,-8.838
1.212E6,84.96,-9.172
1.259E6,84.82,-9.507
1.308E6,84.67,-9.841
1.359E6,84.51,-10.18
1.413E6,84.34,-10.51
1.468E6,84.16,-10.85
1.525E6,83.98,-11.18
1.585E6,83.79,-11.52
1.647E6,83.58,-11.85
1.711E6,83.37,-12.19
1.778E6,83.15,-12.52
1.848E6,82.92,-12.86
1.920E6,82.68,-13.19
1.995E6,82.42,-13.53
2.073E6,82.16,-13.86
2.154E6,81.89,-14.20
2.239E6,81.60,-14.54
2.326E6,81.30,-14.87
2.417E6,80.99,-15.21
2.512E6,80.66,-15.55
2.610E6,80.33,-15.89
2.712E6,79.97,-16.22
2.818E6,79.61,-16.56
2.929E6,79.23,-16.90
3.043E6,78.83,-17.24
3.162E6,78.41,-17.58
3.286E6,77.98,-17.92
3.415E6,77.54,-18.26
3.548E6,77.07,-18.60
3.687E6,76.59,-18.95
3.831E6,76.09,-19.29
3.981E6,75.57,-19.63
4.137E6,75.02,-19.98
4.299E6,74.46,-20.32
4.467E6,73.87,-20.67
4.642E6,73.27,-21.01
4.823E6,72.64,-21.36
5.012E6,71.98,-21.71
5.208E6,71.30,-22.06
5.412E6,70.60,-22.41
5.623E6,69.86,-22.77
5.843E6,69.11,-23.12
6.072E6,68.32,-23.48
6.310E6,67.50,-23.84
6.556E6,66.66,-24.20
6.813E6,65.78,-24.56
7.079E6,64.88,-24.92
7.356E6,63.94,-25.29
7.644E6,62.97,-25.66
7.943E6,61.96,-26.03
8.254E6,60.92,-26.40
8.577E6,59.85,-26.78
8.913E6,58.74,-27.16
9.261E6,57.59,-27.55
9.624E6,56.41,-27.94
10.00E6,55.19,-28.33
10.39E6,53.93,-28.73
10.80E6,52.63,-29.13
11.22E6,51.29,-29.53
11.66E6,49.92,-29.94
12.12E6,48.50,-30.36
12.59E6,47.05,-30.78
13.08E6,45.56,-31.21
13.59E6,44.03,-31.64
14.13E6,42.46,-32.08
14.68E6,40.85,-32.53
15.25E6,39.20,-32.99
15.85E6,37.52,-33.45
16.47E6,35.80,-33.92
17.11E6,34.05,-34.39
17.78E6,32.26,-34.88
18.48E6,30.44,-35.37
19.20E6,28.58,-35.87
19.95E6,26.70,-36.38
20.73E6,24.78,-36.90
21.54E6,22.84,-37.43
22.39E6,20.87,-37.97
23.26E6,18.88,-38.52
24.17E6,16.86,-39.08
25.12E6,14.82,-39.65
26.10E6,12.76,-40.22
27.12E6,10.68,-40.81
28.18E6,8.587,-41.41
29.29E6,6.474,-42.02
30.43E6,4.346,-42.64
31.62E6,2.204,-43.26
32.86E6,50.35E-3,-43.90
34.15E6,-2.115,-44.55
35.48E6,-4.290,-45.21
36.87E6,-6.474,-45.88
38.31E6,-8.665,-46.56
39.81E6,-10.86,-47.25
41.37E6,-13.07,-47.95
42.99E6,-15.27,-48.66
44.67E6,-17.49,-49.38
46.42E6,-19.70,-50.12
48.23E6,-21.91,-50.86
50.12E6,-24.13,-51.61
52.08E6,-26.34,-52.37
54.12E6,-28.55,-53.15
56.23E6,-30.76,-53.93
58.43E6,-32.96,-54.73
60.72E6,-35.16,-55.53
63.10E6,-37.35,-56.35
65.56E6,-39.53,-57.17
68.13E6,-41.70,-58.01
70.79E6,-43.86,-58.86
73.56E6,-46.01,-59.71
76.44E6,-48.14,-60.58
79.43E6,-50.25,-61.46
82.54E6,-52.34,-62.35
85.77E6,-54.42,-63.25
89.13E6,-56.47,-64.15
92.61E6,-58.51,-65.07
96.24E6,-60.51,-66.00
100.0E6,-62.49,-66.93
103.9E6,-64.44,-67.88
108.0E6,-66.36,-68.83
112.2E6,-68.26,-69.80
116.6E6,-70.11,-70.77
121.2E6,-71.94,-71.75
125.9E6,-73.73,-72.73
130.8E6,-75.48,-73.73
135.9E6,-77.20,-74.73
141.3E6,-78.87,-75.73
146.8E6,-80.51,-76.75
152.5E6,-82.11,-77.76
158.5E6,-83.68,-78.79
164.7E6,-85.20,-79.82
171.1E6,-86.68,-80.85
177.8E6,-88.13,-81.89
184.8E6,-89.53,-82.93
192.0E6,-90.90,-83.97
199.5E6,-92.24,-85.02
207.3E6,-93.54,-86.06
215.4E6,-94.80,-87.11
223.9E6,-96.04,-88.16
232.6E6,-97.24,-89.21
241.7E6,-98.42,-90.26
251.2E6,-99.57,-91.32
261.0E6,-100.7,-92.37
271.2E6,-101.8,-93.42
281.8E6,-102.9,-94.47
292.9E6,-104.0,-95.51
304.3E6,-105.0,-96.56
316.2E6,-106.1,-97.60
328.6E6,-107.1,-98.65
341.5E6,-108.2,-99.69
354.8E6,-109.2,-100.7
368.7E6,-110.3,-101.8
383.1E6,-111.3,-102.8
398.1E6,-112.4,-103.8
413.7E6,-113.4,-104.9
429.9E6,-114.5,-105.9
