freq (Hz),Loop Gain Phase (deg),Loop Gain dB20 (dB)
1.000,178.6,87.40
1.039,178.6,87.40
1.080,178.5,87.40
1.122,178.5,87.40
1.166,178.4,87.40
1.212,178.3,87.40
1.259,178.3,87.40
1.308,178.2,87.40
1.359,178.1,87.40
1.413,178.1,87.40
1.468,178.0,87.40
1.525,177.9,87.40
1.585,177.8,87.40
1.647,177.7,87.40
1.711,177.7,87.40
1.778,177.6,87.40
1.848,177.5,87.40
1.920,177.4,87.40
1.995,177.3,87.40
2.073,177.2,87.40
2.154,177.1,87.40
2.239,176.9,87.39
2.326,176.8,87.39
2.417,176.7,87.39
2.512,176.6,87.39
2.610,176.4,87.39
2.712,176.3,87.39
2.818,176.1,87.39
2.929,176.0,87.39
3.043,175.8,87.38
3.162,175.7,87.38
3.286,175.5,87.38
3.415,175.3,87.38
3.548,175.2,87.38
3.687,175.0,87.37
3.831,174.8,87.37
3.981,174.6,87.37
4.137,174.4,87.36
4.299,174.1,87.36
4.467,173.9,87.36
4.642,173.7,87.35
4.823,173.4,87.35
5.012,173.2,87.35
5.208,172.9,87.34
5.412,172.6,87.34
5.623,172.3,87.33
5.843,172.0,87.32
6.072,171.7,87.32
6.310,171.4,87.31
6.556,171.1,87.30
6.813,170.8,87.29
7.079,170.4,87.28
7.356,170.0,87.28
7.644,169.6,87.26
7.943,169.2,87.25
8.254,168.8,87.24
8.577,168.4,87.23
8.913,168.0,87.21
9.261,167.5,87.20
9.624,167.0,87.18
10.00,166.6,87.17
10.39,166.1,87.15
10.80,165.5,87.13
11.22,165.0,87.11
11.66,164.4,87.08
12.12,163.8,87.06
12.59,163.3,87.03
13.08,162.6,87.00
13.59,162.0,86.97
14.13,161.3,86.94
14.68,160.7,86.90
15.25,160.0,86.87
15.85,159.2,86.83
16.47,158.5,86.78
17.11,157.7,86.74
17.78,157.0,86.69
18.48,156.2,86.64
19.20,155.3,86.58
19.95,154.5,86.52
20.73,153.6,86.46
21.54,152.7,86.39
22.39,151.8,86.32
23.26,150.9,86.24
24.17,150.0,86.16
25.12,149.0,86.07
26.10,148.0,85.98
27.12,147.0,85.89
28.18,146.0,85.79
29.29,145.0,85.68
30.43,143.9,85.57
31.62,142.9,85.45
32.86,141.8,85.33
34.15,140.7,85.20
35.48,139.7,85.06
36.87,138.6,84.92
38.31,137.5,84.77
39.81,136.4,84.61
41.37,135.3,84.45
42.99,134.2,84.29
44.67,133.1,84.11
46.42,132.0,83.93
48.23,130.9,83.74
50.12,129.8,83.55
52.08,128.7,83.35
54.12,127.6,83.15
56.23,126.6,82.94
58.43,125.5,82.72
60.72,124.5,82.50
63.10,123.4,82.27
65.56,122.4,82.03
68.13,121.4,81.79
70.79,120.5,81.55
73.56,119.5,81.30
76.44,118.5,81.05
79.43,117.6,80.79
82.54,116.7,80.52
85.77,115.8,80.26
89.13,115.0,79.99
92.61,114.1,79.71
96.24,113.3,79.43
100.0,112.5,79.15
103.9,111.7,78.87
108.0,110.9,78.58
112.2,110.2,78.29
116.6,109.5,77.99
121.2,108.8,77.70
125.9,108.1,77.40
130.8,107.4,77.10
135.9,106.8,76.79
141.3,106.2,76.49
146.8,105.6,76.18
152.5,105.0,75.87
158.5,104.4,75.56
164.7,103.9,75.25
171.1,103.3,74.93
177.8,102.8,74.62
184.8,102.3,74.30
192.0,101.8,73.98
199.5,101.4,73.67
207.3,100.9,73.35
215.4,100.5,73.02
223.9,100.1,72.70
232.6,99.64,72.38
241.7,99.24,72.06
251.2,98.85,71.73
261.0,98.48,71.41
271.2,98.11,71.08
281.8,97.76,70.76
292.9,97.42,70.43
304.3,97.09,70.10
316.2,96.77,69.78
328.6,96.46,69.45
341.5,96.15,69.12
354.8,95.86,68.79
368.7,95.58,68.46
383.1,95.30,68.13
398.1,95.03,67.80
413.7,94.76,67.47
429.9,94.51,67.14
446.7,94.26,66.81
464.2,94.01,66.48
482.3,93.78,66.15
501.2,93.54,65.82
520.8,93.32,65.49
541.2,93.09,65.15
562.3,92.88,64.82
584.3,92.66,64.49
607.2,92.45,64.16
631.0,92.24,63.83
655.6,92.04,63.49
681.3,91.84,63.16
707.9,91.64,62.83
735.6,91.45,62.49
764.4,91.25,62.16
794.3,91.06,61.83
825.4,90.87,61.49
857.7,90.68,61.16
891.3,90.50,60.83
926.1,90.31,60.49
962.4,90.12,60.16
1.000E3,89.94,59.82
1.039E3,89.75,59.49
1.080E3,89.57,59.16
1.122E3,89.38,58.82
1.166E3,89.19,58.49
1.212E3,89.00,58.15
1.259E3,88.81,57.81
1.308E3,88.62,57.48
1.359E3,88.43,57.14
1.413E3,88.24,56.81
1.468E3,88.04,56.47
1.525E3,87.84,56.13
1.585E3,87.64,55.80
1.647E3,87.43,55.46
1.711E3,87.22,55.12
1.778E3,87.01,54.78
1.848E3,86.79,54.44
1.920E3,86.57,54.10
1.995E3,86.35,53.77
2.073E3,86.12,53.43
2.154E3,85.88,53.08
2.239E3,85.64,52.74
2.326E3,85.40,52.40
2.417E3,85.15,52.06
2.512E3,84.89,51.72
2.610E3,84.63,51.37
2.712E3,84.36,51.03
2.818E3,84.09,50.68
2.929E3,83.80,50.34
3.043E3,83.52,49.99
3.162E3,83.22,49.64
3.286E3,82.92,49.29
3.415E3,82.61,48.94
3.548E3,82.30,48.59
3.687E3,81.97,48.23
3.831E3,81.64,47.88
3.981E3,81.30,47.52
4.137E3,80.96,47.16
4.299E3,80.61,46.81
4.467E3,80.25,46.44
4.642E3,79.88,46.08
4.823E3,79.51,45.71
5.012E3,79.13,45.35
5.208E3,78.74,44.98
5.412E3,78.35,44.60
5.623E3,77.96,44.23
5.843E3,77.55,43.85
6.072E3,77.15,43.47
6.310E3,76.74,43.09
6.556E3,76.33,42.70
6.813E3,75.92,42.32
7.079E3,75.50,41.92
7.356E3,75.09,41.53
7.644E3,74.68,41.13
7.943E3,74.27,40.73
8.254E3,73.87,40.32
8.577E3,73.47,39.92
8.913E3,73.07,39.51
9.261E3,72.69,39.09
9.624E3,72.31,38.67
10.00E3,71.94,38.25
10.39E3,71.59,37.82
10.80E3,71.25,37.40
11.22E3,70.93,36.97
11.66E3,70.63,36.53
12.12E3,70.34,36.09
12.59E3,70.07,35.65
13.08E3,69.83,35.21
13.59E3,69.61,34.77
14.13E3,69.41,34.32
14.68E3,69.23,33.87
15.25E3,69.09,33.42
15.85E3,68.97,32.97
16.47E3,68.88,32.51
17.11E3,68.81,32.06
17.78E3,68.78,31.60
18.48E3,68.77,31.15
19.20E3,68.79,30.70
19.95E3,68.84,30.24
20.73E3,68.92,29.79
21.54E3,69.03,29.34
22.39E3,69.16,28.89
23.26E3,69.32,28.44
24.17E3,69.51,27.99
25.12E3,69.71,27.55
26.10E3,69.95,27.10
27.12E3,70.20,26.66
28.18E3,70.47,26.23
29.29E3,70.76,25.79
30.43E3,71.07,25.36
31.62E3,71.39,24.93
32.86E3,71.73,24.51
34.15E3,72.08,24.08
35.48E3,72.44,23.67
36.87E3,72.81,23.25
38.31E3,73.18,22.84
39.81E3,73.57,22.43
41.37E3,73.95,22.03
42.99E3,74.34,21.63
44.67E3,74.74,21.23
46.42E3,75.13,20.83
48.23E3,75.52,20.44
50.12E3,75.91,20.05
52.08E3,76.30,19.67
54.12E3,76.69,19.29
56.23E3,77.07,18.91
58.43E3,77.45,18.53
60.72E3,77.82,18.15
63.10E3,78.18,17.78
65.56E3,78.54,17.41
68.13E3,78.89,17.05
70.79E3,79.24,16.68
73.56E3,79.57,16.32
76.44E3,79.90,15.96
79.43E3,80.22,15.60
82.54E3,80.53,15.24
85.77E3,80.83,14.88
89.13E3,81.13,14.53
92.61E3,81.41,14.17
96.24E3,81.69,13.82
100.0E3,81.96,13.47
103.9E3,82.22,13.12
108.0E3,82.47,12.77
112.2E3,82.71,12.43
116.6E3,82.94,12.08
121.2E3,83.17,11.74
125.9E3,83.39,11.39
130.8E3,83.60,11.05
135.9E3,83.80,10.71
141.3E3,83.99,10.36
146.8E3,84.17,10.02
152.5E3,84.35,9.681
158.5E3,84.52,9.341
164.7E3,84.68,9.001
171.1E3,84.84,8.662
