time (s),leafValue( VT("/VOUT") "modelFiles" "mm180_reg18_v124.lib.scs:ff" ) (V)
0.000,1.145
200.0E-9,1.145
600.0E-9,1.145
1.400E-6,1.145
3.000E-6,1.145
5.000E-6,1.145
7.000E-6,1.145
8.500E-6,1.145
10.00E-6,1.145
10.00E-6,1.144
10.01E-6,1.143
10.01E-6,1.141
10.02E-6,1.139
10.03E-6,1.136
10.05E-6,1.131
10.07E-6,1.125
10.11E-6,1.113
10.15E-6,1.100
10.20E-6,1.089
10.23E-6,1.079
10.27E-6,1.071
10.30E-6,1.063
10.34E-6,1.056
10.38E-6,1.049
10.44E-6,1.042
10.49E-6,1.038
10.54E-6,1.036
10.59E-6,1.035
10.63E-6,1.034
10.68E-6,1.035
10.73E-6,1.036
10.78E-6,1.038
10.84E-6,1.041
10.90E-6,1.044
10.95E-6,1.047
11.00E-6,1.049
11.01E-6,1.051
11.01E-6,1.052
11.02E-6,1.054
11.04E-6,1.058
11.06E-6,1.062
11.09E-6,1.068
11.14E-6,1.077
11.23E-6,1.092
11.33E-6,1.104
11.41E-6,1.112
11.49E-6,1.119
11.56E-6,1.124
11.64E-6,1.128
11.72E-6,1.132
11.80E-6,1.134
11.89E-6,1.137
11.98E-6,1.139
12.09E-6,1.141
12.20E-6,1.142
12.32E-6,1.143
12.45E-6,1.144
12.60E-6,1.144
12.77E-6,1.145
12.96E-6,1.145
13.18E-6,1.145
13.45E-6,1.145
13.78E-6,1.145
14.20E-6,1.145
14.78E-6,1.145
15.65E-6,1.145
16.83E-6,1.145
18.20E-6,1.145
19.75E-6,1.145
21.52E-6,1.145
23.52E-6,1.145
25.52E-6,1.145
27.52E-6,1.145
29.52E-6,1.145
31.52E-6,1.145
33.52E-6,1.145
35.52E-6,1.145
37.52E-6,1.145
39.52E-6,1.145
41.52E-6,1.145
43.52E-6,1.145
45.52E-6,1.145
47.52E-6,1.145
49.52E-6,1.145
51.52E-6,1.145
53.52E-6,1.145
55.52E-6,1.145
57.52E-6,1.145
59.52E-6,1.145
61.00E-6,1.145
61.00E-6,1.145
61.01E-6,1.147
61.03E-6,1.149
61.04E-6,1.151
61.06E-6,1.154
61.09E-6,1.158
61.15E-6,1.165
61.22E-6,1.171
61.28E-6,1.176
61.34E-6,1.181
61.41E-6,1.185
61.48E-6,1.189
61.56E-6,1.193
61.64E-6,1.197
61.72E-6,1.200
61.81E-6,1.204
61.90E-6,1.208
61.95E-6,1.211
62.00E-6,1.214
62.01E-6,1.213
62.01E-6,1.212
62.02E-6,1.211
62.04E-6,1.209
62.05E-6,1.207
62.07E-6,1.205
62.10E-6,1.201
62.16E-6,1.195
62.22E-6,1.190
62.29E-6,1.185
62.36E-6,1.181
62.43E-6,1.178
62.51E-6,1.175
62.59E-6,1.172
62.69E-6,1.169
62.79E-6,1.167
62.90E-6,1.165
63.03E-6,1.163
63.16E-6,1.162
63.32E-6,1.160
63.49E-6,1.159
63.69E-6,1.158
63.91E-6,1.158
64.17E-6,1.157
64.46E-6,1.156
64.80E-6,1.156
65.20E-6,1.156
65.67E-6,1.156
66.25E-6,1.156
66.97E-6,1.155
67.89E-6,1.155
68.90E-6,1.155
69.61E-6,1.155
70.41E-6,1.155
71.30E-6,1.155
72.04E-6,1.155
72.84E-6,1.155
73.83E-6,1.155
75.26E-6,1.155
77.26E-6,1.154
79.26E-6,1.154
81.26E-6,1.154
83.26E-6,1.154
85.26E-6,1.153
87.26E-6,1.153
89.26E-6,1.153
91.26E-6,1.153
93.26E-6,1.153
95.26E-6,1.152
97.26E-6,1.152
99.26E-6,1.152
101.3E-6,1.152
103.3E-6,1.152
105.3E-6,1.151
107.3E-6,1.151
108.6E-6,1.151
110.0E-6,1.151
110.0E-6,1.150
110.0E-6,1.147
110.0E-6,1.143
110.0E-6,1.139
110.1E-6,1.135
110.1E-6,1.128
110.1E-6,1.116
110.2E-6,1.096
110.3E-6,1.063
110.4E-6,1.024
110.5E-6,1.011
110.5E-6,997.6E-3
110.5E-6,987.9E-3
110.6E-6,981.4E-3
110.6E-6,976.1E-3
110.7E-6,971.6E-3
110.7E-6,969.6E-3
110.8E-6,969.7E-3
110.8E-6,971.2E-3
110.8E-6,973.8E-3
110.9E-6,977.4E-3
110.9E-6,982.2E-3
111.0E-6,986.4E-3
111.0E-6,989.7E-3
111.0E-6,991.6E-3
111.0E-6,993.6E-3
111.0E-6,995.9E-3
111.0E-6,1.001
111.1E-6,1.006
111.1E-6,1.013
111.1E-6,1.023
111.2E-6,1.041
111.3E-6,1.057
111.3E-6,1.072
111.4E-6,1.089
111.6E-6,1.106
111.7E-6,1.116
111.8E-6,1.123
111.9E-6,1.128
111.9E-6,1.132
112.0E-6,1.135
112.1E-6,1.138
112.2E-6,1.140
112.4E-6,1.141
112.5E-6,1.143
112.6E-6,1.144
112.8E-6,1.144
113.0E-6,1.145
113.2E-6,1.145
113.5E-6,1.145
113.8E-6,1.145
114.2E-6,1.145
114.8E-6,1.145
115.5E-6,1.145
116.6E-6,1.145
117.8E-6,1.145
119.1E-6,1.145
120.7E-6,1.145
122.4E-6,1.145
124.3E-6,1.145
126.3E-6,1.145
128.3E-6,1.145
130.3E-6,1.145
132.3E-6,1.145
134.3E-6,1.145
136.3E-6,1.145
138.3E-6,1.145
140.3E-6,1.145
142.3E-6,1.145
144.3E-6,1.145
146.3E-6,1.145
148.3E-6,1.145
150.3E-6,1.145
152.3E-6,1.145
154.3E-6,1.145
156.3E-6,1.145
158.3E-6,1.145
159.7E-6,1.145
161.0E-6,1.145
161.0E-6,1.147
161.0E-6,1.151
161.1E-6,1.156
161.1E-6,1.160
161.2E-6,1.166
161.2E-6,1.174
161.3E-6,1.180
161.4E-6,1.185
161.5E-6,1.189
161.6E-6,1.193
161.7E-6,1.197
161.8E-6,1.202
161.9E-6,1.206
161.9E-6,1.210
162.0E-6,1.214
162.0E-6,1.212
162.0E-6,1.211
162.0E-6,1.209
162.0E-6,1.207
162.1E-6,1.205
162.1E-6,1.203
162.1E-6,1.198
