time (s),leafValue( VT("/VOUT") "modelFiles" "mm180_reg18_v124.lib.scs:ss" ) (V)
0.000,1.232
200.0E-9,1.232
600.0E-9,1.232
1.400E-6,1.232
3.000E-6,1.232
5.000E-6,1.232
7.000E-6,1.232
8.500E-6,1.232
10.00E-6,1.232
10.00E-6,1.231
10.01E-6,1.230
10.01E-6,1.228
10.02E-6,1.226
10.03E-6,1.223
10.04E-6,1.220
10.05E-6,1.217
10.06E-6,1.213
10.08E-6,1.208
10.11E-6,1.200
10.15E-6,1.189
10.19E-6,1.177
10.23E-6,1.167
10.26E-6,1.159
10.30E-6,1.151
10.33E-6,1.144
10.37E-6,1.138
10.42E-6,1.132
10.47E-6,1.128
10.53E-6,1.125
10.57E-6,1.125
10.61E-6,1.125
10.66E-6,1.126
10.70E-6,1.127
10.75E-6,1.129
10.81E-6,1.132
10.86E-6,1.135
10.92E-6,1.138
10.96E-6,1.141
11.00E-6,1.143
11.01E-6,1.144
11.01E-6,1.145
11.02E-6,1.147
11.03E-6,1.150
11.05E-6,1.154
11.08E-6,1.159
11.11E-6,1.165
11.17E-6,1.175
11.23E-6,1.184
11.30E-6,1.192
11.36E-6,1.199
11.43E-6,1.204
11.50E-6,1.209
11.57E-6,1.213
11.64E-6,1.217
11.72E-6,1.220
11.81E-6,1.222
11.90E-6,1.225
12.00E-6,1.227
12.11E-6,1.228
12.22E-6,1.229
12.35E-6,1.230
12.50E-6,1.231
12.66E-6,1.232
12.84E-6,1.232
13.05E-6,1.232
13.29E-6,1.232
13.58E-6,1.232
13.94E-6,1.232
14.39E-6,1.232
15.01E-6,1.232
15.94E-6,1.232
17.18E-6,1.232
18.59E-6,1.232
20.19E-6,1.232
22.03E-6,1.232
24.03E-6,1.232
26.03E-6,1.232
28.03E-6,1.232
30.03E-6,1.232
32.03E-6,1.232
34.03E-6,1.232
36.03E-6,1.232
38.03E-6,1.232
40.03E-6,1.232
42.03E-6,1.232
44.03E-6,1.232
46.03E-6,1.232
48.03E-6,1.232
50.03E-6,1.232
52.03E-6,1.232
54.03E-6,1.232
56.03E-6,1.232
58.03E-6,1.232
59.52E-6,1.232
61.00E-6,1.232
61.02E-6,1.235
61.04E-6,1.238
61.06E-6,1.241
61.08E-6,1.244
61.10E-6,1.247
61.13E-6,1.251
61.17E-6,1.256
61.23E-6,1.262
61.27E-6,1.266
61.31E-6,1.270
61.34E-6,1.272
61.36E-6,1.274
61.37E-6,1.275
61.39E-6,1.276
61.40E-6,1.277
61.41E-6,1.278
61.43E-6,1.279
61.44E-6,1.281
61.46E-6,1.282
61.47E-6,1.283
61.49E-6,1.285
61.51E-6,1.286
61.53E-6,1.288
61.56E-6,1.291
61.59E-6,1.294
61.62E-6,1.296
61.63E-6,1.298
61.65E-6,1.299
61.66E-6,1.300
61.67E-6,1.302
61.69E-6,1.303
61.70E-6,1.304
61.71E-6,1.305
61.73E-6,1.307
61.76E-6,1.310
61.80E-6,1.315
61.84E-6,1.318
61.87E-6,1.322
61.89E-6,1.324
61.91E-6,1.326
61.92E-6,1.328
61.93E-6,1.329
61.94E-6,1.330
61.95E-6,1.331
61.96E-6,1.333
61.97E-6,1.334
61.98E-6,1.336
62.00E-6,1.338
62.00E-6,1.337
62.01E-6,1.337
62.01E-6,1.337
62.02E-6,1.336
62.03E-6,1.336
62.04E-6,1.335
62.06E-6,1.334
62.09E-6,1.331
62.12E-6,1.329
62.17E-6,1.325
62.23E-6,1.321
62.29E-6,1.317
62.35E-6,1.313
62.41E-6,1.309
62.48E-6,1.304
62.58E-6,1.298
62.62E-6,1.296
62.65E-6,1.294
62.69E-6,1.292
62.69E-6,1.291
62.70E-6,1.291
62.71E-6,1.290
62.72E-6,1.290
62.72E-6,1.290
62.73E-6,1.289
62.73E-6,1.289
62.75E-6,1.288
62.76E-6,1.287
62.78E-6,1.286
62.80E-6,1.285
62.83E-6,1.284
62.86E-6,1.282
62.90E-6,1.280
62.93E-6,1.278
62.95E-6,1.277
62.97E-6,1.276
63.00E-6,1.275
63.03E-6,1.273
63.05E-6,1.272
63.08E-6,1.271
63.10E-6,1.270
63.12E-6,1.269
63.14E-6,1.269
63.16E-6,1.268
63.18E-6,1.267
63.21E-6,1.266
63.26E-6,1.264
63.33E-6,1.263
63.41E-6,1.261
63.50E-6,1.259
63.62E-6,1.257
63.76E-6,1.256
63.91E-6,1.254
64.07E-6,1.253
64.25E-6,1.253
64.45E-6,1.252
64.68E-6,1.252
64.93E-6,1.251
65.22E-6,1.251
65.58E-6,1.251
66.02E-6,1.251
66.60E-6,1.251
67.40E-6,1.251
67.78E-6,1.251
68.11E-6,1.251
68.51E-6,1.251
68.81E-6,1.251
69.20E-6,1.251
69.30E-6,1.251
69.52E-6,1.251
69.89E-6,1.251
70.38E-6,1.251
71.05E-6,1.251
71.98E-6,1.250
73.46E-6,1.250
75.46E-6,1.250
77.46E-6,1.250
79.46E-6,1.250
81.46E-6,1.249
83.46E-6,1.249
85.46E-6,1.249
87.46E-6,1.249
89.46E-6,1.249
91.46E-6,1.248
93.46E-6,1.248
95.46E-6,1.248
97.46E-6,1.248
99.46E-6,1.247
101.5E-6,1.247
103.5E-6,1.247
105.5E-6,1.247
107.5E-6,1.247
108.7E-6,1.246
110.0E-6,1.246
110.0E-6,1.245
110.0E-6,1.243
110.0E-6,1.239
110.0E-6,1.234
110.1E-6,1.229
110.1E-6,1.224
110.1E-6,1.217
110.1E-6,1.206
110.2E-6,1.191
110.2E-6,1.174
110.3E-6,1.156
110.4E-6,1.138
110.4E-6,1.113
110.5E-6,1.092
110.6E-6,1.064
110.6E-6,1.054
110.7E-6,1.045
110.7E-6,1.039
110.7E-6,1.035
110.7E-6,1.032
110.8E-6,1.032
110.8E-6,1.035
110.9E-6,1.039
110.9E-6,1.043
110.9E-6,1.049
111.0E-6,1.054
111.0E-6,1.060
111.0E-6,1.063
111.0E-6,1.066
