time (s),leafValue( VT("/VOUT") "modelFiles" "mm180_reg18_v124.lib.scs:tt" ) (V)
0.000,1.200
200.0E-9,1.200
600.0E-9,1.200
1.400E-6,1.200
3.000E-6,1.200
5.000E-6,1.200
7.000E-6,1.200
8.500E-6,1.200
10.00E-6,1.200
10.00E-6,1.199
10.01E-6,1.198
10.01E-6,1.196
10.02E-6,1.194
10.03E-6,1.191
10.04E-6,1.188
10.05E-6,1.184
10.07E-6,1.179
10.11E-6,1.169
10.12E-6,1.166
10.13E-6,1.162
10.13E-6,1.161
10.14E-6,1.160
10.14E-6,1.160
10.14E-6,1.159
10.14E-6,1.158
10.14E-6,1.158
10.15E-6,1.157
10.15E-6,1.157
10.15E-6,1.156
10.15E-6,1.155
10.16E-6,1.154
10.16E-6,1.153
10.17E-6,1.151
10.17E-6,1.149
10.18E-6,1.147
10.19E-6,1.145
10.20E-6,1.144
10.20E-6,1.142
10.21E-6,1.141
10.21E-6,1.139
10.22E-6,1.137
10.23E-6,1.135
10.24E-6,1.132
10.26E-6,1.128
10.28E-6,1.123
10.31E-6,1.116
10.35E-6,1.110
10.40E-6,1.103
10.45E-6,1.098
10.51E-6,1.095
10.56E-6,1.095
10.60E-6,1.095
10.64E-6,1.096
10.69E-6,1.097
10.74E-6,1.099
10.79E-6,1.102
10.84E-6,1.105
10.90E-6,1.108
10.95E-6,1.111
11.00E-6,1.114
11.01E-6,1.115
11.01E-6,1.117
11.02E-6,1.119
11.04E-6,1.123
11.06E-6,1.127
11.08E-6,1.131
11.12E-6,1.138
11.19E-6,1.149
11.26E-6,1.158
11.32E-6,1.165
11.39E-6,1.171
11.45E-6,1.176
11.52E-6,1.181
11.59E-6,1.184
11.67E-6,1.187
11.75E-6,1.190
11.83E-6,1.192
11.92E-6,1.194
12.01E-6,1.195
12.11E-6,1.197
12.23E-6,1.198
12.36E-6,1.199
12.47E-6,1.199
12.57E-6,1.199
12.67E-6,1.200
12.76E-6,1.200
12.86E-6,1.200
12.98E-6,1.200
13.11E-6,1.200
13.25E-6,1.200
13.41E-6,1.200
13.61E-6,1.200
13.86E-6,1.200
14.19E-6,1.200
14.54E-6,1.200
14.84E-6,1.200
15.13E-6,1.200
15.44E-6,1.200
15.75E-6,1.200
16.09E-6,1.200
16.46E-6,1.200
16.86E-6,1.200
17.31E-6,1.200
17.81E-6,1.200
18.37E-6,1.200
19.00E-6,1.200
19.74E-6,1.200
20.61E-6,1.200
21.68E-6,1.200
23.08E-6,1.200
25.07E-6,1.200
27.07E-6,1.200
29.07E-6,1.200
31.07E-6,1.200
33.07E-6,1.200
35.07E-6,1.200
37.07E-6,1.200
39.07E-6,1.200
41.07E-6,1.200
43.07E-6,1.200
45.07E-6,1.200
47.07E-6,1.200
49.07E-6,1.200
51.07E-6,1.200
53.07E-6,1.200
55.07E-6,1.200
57.07E-6,1.200
59.07E-6,1.200
61.00E-6,1.200
61.02E-6,1.202
61.04E-6,1.206
61.05E-6,1.208
61.07E-6,1.210
61.09E-6,1.213
61.12E-6,1.216
61.13E-6,1.218
61.14E-6,1.219
61.15E-6,1.220
61.15E-6,1.221
61.16E-6,1.221
61.17E-6,1.222
61.17E-6,1.223
61.18E-6,1.224
61.20E-6,1.225
61.21E-6,1.226
61.23E-6,1.228
61.25E-6,1.230
61.27E-6,1.232
61.31E-6,1.235
61.35E-6,1.238
61.42E-6,1.242
61.49E-6,1.247
61.57E-6,1.251
61.65E-6,1.255
61.74E-6,1.259
61.82E-6,1.263
61.88E-6,1.266
61.91E-6,1.267
61.94E-6,1.269
61.96E-6,1.270
61.98E-6,1.272
61.99E-6,1.272
62.00E-6,1.273
62.00E-6,1.273
62.01E-6,1.272
62.01E-6,1.272
62.01E-6,1.271
62.02E-6,1.271
62.03E-6,1.270
62.03E-6,1.269
62.04E-6,1.268
62.05E-6,1.267
62.05E-6,1.266
62.06E-6,1.266
62.06E-6,1.265
62.07E-6,1.265
62.07E-6,1.264
62.08E-6,1.263
62.09E-6,1.262
62.09E-6,1.261
62.10E-6,1.260
62.11E-6,1.259
62.13E-6,1.257
62.15E-6,1.255
62.18E-6,1.253
62.20E-6,1.250
62.24E-6,1.248
62.28E-6,1.245
62.32E-6,1.241
62.38E-6,1.238
62.45E-6,1.235
62.53E-6,1.231
62.62E-6,1.228
62.71E-6,1.225
62.81E-6,1.223
62.92E-6,1.221
63.04E-6,1.219
63.18E-6,1.217
63.33E-6,1.216
63.49E-6,1.215
63.68E-6,1.214
63.89E-6,1.213
64.13E-6,1.213
64.41E-6,1.212
64.72E-6,1.212
65.09E-6,1.211
65.52E-6,1.211
66.05E-6,1.211
66.71E-6,1.211
67.56E-6,1.211
68.72E-6,1.211
69.60E-6,1.211
70.24E-6,1.211
70.82E-6,1.211
71.60E-6,1.211
72.27E-6,1.210
72.99E-6,1.210
73.89E-6,1.210
75.19E-6,1.210
75.69E-6,1.210
76.69E-6,1.210
78.69E-6,1.210
80.69E-6,1.210
82.69E-6,1.209
84.69E-6,1.209
86.69E-6,1.209
88.69E-6,1.209
90.69E-6,1.208
92.69E-6,1.208
94.69E-6,1.208
96.69E-6,1.208
98.69E-6,1.208
100.7E-6,1.207
102.7E-6,1.207
104.7E-6,1.207
106.7E-6,1.207
108.3E-6,1.207
110.0E-6,1.206
110.0E-6,1.205
110.0E-6,1.203
110.0E-6,1.199
110.0E-6,1.195
110.1E-6,1.191
110.1E-6,1.186
110.1E-6,1.183
110.1E-6,1.180
110.1E-6,1.174
110.1E-6,1.169
110.1E-6,1.162
110.2E-6,1.159
110.2E-6,1.153
110.2E-6,1.152
110.2E-6,1.151
110.2E-6,1.150
110.2E-6,1.150
110.2E-6,1.150
110.2E-6,1.149
110.2E-6,1.148
110.2E-6,1.147
110.2E-6,1.146
110.2E-6,1.144
110.2E-6,1.142
110.2E-6,1.141
110.2E-6,1.138
110.2E-6,1.137
110.2E-6,1.135
110.2E-6,1.133
110.2E-6,1.132
110.3E-6,1.130
110.3E-6,1.127
110.3E-6,1.124
110.3E-6,1.119
110.3E-6,1.113
110.3E-6,1.104
110.4E-6,1.089
110.4E-6,1.072
110.5E-6,1.053
110.5E-6,1.042
