freq (Hz),leafValue( PSRR "temperature" -40 ) (dB),leafValue( PSRR "temperature" 27 ) (dB),leafValue( PSRR "temperature" 125 ) (dB)
10.00,-50.59,-46.81,-41.55
11.22,-50.59,-46.81,-41.55
12.59,-50.59,-46.81,-41.55
14.13,-50.59,-46.81,-41.55
15.85,-50.59,-46.81,-41.55
17.78,-50.59,-46.81,-41.55
19.95,-50.59,-46.81,-41.55
22.39,-50.59,-46.81,-41.55
25.12,-50.59,-46.81,-41.55
28.18,-50.59,-46.81,-41.55
31.62,-50.59,-46.81,-41.55
35.48,-50.59,-46.81,-41.55
39.81,-50.59,-46.81,-41.55
44.67,-50.58,-46.81,-41.55
50.12,-50.58,-46.81,-41.55
56.23,-50.58,-46.81,-41.55
63.10,-50.58,-46.81,-41.55
70.79,-50.58,-46.81,-41.55
79.43,-50.58,-46.81,-41.55
89.13,-50.58,-46.81,-41.55
100.0,-50.58,-46.81,-41.55
112.2,-50.58,-46.81,-41.55
125.9,-50.58,-46.81,-41.55
141.3,-50.58,-46.81,-41.55
158.5,-50.58,-46.81,-41.55
177.8,-50.57,-46.81,-41.55
199.5,-50.57,-46.81,-41.55
223.9,-50.57,-46.80,-41.55
251.2,-50.56,-46.80,-41.55
281.8,-50.55,-46.80,-41.54
316.2,-50.55,-46.79,-41.54
354.8,-50.53,-46.79,-41.54
398.1,-50.52,-46.78,-41.54
446.7,-50.51,-46.77,-41.53
501.2,-50.49,-46.76,-41.53
562.3,-50.46,-46.75,-41.52
631.0,-50.43,-46.74,-41.51
707.9,-50.39,-46.72,-41.50
794.3,-50.34,-46.69,-41.48
891.3,-50.27,-46.66,-41.47
1.000E3,-50.20,-46.62,-41.45
1.122E3,-50.10,-46.57,-41.42
1.259E3,-49.99,-46.51,-41.38
1.413E3,-49.84,-46.43,-41.34
1.585E3,-49.67,-46.34,-41.29
1.778E3,-49.46,-46.23,-41.22
1.995E3,-49.21,-46.09,-41.14
2.239E3,-48.92,-45.92,-41.04
2.512E3,-48.57,-45.71,-40.91
2.818E3,-48.17,-45.46,-40.76
3.162E3,-47.72,-45.17,-40.58
3.548E3,-47.21,-44.83,-40.35
3.981E3,-46.64,-44.44,-40.09
4.467E3,-46.01,-43.99,-39.78
5.012E3,-45.33,-43.48,-39.42
5.623E3,-44.61,-42.92,-39.00
6.310E3,-43.84,-42.30,-38.53
7.079E3,-43.03,-41.62,-37.99
7.943E3,-42.18,-40.90,-37.40
8.913E3,-41.31,-40.13,-36.75
10.00E3,-40.41,-39.32,-36.06
11.22E3,-39.50,-38.47,-35.31
12.59E3,-38.56,-37.60,-34.52
14.13E3,-37.61,-36.70,-33.69
15.85E3,-36.64,-35.78,-32.82
17.78E3,-35.67,-34.84,-31.93
19.95E3,-34.69,-33.88,-31.01
22.39E3,-33.70,-32.92,-30.07
25.12E3,-32.71,-31.94,-29.12
28.18E3,-31.71,-30.96,-28.16
31.62E3,-30.71,-29.97,-27.19
35.48E3,-29.71,-28.98,-26.21
39.81E3,-28.71,-27.99,-25.23
44.67E3,-27.72,-27.00,-24.25
50.12E3,-26.72,-26.00,-23.27
56.23E3,-25.72,-25.02,-22.30
63.10E3,-24.73,-24.03,-21.33
70.79E3,-23.74,-23.05,-20.37
79.43E3,-22.76,-22.07,-19.42
89.13E3,-21.78,-21.11,-18.49
100.0E3,-20.81,-20.15,-17.57
112.2E3,-19.85,-19.20,-16.68
125.9E3,-18.89,-18.26,-15.80
141.3E3,-17.95,-17.34,-14.96
158.5E3,-17.03,-16.44,-14.15
177.8E3,-16.12,-15.56,-13.38
199.5E3,-15.23,-14.70,-12.65
223.9E3,-14.37,-13.88,-11.97
251.2E3,-13.54,-13.09,-11.34
281.8E3,-12.74,-12.34,-10.76
316.2E3,-11.99,-11.64,-10.25
354.8E3,-11.28,-10.99,-9.789
398.1E3,-10.62,-10.40,-9.386
446.7E3,-10.01,-9.855,-9.037
501.2E3,-9.457,-9.372,-8.738
562.3E3,-8.962,-8.946,-8.486
631.0E3,-8.525,-8.575,-8.274
707.9E3,-8.143,-8.255,-8.098
794.3E3,-7.814,-7.984,-7.953
891.3E3,-7.533,-7.755,-7.834
1.000E6,-7.297,-7.565,-7.738
1.122E6,-7.100,-7.408,-7.659
1.259E6,-6.936,-7.278,-7.596
1.413E6,-6.802,-7.173,-7.545
1.585E6,-6.692,-7.087,-7.505
1.778E6,-6.603,-7.018,-7.472
1.995E6,-6.531,-6.962,-7.446
2.239E6,-6.473,-6.917,-7.425
2.512E6,-6.426,-6.881,-7.409
2.818E6,-6.388,-6.853,-7.395
3.162E6,-6.359,-6.830,-7.385
3.548E6,-6.335,-6.812,-7.377
3.981E6,-6.316,-6.797,-7.371
4.467E6,-6.301,-6.786,-7.366
5.012E6,-6.290,-6.777,-7.362
5.623E6,-6.280,-6.770,-7.359
6.310E6,-6.274,-6.765,-7.357
7.079E6,-6.268,-6.761,-7.356
7.943E6,-6.265,-6.758,-7.356
8.913E6,-6.262,-6.756,-7.355
10.00E6,-6.260,-6.755,-7.356
11.22E6,-6.260,-6.754,-7.356
12.59E6,-6.259,-6.754,-7.357
14.13E6,-6.260,-6.753,-7.358
15.85E6,-6.261,-6.753,-7.360
17.78E6,-6.262,-6.754,-7.360
19.95E6,-6.263,-6.754,-7.361
22.39E6,-6.264,-6.754,-7.361
25.12E6,-6.265,-6.753,-7.361
28.18E6,-6.267,-6.753,-7.360
31.62E6,-6.268,-6.752,-7.358
35.48E6,-6.269,-6.752,-7.357
39.81E6,-6.271,-6.752,-7.355
44.67E6,-6.273,-6.752,-7.353
50.12E6,-6.275,-6.753,-7.352
56.23E6,-6.277,-6.755,-7.352
63.10E6,-6.279,-6.757,-7.352
70.79E6,-6.281,-6.759,-7.353
79.43E6,-6.284,-6.762,-7.355
89.13E6,-6.286,-6.765,-7.357
100.0E6,-6.288,-6.767,-7.359
112.2E6,-6.290,-6.769,-7.361
125.9E6,-6.291,-6.771,-7.363
141.3E6,-6.293,-6.772,-7.364
158.5E6,-6.294,-6.772,-7.364
177.8E6,-6.295,-6.772,-7.364
199.5E6,-6.295,-6.772,-7.363
223.9E6,-6.296,-6.772,-7.362
251.2E6,-6.296,-6.771,-7.360
281.8E6,-6.295,-6.769,-7.358
316.2E6,-6.294,-6.767,-7.355
354.8E6,-6.292,-6.765,-7.351
398.1E6,-6.290,-6.761,-7.345
446.7E6,-6.287,-6.756,-7.339
501.2E6,-6.282,-6.750,-7.330
562.3E6,-6.276,-6.742,-7.320
631.0E6,-6.269,-6.732,-7.306
707.9E6,-6.259,-6.720,-7.289
794.3E6,-6.247,-6.704,-7.268
891.3E6,-6.231,-6.684,-7.242
1.000E9,-6.212,-6.659,-7.208
