freq (Hz),Loop Gain dB20 (dB),Loop Gain Phase (deg)
1.000,92.81,177.7
1.039,92.81,177.6
1.080,92.81,177.5
1.122,92.81,177.4
1.166,92.81,177.3
1.212,92.81,177.2
1.259,92.80,177.0
1.308,92.80,176.9
1.359,92.80,176.8
1.413,92.80,176.7
1.468,92.80,176.6
1.525,92.80,176.4
1.585,92.80,176.3
1.647,92.80,176.1
1.711,92.79,176.0
1.778,92.79,175.8
1.848,92.79,175.7
1.920,92.79,175.5
1.995,92.79,175.3
2.073,92.78,175.1
2.154,92.78,175.0
2.239,92.78,174.8
2.326,92.78,174.6
2.417,92.77,174.3
2.512,92.77,174.1
2.610,92.77,173.9
2.712,92.76,173.7
2.818,92.76,173.4
2.929,92.75,173.2
3.043,92.75,172.9
3.162,92.74,172.6
3.286,92.74,172.3
3.415,92.73,172.0
3.548,92.73,171.7
3.687,92.72,171.4
3.831,92.71,171.1
3.981,92.70,170.7
4.137,92.69,170.4
4.299,92.68,170.0
4.467,92.67,169.6
4.642,92.66,169.2
4.823,92.65,168.8
5.012,92.64,168.4
5.208,92.62,167.9
5.412,92.61,167.5
5.623,92.59,167.0
5.843,92.57,166.5
6.072,92.56,166.0
6.310,92.54,165.5
6.556,92.51,165.0
6.813,92.49,164.4
7.079,92.47,163.8
7.356,92.44,163.2
7.644,92.41,162.6
7.943,92.38,162.0
8.254,92.35,161.3
8.577,92.31,160.6
8.913,92.27,159.9
9.261,92.23,159.2
9.624,92.19,158.5
10.00,92.14,157.7
10.39,92.09,156.9
10.80,92.04,156.1
11.22,91.98,155.3
11.66,91.92,154.4
12.12,91.86,153.6
12.59,91.79,152.7
13.08,91.72,151.8
13.59,91.64,150.9
14.13,91.56,149.9
14.68,91.48,148.9
15.25,91.38,148.0
15.85,91.29,147.0
16.47,91.19,146.0
17.11,91.08,144.9
17.78,90.97,143.9
18.48,90.85,142.8
19.20,90.72,141.8
19.95,90.59,140.7
20.73,90.46,139.6
21.54,90.31,138.5
22.39,90.17,137.4
23.26,90.01,136.3
24.17,89.85,135.2
25.12,89.68,134.1
26.10,89.51,133.0
27.12,89.32,131.9
28.18,89.14,130.8
29.29,88.94,129.7
30.43,88.74,128.7
31.62,88.54,127.6
32.86,88.33,126.5
34.15,88.11,125.5
35.48,87.88,124.4
36.87,87.66,123.4
38.31,87.42,122.4
39.81,87.18,121.4
41.37,86.94,120.4
42.99,86.69,119.5
44.67,86.43,118.6
46.42,86.17,117.6
48.23,85.91,116.7
50.12,85.64,115.9
52.08,85.37,115.0
54.12,85.10,114.2
56.23,84.82,113.3
58.43,84.54,112.5
60.72,84.25,111.8
63.10,83.96,111.0
65.56,83.67,110.3
68.13,83.38,109.6
70.79,83.08,108.9
73.56,82.78,108.2
76.44,82.48,107.5
79.43,82.18,106.9
82.54,81.87,106.3
85.77,81.56,105.7
89.13,81.25,105.1
92.61,80.94,104.6
96.24,80.63,104.0
100.0,80.32,103.5
103.9,80.00,103.0
108.0,79.68,102.5
112.2,79.37,102.0
116.6,79.05,101.6
121.2,78.73,101.1
125.9,78.41,100.7
130.8,78.09,100.3
135.9,77.76,99.87
141.3,77.44,99.48
146.8,77.12,99.11
152.5,76.79,98.75
158.5,76.47,98.40
164.7,76.14,98.06
171.1,75.81,97.73
177.8,75.49,97.41
184.8,75.16,97.11
192.0,74.83,96.81
199.5,74.50,96.52
207.3,74.17,96.25
215.4,73.84,95.98
223.9,73.52,95.72
232.6,73.19,95.46
241.7,72.86,95.22
251.2,72.53,94.98
261.0,72.20,94.75
271.2,71.86,94.53
281.8,71.53,94.31
292.9,71.20,94.10
304.3,70.87,93.90
316.2,70.54,93.70
328.6,70.21,93.50
341.5,69.88,93.32
354.8,69.54,93.13
368.7,69.21,92.95
383.1,68.88,92.78
398.1,68.55,92.61
413.7,68.22,92.44
429.9,67.88,92.28
446.7,67.55,92.12
464.2,67.22,91.96
482.3,66.89,91.81
501.2,66.55,91.65
520.8,66.22,91.51
541.2,65.89,91.36
562.3,65.55,91.21
584.3,65.22,91.07
607.2,64.89,90.93
631.0,64.55,90.79
655.6,64.22,90.65
681.3,63.89,90.51
707.9,63.55,90.37
735.6,63.22,90.24
764.4,62.89,90.10
794.3,62.55,89.96
825.4,62.22,89.83
857.7,61.88,89.69
891.3,61.55,89.56
926.1,61.21,89.42
962.4,60.88,89.28
1.000E3,60.55,89.14
1.039E3,60.21,89.00
1.080E3,59.88,88.86
1.122E3,59.54,88.72
1.166E3,59.21,88.57
1.212E3,58.87,88.42
1.259E3,58.53,88.27
1.308E3,58.20,88.12
1.359E3,57.86,87.97
1.413E3,57.53,87.81
1.468E3,57.19,87.65
1.525E3,56.85,87.49
1.585E3,56.52,87.32
1.647E3,56.18,87.15
1.711E3,55.84,86.98
1.778E3,55.51,86.80
1.848E3,55.17,86.62
1.920E3,54.83,86.43
1.995E3,54.49,86.24
2.073E3,54.15,86.05
2.154E3,53.81,85.85
2.239E3,53.47,85.64
2.326E3,53.13,85.43
2.417E3,52.79,85.21
2.512E3,52.45,84.99
2.610E3,52.10,84.76
2.712E3,51.76,84.52
2.818E3,51.42,84.28
2.929E3,51.07,84.03
3.043E3,50.72,83.78
3.162E3,50.38,83.52
3.286E3,50.03,83.25
3.415E3,49.68,82.97
3.548E3,49.33,82.69
3.687E3,48.98,82.40
3.831E3,48.63,82.10
3.981E3,48.27,81.79
4.137E3,47.92,81.48
4.299E3,47.56,81.16
4.467E3,47.20,80.84
4.642E3,46.84,80.50
4.823E3,46.48,80.16
5.012E3,46.11,79.82
5.208E3,45.75,79.46
5.412E3,45.38,79.10
5.623E3,45.01,78.74
5.843E3,44.64,78.37
6.072E3,44.26,78.00
6.310E3,43.88,77.62
6.556E3,43.50,77.24
6.813E3,43.12,76.85
7.079E3,42.73,76.47
