freq (Hz),Loop Gain Phase (deg),Loop Gain dB20 (dB)
1.000,179.5,74.91
1.039,179.5,74.91
1.080,179.5,74.91
1.122,179.5,74.91
1.166,179.5,74.91
1.212,179.4,74.91
1.259,179.4,74.91
1.308,179.4,74.91
1.359,179.4,74.91
1.413,179.3,74.91
1.468,179.3,74.91
1.525,179.3,74.91
1.585,179.3,74.91
1.647,179.2,74.91
1.711,179.2,74.91
1.778,179.2,74.91
1.848,179.1,74.91
1.920,179.1,74.91
1.995,179.1,74.91
2.073,179.0,74.91
2.154,179.0,74.91
2.239,179.0,74.91
2.326,178.9,74.91
2.417,178.9,74.91
2.512,178.8,74.91
2.610,178.8,74.91
2.712,178.7,74.91
2.818,178.7,74.91
2.929,178.6,74.91
3.043,178.6,74.91
3.162,178.5,74.91
3.286,178.5,74.91
3.415,178.4,74.91
3.548,178.4,74.91
3.687,178.3,74.91
3.831,178.2,74.91
3.981,178.2,74.91
4.137,178.1,74.90
4.299,178.0,74.90
4.467,177.9,74.90
4.642,177.8,74.90
4.823,177.8,74.90
5.012,177.7,74.90
5.208,177.6,74.90
5.412,177.5,74.90
5.623,177.4,74.90
5.843,177.3,74.90
6.072,177.2,74.90
6.310,177.1,74.90
6.556,177.0,74.90
6.813,176.8,74.90
7.079,176.7,74.90
7.356,176.6,74.89
7.644,176.5,74.89
7.943,176.3,74.89
8.254,176.2,74.89
8.577,176.0,74.89
8.913,175.9,74.89
9.261,175.7,74.89
9.624,175.5,74.88
10.00,175.4,74.88
10.39,175.2,74.88
10.80,175.0,74.88
11.22,174.8,74.87
11.66,174.6,74.87
12.12,174.4,74.87
12.59,174.2,74.87
13.08,174.0,74.86
13.59,173.7,74.86
14.13,173.5,74.85
14.68,173.2,74.85
15.25,173.0,74.84
15.85,172.7,74.84
16.47,172.4,74.83
17.11,172.1,74.83
17.78,171.8,74.82
18.48,171.5,74.81
19.20,171.2,74.81
19.95,170.8,74.80
20.73,170.5,74.79
21.54,170.1,74.78
22.39,169.7,74.77
23.26,169.3,74.76
24.17,168.9,74.75
25.12,168.5,74.74
26.10,168.1,74.72
27.12,167.6,74.71
28.18,167.1,74.69
29.29,166.7,74.67
30.43,166.2,74.66
31.62,165.6,74.64
32.86,165.1,74.62
34.15,164.5,74.59
35.48,164.0,74.57
36.87,163.4,74.54
38.31,162.8,74.51
39.81,162.1,74.48
41.37,161.5,74.45
42.99,160.8,74.42
44.67,160.1,74.38
46.42,159.4,74.34
48.23,158.6,74.30
50.12,157.9,74.25
52.08,157.1,74.21
54.12,156.3,74.15
56.23,155.5,74.10
58.43,154.6,74.04
60.72,153.8,73.98
63.10,152.9,73.91
65.56,152.0,73.84
68.13,151.1,73.77
70.79,150.1,73.69
73.56,149.2,73.60
76.44,148.2,73.51
79.43,147.2,73.42
82.54,146.2,73.32
85.77,145.1,73.21
89.13,144.1,73.10
92.61,143.0,72.99
96.24,142.0,72.87
100.0,140.9,72.74
103.9,139.8,72.60
108.0,138.7,72.46
112.2,137.6,72.32
116.6,136.5,72.16
121.2,135.4,72.00
125.9,134.3,71.84
130.8,133.2,71.67
135.9,132.1,71.49
141.3,131.0,71.30
146.8,129.9,71.11
152.5,128.8,70.91
158.5,127.7,70.71
164.7,126.6,70.50
171.1,125.5,70.29
177.8,124.5,70.06
184.8,123.4,69.84
192.0,122.4,69.60
199.5,121.4,69.37
207.3,120.4,69.12
215.4,119.4,68.88
223.9,118.4,68.62
232.6,117.5,68.37
241.7,116.6,68.10
251.2,115.7,67.84
261.0,114.8,67.57
271.2,113.9,67.29
281.8,113.1,67.02
292.9,112.2,66.74
304.3,111.4,66.45
316.2,110.6,66.16
328.6,109.9,65.87
341.5,109.1,65.58
354.8,108.4,65.28
368.7,107.7,64.99
383.1,107.0,64.69
398.1,106.3,64.38
413.7,105.7,64.08
429.9,105.0,63.77
446.7,104.4,63.46
464.2,103.8,63.15
482.3,103.2,62.84
501.2,102.7,62.52
520.8,102.1,62.21
541.2,101.6,61.89
562.3,101.0,61.58
584.3,100.5,61.26
607.2,100.0,60.94
631.0,99.55,60.62
655.6,99.08,60.29
681.3,98.62,59.97
707.9,98.17,59.65
735.6,97.73,59.32
764.4,97.31,59.00
794.3,96.89,58.67
825.4,96.48,58.34
857.7,96.09,58.02
891.3,95.70,57.69
926.1,95.31,57.36
962.4,94.94,57.03
1.000E3,94.57,56.70
1.039E3,94.21,56.37
1.080E3,93.86,56.04
1.122E3,93.51,55.71
1.166E3,93.16,55.38
1.212E3,92.82,55.04
1.259E3,92.49,54.71
1.308E3,92.15,54.38
1.359E3,91.82,54.04
1.413E3,91.50,53.71
1.468E3,91.17,53.38
1.525E3,90.85,53.04
1.585E3,90.53,52.71
1.647E3,90.21,52.37
1.711E3,89.89,52.03
1.778E3,89.57,51.70
1.848E3,89.26,51.36
1.920E3,88.94,51.02
