freq (Hz),Loop Gain dB20 (dB),Loop Gain Phase (deg)
1.000,108.4,156.1
1.039,108.3,155.3
1.080,108.3,154.4
1.122,108.2,153.6
1.166,108.1,152.7
1.212,108.0,151.8
1.259,108.0,150.8
1.308,107.9,149.9
1.359,107.8,148.9
1.413,107.7,147.9
1.468,107.6,146.9
1.525,107.5,145.9
1.585,107.4,144.9
1.647,107.3,143.8
1.711,107.2,142.8
1.778,107.1,141.7
1.848,106.9,140.6
1.920,106.8,139.6
1.995,106.6,138.5
2.073,106.5,137.4
2.154,106.3,136.3
2.239,106.2,135.2
2.326,106.0,134.1
2.417,105.8,132.9
2.512,105.7,131.8
2.610,105.5,130.7
2.712,105.3,129.7
2.818,105.1,128.6
2.929,104.9,127.5
3.043,104.7,126.4
3.162,104.4,125.4
3.286,104.2,124.3
3.415,104.0,123.3
3.548,103.8,122.3
3.687,103.5,121.3
3.831,103.3,120.3
3.981,103.0,119.3
4.137,102.8,118.4
4.299,102.5,117.5
4.467,102.2,116.5
4.642,102.0,115.7
4.823,101.7,114.8
5.012,101.4,113.9
5.208,101.2,113.1
5.412,100.9,112.3
5.623,100.6,111.5
5.843,100.3,110.7
6.072,100.0,110.0
6.310,99.71,109.3
6.556,99.42,108.6
6.813,99.12,107.9
7.079,98.82,107.2
7.356,98.51,106.6
7.644,98.21,105.9
7.943,97.90,105.3
8.254,97.59,104.7
8.577,97.28,104.1
8.913,96.97,103.6
9.261,96.66,103.0
9.624,96.34,102.5
10.00,96.02,102.0
10.39,95.71,101.5
10.80,95.39,101.0
11.22,95.07,100.6
11.66,94.75,100.1
12.12,94.42,99.67
12.59,94.10,99.24
13.08,93.78,98.83
13.59,93.45,98.43
14.13,93.13,98.04
14.68,92.80,97.66
15.25,92.48,97.29
15.85,92.15,96.93
16.47,91.82,96.58
17.11,91.50,96.24
17.78,91.17,95.91
18.48,90.84,95.59
19.20,90.51,95.27
19.95,90.18,94.97
20.73,89.85,94.67
21.54,89.52,94.37
22.39,89.19,94.08
23.26,88.86,93.80
24.17,88.53,93.52
25.12,88.20,93.25
26.10,87.87,92.99
27.12,87.54,92.72
28.18,87.21,92.46
29.29,86.88,92.21
30.43,86.54,91.96
31.62,86.21,91.71
32.86,85.88,91.46
34.15,85.55,91.21
35.48,85.21,90.97
36.87,84.88,90.73
38.31,84.55,90.49
39.81,84.21,90.25
41.37,83.88,90.01
42.99,83.55,89.77
44.67,83.21,89.53
46.42,82.88,89.29
48.23,82.55,89.05
50.12,82.21,88.80
52.08,81.88,88.56
54.12,81.54,88.31
56.23,81.21,88.06
58.43,80.87,87.81
60.72,80.54,87.56
63.10,80.20,87.30
65.56,79.87,87.03
68.13,79.53,86.77
70.79,79.20,86.50
73.56,78.86,86.22
76.44,78.52,85.94
79.43,78.19,85.65
82.54,77.85,85.36
85.77,77.51,85.06
89.13,77.18,84.75
92.61,76.84,84.44
96.24,76.50,84.11
100.0,76.16,83.78
103.9,75.82,83.45
108.0,75.48,83.10
112.2,75.14,82.74
116.6,74.80,82.37
121.2,74.46,81.99
125.9,74.11,81.61
130.8,73.77,81.21
135.9,73.43,80.79
141.3,73.08,80.37
146.8,72.74,79.93
152.5,72.39,79.48
158.5,72.04,79.02
164.7,71.70,78.54
171.1,71.35,78.05
177.8,70.99,77.54
184.8,70.64,77.02
192.0,70.29,76.48
199.5,69.93,75.93
207.3,69.58,75.36
215.4,69.22,74.77
223.9,68.86,74.16
232.6,68.50,73.54
241.7,68.13,72.90
251.2,67.76,72.23
261.0,67.39,71.55
271.2,67.02,70.85
281.8,66.65,70.14
292.9,66.27,69.40
304.3,65.89,68.64
316.2,65.51,67.86
328.6,65.12,67.07
341.5,64.73,66.25
354.8,64.34,65.42
368.7,63.94,64.56
383.1,63.54,63.69
398.1,63.13,62.80
413.7,62.72,61.89
429.9,62.30,60.97
446.7,61.88,60.03
464.2,61.46,59.07
482.3,61.03,58.10
501.2,60.59,57.12
520.8,60.15,56.12
541.2,59.70,55.11
562.3,59.25,54.09
584.3,58.79,53.07
607.2,58.33,52.03
631.0,57.86,50.99
655.6,57.38,49.95
681.3,56.89,48.90
707.9,56.40,47.85
735.6,55.91,46.81
764.4,55.41,45.76
794.3,54.90,44.72
825.4,54.38,43.69
857.7,53.86,42.66
891.3,53.33,41.65
926.1,52.80,40.64
962.4,52.26,39.65
1.000E3,51.71,38.67
1.039E3,51.16,37.70
1.080E3,50.60,36.76
1.122E3,50.04,35.83
1.166E3,49.47,34.91
1.212E3,48.90,34.02
1.259E3,48.32,33.15
1.308E3,47.74,32.31
1.359E3,47.15,31.48
1.413E3,46.56,30.68
1.468E3,45.96,29.90
1.525E3,45.36,29.15
1.585E3,44.75,28.43
1.647E3,44.15,27.73
1.711E3,43.54,27.05
1.778E3,42.92,26.41
1.848E3,42.30,25.79
1.920E3,41.68,25.19
1.995E3,41.06,24.63
2.073E3,40.43,24.09
2.154E3,39.80,23.57
2.239E3,39.17,23.09
2.326E3,38.54,22.63
2.417E3,37.91,22.20
2.512E3,37.27,21.80
2.610E3,36.63,21.42
2.712E3,35.99,21.07
2.818E3,35.35,20.75
2.929E3,34.71,20.45
3.043E3,34.06,20.18
3.162E3,33.42,19.94
3.286E3,32.78,19.72
3.415E3,32.13,19.53
3.548E3,31.48,19.37
3.687E3,30.84,19.23
3.831E3,30.19,19.12
3.981E3,29.54,19.03
4.137E3,28.89,18.97
4.299E3,28.24,18.94
4.467E3,27.59,18.93
4.642E3,26.95,18.95
4.823E3,26.30,18.99
5.012E3,25.65,19.06
5.208E3,25.00,19.16
5.412E3,24.35,19.28
5.623E3,23.71,19.43
5.843E3,23.06,19.60
6.072E3,22.41,19.80
