time (s),leafValue( VT("/VOUT") "temperature" -40 ) (V)
0.000,1.239
200.0E-9,1.239
600.0E-9,1.239
1.400E-6,1.239
3.000E-6,1.239
5.000E-6,1.239
7.000E-6,1.239
8.500E-6,1.239
10.00E-6,1.239
10.00E-6,1.238
10.01E-6,1.237
10.01E-6,1.235
10.02E-6,1.232
10.03E-6,1.230
10.04E-6,1.227
10.05E-6,1.224
10.06E-6,1.220
10.09E-6,1.214
10.11E-6,1.206
10.14E-6,1.197
10.18E-6,1.188
10.21E-6,1.181
10.24E-6,1.174
10.27E-6,1.168
10.30E-6,1.163
10.33E-6,1.158
10.38E-6,1.153
10.42E-6,1.151
10.46E-6,1.150
10.50E-6,1.150
10.54E-6,1.151
10.57E-6,1.152
10.61E-6,1.154
10.66E-6,1.157
10.70E-6,1.159
10.75E-6,1.162
10.80E-6,1.165
10.86E-6,1.169
10.93E-6,1.173
11.00E-6,1.176
11.01E-6,1.178
11.01E-6,1.179
11.03E-6,1.181
11.04E-6,1.185
11.06E-6,1.188
11.10E-6,1.193
11.14E-6,1.200
11.19E-6,1.206
11.24E-6,1.211
11.29E-6,1.216
11.35E-6,1.220
11.40E-6,1.223
11.46E-6,1.226
11.53E-6,1.229
11.60E-6,1.231
11.67E-6,1.233
11.75E-6,1.234
11.84E-6,1.235
11.93E-6,1.236
12.04E-6,1.237
12.16E-6,1.238
12.29E-6,1.238
12.44E-6,1.238
12.61E-6,1.239
12.81E-6,1.239
13.06E-6,1.239
13.36E-6,1.239
13.75E-6,1.239
14.28E-6,1.239
15.10E-6,1.239
16.36E-6,1.239
17.86E-6,1.239
19.59E-6,1.239
21.59E-6,1.239
23.59E-6,1.239
25.59E-6,1.239
27.59E-6,1.239
29.59E-6,1.239
31.59E-6,1.239
33.59E-6,1.239
35.59E-6,1.239
37.59E-6,1.239
39.59E-6,1.239
41.59E-6,1.239
43.59E-6,1.239
45.59E-6,1.239
47.59E-6,1.239
49.59E-6,1.239
51.59E-6,1.239
53.59E-6,1.239
55.59E-6,1.239
57.59E-6,1.239
59.59E-6,1.239
61.00E-6,1.239
61.00E-6,1.239
61.01E-6,1.240
61.03E-6,1.243
61.04E-6,1.245
61.05E-6,1.246
61.07E-6,1.249
61.09E-6,1.251
61.12E-6,1.254
61.15E-6,1.257
61.17E-6,1.260
61.19E-6,1.261
61.20E-6,1.263
61.21E-6,1.264
61.22E-6,1.265
61.23E-6,1.266
61.25E-6,1.267
61.26E-6,1.268
61.27E-6,1.270
61.28E-6,1.271
61.30E-6,1.272
61.31E-6,1.274
61.33E-6,1.275
61.36E-6,1.278
61.38E-6,1.281
61.42E-6,1.284
61.44E-6,1.286
61.46E-6,1.288
61.48E-6,1.290
61.49E-6,1.291
61.50E-6,1.293
61.52E-6,1.294
61.53E-6,1.295
61.54E-6,1.297
61.57E-6,1.300
61.61E-6,1.304
61.65E-6,1.308
61.70E-6,1.314
61.77E-6,1.322
61.83E-6,1.330
61.87E-6,1.336
61.92E-6,1.341
61.95E-6,1.346
61.98E-6,1.349
62.00E-6,1.353
62.01E-6,1.352
62.01E-6,1.352
62.02E-6,1.352
62.03E-6,1.351
62.04E-6,1.351
62.06E-6,1.350
62.07E-6,1.349
62.09E-6,1.348
62.11E-6,1.348
62.12E-6,1.347
62.14E-6,1.346
62.17E-6,1.345
62.19E-6,1.344
62.22E-6,1.342
62.25E-6,1.341
62.30E-6,1.339
62.34E-6,1.337
62.42E-6,1.333
62.49E-6,1.330
62.56E-6,1.327
62.64E-6,1.323
62.72E-6,1.320
62.87E-6,1.314
62.98E-6,1.309
63.12E-6,1.303
63.28E-6,1.297
63.47E-6,1.291
63.55E-6,1.288
63.64E-6,1.285
63.71E-6,1.283
63.77E-6,1.282
63.82E-6,1.280
63.88E-6,1.279
63.93E-6,1.278
63.99E-6,1.276
64.05E-6,1.275
64.14E-6,1.273
64.25E-6,1.271
64.39E-6,1.269
64.56E-6,1.268
64.82E-6,1.266
65.00E-6,1.265
65.13E-6,1.265
65.26E-6,1.265
65.40E-6,1.265
65.57E-6,1.265
65.77E-6,1.265
66.00E-6,1.265
66.28E-6,1.265
66.64E-6,1.264
67.15E-6,1.264
67.36E-6,1.264
