time (s),leafValue( VT("/VOUT") "temperature" 125 ) (V)
0.000,1.096
200.0E-9,1.096
600.0E-9,1.096
1.094E-6,1.096
1.791E-6,1.096
3.187E-6,1.096
5.187E-6,1.096
7.187E-6,1.096
8.593E-6,1.096
10.00E-6,1.096
10.00E-6,1.095
10.01E-6,1.094
10.01E-6,1.092
10.02E-6,1.089
10.03E-6,1.086
10.05E-6,1.082
10.07E-6,1.076
10.10E-6,1.065
10.17E-6,1.047
10.23E-6,1.029
10.28E-6,1.014
10.33E-6,1.001
10.38E-6,989.3E-3
10.42E-6,978.7E-3
10.47E-6,968.7E-3
10.54E-6,958.7E-3
10.64E-6,946.7E-3
10.72E-6,940.1E-3
10.78E-6,936.8E-3
10.84E-6,934.6E-3
10.91E-6,933.3E-3
10.95E-6,932.8E-3
11.00E-6,932.7E-3
11.01E-6,934.0E-3
11.01E-6,935.3E-3
11.02E-6,937.2E-3
11.04E-6,940.8E-3
11.06E-6,944.1E-3
11.09E-6,948.6E-3
11.13E-6,957.4E-3
11.22E-6,972.8E-3
11.33E-6,990.8E-3
11.45E-6,1.008
11.59E-6,1.025
11.66E-6,1.033
11.79E-6,1.046
11.95E-6,1.058
12.08E-6,1.066
12.22E-6,1.072
12.35E-6,1.077
12.48E-6,1.081
12.61E-6,1.084
12.76E-6,1.087
12.92E-6,1.089
13.09E-6,1.091
13.27E-6,1.092
13.48E-6,1.093
13.70E-6,1.093
13.96E-6,1.094
14.26E-6,1.094
14.61E-6,1.094
15.03E-6,1.094
15.56E-6,1.094
16.26E-6,1.094
17.28E-6,1.094
18.41E-6,1.094
19.62E-6,1.094
20.98E-6,1.094
22.50E-6,1.094
24.19E-6,1.094
26.12E-6,1.093
28.12E-6,1.093
30.12E-6,1.093
32.12E-6,1.093
34.12E-6,1.093
36.12E-6,1.093
38.12E-6,1.093
40.12E-6,1.093
42.12E-6,1.093
44.12E-6,1.093
46.12E-6,1.093
48.12E-6,1.093
50.12E-6,1.093
52.12E-6,1.093
54.12E-6,1.093
56.12E-6,1.093
58.12E-6,1.093
59.56E-6,1.093
61.00E-6,1.093
61.02E-6,1.096
61.04E-6,1.100
61.07E-6,1.105
61.11E-6,1.110
61.15E-6,1.116
61.24E-6,1.127
61.33E-6,1.136
61.42E-6,1.144
61.51E-6,1.151
61.60E-6,1.157
61.70E-6,1.163
61.80E-6,1.169
61.89E-6,1.174
61.95E-6,1.178
62.00E-6,1.181
62.01E-6,1.180
62.01E-6,1.179
62.02E-6,1.178
62.04E-6,1.176
62.06E-6,1.174
62.08E-6,1.171
62.13E-6,1.165
62.20E-6,1.158
62.29E-6,1.151
62.37E-6,1.145
62.46E-6,1.140
62.56E-6,1.136
62.66E-6,1.132
62.77E-6,1.128
62.89E-6,1.125
63.03E-6,1.122
63.17E-6,1.120
63.34E-6,1.118
63.52E-6,1.116
63.73E-6,1.114
63.93E-6,1.113
64.17E-6,1.112
64.44E-6,1.111
64.76E-6,1.110
65.14E-6,1.110
65.59E-6,1.110
66.12E-6,1.109
66.75E-6,1.109
67.53E-6,1.109
68.22E-6,1.109
68.92E-6,1.109
69.84E-6,1.109
70.58E-6,1.108
71.31E-6,1.108
72.16E-6,1.108
73.29E-6,1.108
75.14E-6,1.108
77.14E-6,1.108
79.14E-6,1.108
81.14E-6,1.107
83.14E-6,1.107
85.14E-6,1.107
87.14E-6,1.107
89.14E-6,1.107
91.14E-6,1.106
93.14E-6,1.106
95.14E-6,1.106
97.14E-6,1.106
99.14E-6,1.106
101.1E-6,1.105
103.1E-6,1.105
105.1E-6,1.105
105.6E-6,1.105
106.6E-6,1.105
108.6E-6,1.105
110.0E-6,1.105
110.0E-6,1.103
110.0E-6,1.101
110.0E-6,1.096
110.0E-6,1.093
110.1E-6,1.088
110.1E-6,1.081
110.1E-6,1.069
110.2E-6,1.048
110.3E-6,1.011
110.4E-6,987.2E-3
110.5E-6,964.6E-3
110.5E-6,947.9E-3
110.6E-6,936.2E-3
110.6E-6,926.3E-3
110.7E-6,917.0E-3
110.8E-6,907.0E-3
110.8E-6,899.6E-3
110.9E-6,896.7E-3
111.0E-6,895.5E-3
111.0E-6,895.0E-3
111.0E-6,896.4E-3
111.0E-6,897.9E-3
111.0E-6,899.9E-3
111.0E-6,903.8E-3
111.1E-6,907.4E-3
111.1E-6,912.4E-3
111.1E-6,922.2E-3
111.2E-6,940.5E-3
111.3E-6,959.5E-3
111.4E-6,977.5E-3
111.6E-6,995.1E-3
111.7E-6,1.013
111.8E-6,1.031
111.9E-6,1.039
112.1E-6,1.051
112.2E-6,1.062
112.4E-6,1.070
112.5E-6,1.076
112.6E-6,1.080
112.8E-6,1.084
113.0E-6,1.087
113.1E-6,1.089
113.3E-6,1.091
113.5E-6,1.092
113.7E-6,1.093
113.9E-6,1.093
114.2E-6,1.094
114.6E-6,1.094
115.0E-6,1.094
115.5E-6,1.094
116.1E-6,1.094
116.9E-6,1.094
118.0E-6,1.094
119.2E-6,1.094
120.5E-6,1.094
121.9E-6,1.094
123.5E-6,1.094
125.3E-6,1.093
127.3E-6,1.093
129.3E-6,1.093
131.3E-6,1.093
133.3E-6,1.093
135.3E-6,1.093
137.3E-6,1.093
139.3E-6,1.093
141.3E-6,1.093
143.3E-6,1.093
145.3E-6,1.093
147.3E-6,1.093
149.3E-6,1.093
151.3E-6,1.093
153.3E-6,1.093
155.3E-6,1.093
157.3E-6,1.093
159.3E-6,1.093
161.0E-6,1.093
161.0E-6,1.096
161.0E-6,1.100
161.1E-6,1.106
161.1E-6,1.111
161.2E-6,1.117
161.3E-6,1.128
161.4E-6,1.138
161.4E-6,1.146
161.5E-6,1.154
161.6E-6,1.160
161.8E-6,1.166
161.9E-6,1.172
161.9E-6,1.177
162.0E-6,1.181
162.0E-6,1.180
162.0E-6,1.178
162.0E-6,1.177
162.0E-6,1.174
162.1E-6,1.172
162.1E-6,1.168
162.2E-6,1.162
162.2E-6,1.154
162.3E-6,1.147
162.4E-6,1.142
162.5E-6,1.137
162.6E-6,1.132
162.8E-6,1.128
162.9E-6,1.125
163.0E-6,1.122
163.2E-6,1.119
163.4E-6,1.117
163.6E-6,1.115
163.8E-6,1.114
164.0E-6,1.113
164.3E-6,1.112
164.6E-6,1.111
164.9E-6,1.110
165.3E-6,1.110
165.8E-6,1.109
166.4E-6,1.109
167.2E-6,1.109
168.0E-6,1.109
168.7E-6,1.109
169.6E-6,1.109
170.4E-6,1.109
171.1E-6,1.108
171.9E-6,1.108
172.9E-6,1.108
174.5E-6,1.108
176.5E-6,1.108
178.5E-6,1.108
180.5E-6,1.107
182.5E-6,1.107
184.5E-6,1.107
186.5E-6,1.107
188.5E-6,1.107
190.5E-6,1.107
