freq (Hz),Loop Gain Phase (deg),Loop Gain dB20 (dB)
10.00,179.7,71.95
11.22,179.7,71.95
12.59,179.7,71.95
14.13,179.6,71.95
15.85,179.6,71.95
17.78,179.5,71.95
19.95,179.5,71.95
22.39,179.4,71.95
25.12,179.3,71.95
28.18,179.2,71.95
31.62,179.1,71.95
35.48,179.0,71.95
39.81,178.9,71.95
44.67,178.8,71.95
50.12,178.6,71.95
56.23,178.5,71.95
63.10,178.3,71.95
70.79,178.1,71.95
79.43,177.8,71.94
89.13,177.6,71.94
100.0,177.3,71.94
112.2,176.9,71.94
125.9,176.5,71.94
141.3,176.1,71.93
158.5,175.6,71.93
177.8,175.1,71.92
199.5,174.5,71.91
223.9,173.9,71.90
251.2,173.1,71.89
281.8,172.3,71.87
316.2,171.4,71.85
354.8,170.3,71.83
398.1,169.2,71.80
446.7,167.9,71.76
501.2,166.5,71.71
562.3,164.9,71.65
631.0,163.2,71.57
707.9,161.2,71.48
794.3,159.1,71.36
891.3,156.8,71.22
1.000E3,154.4,71.05
1.122E3,151.7,70.85
1.259E3,148.9,70.60
1.413E3,145.9,70.31
1.585E3,142.7,69.97
1.778E3,139.5,69.58
1.995E3,136.2,69.13
2.239E3,132.9,68.62
2.512E3,129.7,68.05
2.818E3,126.5,67.43
3.162E3,123.4,66.76
3.548E3,120.4,66.04
3.981E3,117.6,65.28
4.467E3,115.0,64.47
5.012E3,112.6,63.64
5.623E3,110.3,62.77
6.310E3,108.3,61.88
7.079E3,106.4,60.97
7.943E3,104.7,60.04
8.913E3,103.1,59.10
10.00E3,101.7,58.14
11.22E3,100.5,57.18
12.59E3,99.35,56.21
14.13E3,98.34,55.23
15.85E3,97.43,54.25
17.78E3,96.61,53.27
19.95E3,95.88,52.28
22.39E3,95.23,51.29
25.12E3,94.64,50.30
28.18E3,94.12,49.30
31.62E3,93.65,48.31
35.48E3,93.22,47.31
39.81E3,92.84,46.32
44.67E3,92.50,45.32
50.12E3,92.19,44.32
56.23E3,91.90,43.32
63.10E3,91.65,42.32
70.79E3,91.41,41.32
79.43E3,91.19,40.33
89.13E3,90.99,39.33
100.0E3,90.81,38.33
112.2E3,90.63,37.33
125.9E3,90.46,36.33
141.3E3,90.30,35.33
158.5E3,90.14,34.33
177.8E3,89.98,33.33
199.5E3,89.82,32.33
223.9E3,89.66,31.33
251.2E3,89.50,30.33
281.8E3,89.33,29.33
316.2E3,89.15,28.33
354.8E3,88.96,27.33
398.1E3,88.75,26.33
446.7E3,88.53,25.33
501.2E3,88.29,24.33
562.3E3,88.03,23.32
631.0E3,87.74,22.32
707.9E3,87.42,21.32
794.3E3,87.06,20.32
891.3E3,86.67,19.32
1.000E6,86.24,18.32
1.122E6,85.75,17.31
1.259E6,85.21,16.31
1.413E6,84.60,15.30
1.585E6,83.93,14.30
1.778E6,83.17,13.29
1.995E6,82.32,12.28
2.239E6,81.38,11.26
2.512E6,80.32,10.25
2.818E6,79.15,9.226
3.162E6,77.83,8.200
3.548E6,76.36,7.167
3.981E6,74.72,6.126
4.467E6,72.89,5.075
5.012E6,70.86,4.011
5.623E6,68.61,2.932
6.310E6,66.11,1.833
7.079E6,63.36,711.2E-3
7.943E6,60.34,-438.8E-3
8.913E6,57.03,-1.622
10.00E6,53.43,-2.846
11.22E6,49.54,-4.116
12.59E6,45.35,-5.441
14.13E6,40.89,-6.827
15.85E6,36.17,-8.282
17.78E6,31.22,-9.814
19.95E6,26.09,-11.43
22.39E6,20.81,-13.13
25.12E6,15.44,-14.93
28.18E6,10.04,-16.83
31.62E6,4.651,-18.83
35.48E6,-653.4E-3,-20.93
39.81E6,-5.807,-23.14
44.67E6,-10.73,-25.47
50.12E6,-15.33,-27.92
56.23E6,-19.48,-30.49
63.10E6,-23.01,-33.20
70.79E6,-25.66,-36.04
79.43E6,-27.07,-39.02
89.13E6,-26.71,-42.11
100.0E6,-23.88,-45.22
112.2E6,-18.02,-48.19
125.9E6,-9.415,-50.73
141.3E6,26.54E-3,-52.60
158.5E6,7.737,-53.86
177.8E6,12.38,-54.78
199.5E6,14.09,-55.62
223.9E6,13.56,-56.52
251.2E6,11.44,-57.51
281.8E6,8.254,-58.61
316.2E6,4.337,-59.81
354.8E6,-66.55E-3,-61.08
398.1E6,-4.788,-62.41
446.7E6,-9.705,-63.78
501.2E6,-14.72,-65.17
562.3E6,-19.77,-66.56
631.0E6,-24.78,-67.94
707.9E6,-29.69,-69.30
794.3E6,-34.46,-70.64
891.3E6,-39.05,-71.95
1.000E9,-43.40,-73.22
