freq (Hz),Loop Gain Phase (deg),Loop Gain dB20 (dB)
10.00,179.4,68.45
11.22,179.3,68.45
12.59,179.2,68.45
14.13,179.1,68.45
15.85,179.0,68.45
17.78,178.9,68.45
19.95,178.8,68.45
22.39,178.6,68.45
25.12,178.5,68.45
28.18,178.3,68.45
31.62,178.1,68.44
35.48,177.9,68.44
39.81,177.6,68.44
44.67,177.3,68.44
50.12,177.0,68.44
56.23,176.6,68.43
63.10,176.2,68.43
70.79,175.7,68.43
79.43,175.2,68.42
89.13,174.6,68.41
100.0,174.0,68.40
112.2,173.2,68.39
125.9,172.4,68.37
141.3,171.5,68.35
158.5,170.5,68.33
177.8,169.4,68.30
199.5,168.1,68.26
223.9,166.7,68.21
251.2,165.2,68.15
281.8,163.4,68.08
316.2,161.5,67.99
354.8,159.5,67.88
398.1,157.2,67.74
446.7,154.8,67.58
501.2,152.1,67.38
562.3,149.3,67.14
631.0,146.3,66.86
707.9,143.2,66.52
794.3,140.0,66.14
891.3,136.8,65.70
1.000E3,133.5,65.20
1.122E3,130.2,64.64
1.259E3,127.0,64.03
1.413E3,123.9,63.37
1.585E3,120.9,62.66
1.778E3,118.1,61.90
1.995E3,115.4,61.10
2.239E3,112.9,60.27
2.512E3,110.7,59.41
2.818E3,108.6,58.52
3.162E3,106.7,57.61
3.548E3,105.0,56.68
3.981E3,103.4,55.74
4.467E3,102.0,54.79
5.012E3,100.7,53.83
5.623E3,99.56,52.86
6.310E3,98.54,51.89
7.079E3,97.62,50.91
7.943E3,96.80,49.92
8.913E3,96.06,48.93
10.00E3,95.41,47.94
11.22E3,94.82,46.95
12.59E3,94.30,45.96
14.13E3,93.83,44.96
15.85E3,93.41,43.97
17.78E3,93.04,42.97
19.95E3,92.71,41.97
22.39E3,92.41,40.98
25.12E3,92.14,39.98
28.18E3,91.91,38.98
31.62E3,91.70,37.98
35.48E3,91.51,36.98
39.81E3,91.34,35.98
44.67E3,91.19,34.98
50.12E3,91.05,33.98
56.23E3,90.93,32.98
63.10E3,90.82,31.98
70.79E3,90.72,30.98
79.43E3,90.63,29.98
89.13E3,90.55,28.98
100.0E3,90.47,27.98
112.2E3,90.40,26.98
125.9E3,90.34,25.99
141.3E3,90.28,24.99
158.5E3,90.22,23.99
177.8E3,90.17,22.99
199.5E3,90.12,21.99
223.9E3,90.07,20.99
251.2E3,90.02,19.99
281.8E3,89.97,18.99
316.2E3,89.92,17.99
354.8E3,89.87,16.99
398.1E3,89.82,15.99
446.7E3,89.76,14.99
501.2E3,89.70,13.99
562.3E3,89.64,12.99
631.0E3,89.57,11.99
707.9E3,89.50,10.99
794.3E3,89.42,9.986
891.3E3,89.33,8.986
1.000E6,89.23,7.986
1.122E6,89.13,6.986
1.259E6,89.01,5.986
1.413E6,88.88,4.985
1.585E6,88.73,3.985
1.778E6,88.57,2.984
1.995E6,88.38,1.984
2.239E6,88.18,982.8E-3
2.512E6,87.95,-18.35E-3
2.818E6,87.70,-1.020
3.162E6,87.41,-2.022
3.548E6,87.09,-3.024
3.981E6,86.74,-4.027
4.467E6,86.34,-5.030
5.012E6,85.89,-6.034
5.623E6,85.39,-7.040
6.310E6,84.83,-8.047
7.079E6,84.20,-9.055
7.943E6,83.49,-10.07
8.913E6,82.71,-11.08
10.00E6,81.83,-12.10
11.22E6,80.85,-13.12
12.59E6,79.76,-14.14
14.13E6,78.54,-15.17
15.85E6,77.19,-16.21
17.78E6,75.68,-17.26
19.95E6,74.01,-18.32
22.39E6,72.15,-19.40
25.12E6,70.10,-20.49
28.18E6,67.83,-21.60
31.62E6,65.33,-22.74
35.48E6,62.59,-23.90
39.81E6,59.62,-25.11
44.67E6,56.41,-26.37
50.12E6,52.99,-27.69
56.23E6,49.41,-29.07
63.10E6,45.75,-30.52
70.79E6,42.11,-32.06
79.43E6,38.59,-33.67
89.13E6,35.32,-35.35
100.0E6,32.39,-37.08
112.2E6,29.85,-38.85
125.9E6,27.66,-40.62
141.3E6,25.76,-42.37
158.5E6,24.01,-44.10
177.8E6,22.28,-45.80
199.5E6,20.44,-47.47
223.9E6,18.42,-49.13
251.2E6,16.18,-50.78
281.8E6,13.71,-52.43
316.2E6,11.04,-54.09
354.8E6,8.199,-55.76
398.1E6,5.224,-57.44
446.7E6,2.154,-59.13
501.2E6,-977.9E-3,-60.81
562.3E6,-4.139,-62.48
631.0E6,-7.296,-64.14
707.9E6,-10.42,-65.76
794.3E6,-13.47,-67.35
891.3E6,-16.41,-68.90
1.000E9,-19.19,-70.39
