freq (Hz),db20(VF("/VOUT")/VF("/VIN")) (dB)
10.00,-27.19
11.22,-27.19
12.59,-27.19
14.13,-27.19
15.85,-27.19
17.78,-27.19
19.95,-27.19
22.39,-27.19
25.12,-27.19
28.18,-27.19
31.62,-27.19
35.48,-27.19
39.81,-27.19
44.67,-27.19
50.12,-27.19
56.23,-27.19
63.10,-27.19
70.79,-27.19
79.43,-27.20
89.13,-27.20
100.0,-27.20
112.2,-27.20
125.9,-27.21
141.3,-27.21
158.5,-27.22
177.8,-27.23
199.5,-27.24
223.9,-27.25
251.2,-27.26
281.8,-27.28
316.2,-27.31
354.8,-27.34
398.1,-27.37
446.7,-27.42
501.2,-27.48
562.3,-27.55
631.0,-27.64
707.9,-27.75
794.3,-27.88
891.3,-28.05
1.000E3,-28.24
1.122E3,-28.48
1.259E3,-28.76
1.413E3,-29.09
1.585E3,-29.47
1.778E3,-29.91
1.995E3,-30.40
2.239E3,-30.95
2.512E3,-31.56
2.818E3,-32.22
3.162E3,-32.93
3.548E3,-33.68
3.981E3,-34.48
4.467E3,-35.31
5.012E3,-36.17
5.623E3,-37.06
6.310E3,-37.96
7.079E3,-38.89
7.943E3,-39.83
8.913E3,-40.78
10.00E3,-41.74
11.22E3,-42.71
12.59E3,-43.68
14.13E3,-44.66
15.85E3,-45.64
17.78E3,-46.63
19.95E3,-47.62
22.39E3,-48.61
25.12E3,-49.60
28.18E3,-50.60
31.62E3,-51.59
35.48E3,-52.59
39.81E3,-53.58
44.67E3,-54.58
50.12E3,-55.57
56.23E3,-56.57
63.10E3,-57.56
70.79E3,-58.55
79.43E3,-59.54
89.13E3,-60.53
100.0E3,-61.52
112.2E3,-62.50
125.9E3,-63.49
141.3E3,-64.46
158.5E3,-65.44
177.8E3,-66.41
199.5E3,-67.38
223.9E3,-68.34
251.2E3,-69.30
281.8E3,-70.26
316.2E3,-71.22
354.8E3,-72.18
398.1E3,-73.14
446.7E3,-74.10
501.2E3,-75.06
562.3E3,-76.04
631.0E3,-77.02
707.9E3,-78.00
794.3E3,-78.99
891.3E3,-80.00
1.000E6,-81.01
1.122E6,-82.02
1.259E6,-83.05
1.413E6,-84.08
1.585E6,-85.12
1.778E6,-86.16
1.995E6,-87.18
2.239E6,-88.18
2.512E6,-89.13
2.818E6,-89.98
3.162E6,-90.66
3.548E6,-91.12
3.981E6,-91.29
4.467E6,-91.14
5.012E6,-90.71
5.623E6,-90.05
6.310E6,-89.24
7.079E6,-88.34
7.943E6,-87.39
8.913E6,-86.41
10.00E6,-85.42
11.22E6,-84.44
12.59E6,-83.44
14.13E6,-82.45
15.85E6,-81.44
17.78E6,-80.42
19.95E6,-79.39
22.39E6,-78.33
25.12E6,-77.26
28.18E6,-76.19
31.62E6,-75.11
35.48E6,-74.04
39.81E6,-72.99
44.67E6,-71.97
50.12E6,-70.97
56.23E6,-70.00
63.10E6,-69.06
70.79E6,-68.13
79.43E6,-67.21
89.13E6,-66.30
100.0E6,-65.37
