freq (Hz),db20(VF("/VOUT")/VF("/VIN")) (dB)
10.00,1.464
11.22,1.464
12.59,1.464
14.13,1.464
15.85,1.464
17.78,1.464
19.95,1.464
22.39,1.464
25.12,1.464
28.18,1.464
31.62,1.464
35.48,1.464
39.81,1.464
44.67,1.464
50.12,1.464
56.23,1.465
63.10,1.465
70.79,1.465
79.43,1.465
89.13,1.466
100.0,1.466
112.2,1.467
125.9,1.468
141.3,1.469
158.5,1.471
177.8,1.472
199.5,1.475
223.9,1.477
251.2,1.481
281.8,1.485
316.2,1.491
354.8,1.498
398.1,1.507
446.7,1.518
501.2,1.532
562.3,1.550
631.0,1.572
707.9,1.600
794.3,1.636
891.3,1.681
1.000E3,1.738
1.122E3,1.811
1.259E3,1.903
1.413E3,2.020
1.585E3,2.170
1.778E3,2.362
1.995E3,2.609
2.239E3,2.931
2.512E3,3.353
2.818E3,3.912
3.162E3,4.667
3.548E3,5.712
3.981E3,7.207
4.467E3,9.447
5.012E3,12.88
5.623E3,15.53
6.310E3,10.72
7.079E3,5.325
7.943E3,1.117
8.913E3,-2.358
10.00E3,-5.390
11.22E3,-8.136
12.59E3,-10.69
14.13E3,-13.10
15.85E3,-15.42
17.78E3,-17.66
19.95E3,-19.85
22.39E3,-21.99
25.12E3,-24.10
28.18E3,-26.18
31.62E3,-28.24
35.48E3,-30.29
39.81E3,-32.32
44.67E3,-34.33
50.12E3,-36.33
56.23E3,-38.32
63.10E3,-40.30
70.79E3,-42.26
79.43E3,-44.20
89.13E3,-46.13
100.0E3,-48.04
112.2E3,-49.93
125.9E3,-51.78
141.3E3,-53.60
158.5E3,-55.38
177.8E3,-57.12
199.5E3,-58.80
223.9E3,-60.42
251.2E3,-61.97
281.8E3,-63.45
316.2E3,-64.85
354.8E3,-66.16
398.1E3,-67.38
446.7E3,-68.50
501.2E3,-69.53
562.3E3,-70.47
631.0E3,-71.30
707.9E3,-72.05
794.3E3,-72.71
891.3E3,-73.28
1.000E6,-73.77
1.122E6,-74.18
1.259E6,-74.53
1.413E6,-74.82
1.585E6,-75.06
1.778E6,-75.26
1.995E6,-75.41
2.239E6,-75.53
2.512E6,-75.61
2.818E6,-75.67
3.162E6,-75.71
3.548E6,-75.72
3.981E6,-75.71
4.467E6,-75.68
5.012E6,-75.62
5.623E6,-75.54
6.310E6,-75.44
7.079E6,-75.30
7.943E6,-75.13
8.913E6,-74.92
10.00E6,-74.67
11.22E6,-74.39
12.59E6,-74.06
14.13E6,-73.69
15.85E6,-73.27
17.78E6,-72.82
19.95E6,-72.32
22.39E6,-71.79
25.12E6,-71.22
28.18E6,-70.61
31.62E6,-69.96
35.48E6,-69.27
39.81E6,-68.54
44.67E6,-67.77
50.12E6,-66.95
56.23E6,-66.09
63.10E6,-65.19
70.79E6,-64.26
79.43E6,-63.30
89.13E6,-62.32
100.0E6,-61.32
