time (s),/VOUT (V),/VIN (V)
0.000,1.201,1.800
50.00E-9,1.201,1.800
150.0E-9,1.201,1.800
350.0E-9,1.201,1.800
750.0E-9,1.201,1.800
1.550E-6,1.201,1.800
2.550E-6,1.201,1.800
3.550E-6,1.201,1.800
4.550E-6,1.201,1.800
5.550E-6,1.201,1.800
6.550E-6,1.201,1.800
7.550E-6,1.201,1.800
8.550E-6,1.201,1.800
9.275E-6,1.201,1.800
10.00E-6,1.201,1.800
10.03E-6,1.194,1.800
10.06E-6,1.184,1.800
10.10E-6,1.173,1.800
10.14E-6,1.172,1.800
10.17E-6,1.172,1.800
10.21E-6,1.174,1.800
10.25E-6,1.177,1.800
10.34E-6,1.184,1.800
10.44E-6,1.191,1.800
10.60E-6,1.198,1.800
10.73E-6,1.201,1.800
10.85E-6,1.202,1.800
10.98E-6,1.202,1.800
11.15E-6,1.201,1.800
11.37E-6,1.201,1.800
11.69E-6,1.200,1.800
12.33E-6,1.200,1.800
12.83E-6,1.200,1.800
13.43E-6,1.200,1.800
14.24E-6,1.200,1.800
15.24E-6,1.200,1.800
16.24E-6,1.200,1.800
17.24E-6,1.200,1.800
18.24E-6,1.200,1.800
19.24E-6,1.200,1.800
20.24E-6,1.200,1.800
21.24E-6,1.200,1.800
22.24E-6,1.200,1.800
23.24E-6,1.200,1.800
24.24E-6,1.200,1.800
25.24E-6,1.200,1.800
26.24E-6,1.200,1.800
27.24E-6,1.200,1.800
28.24E-6,1.200,1.800
29.24E-6,1.200,1.800
30.10E-6,1.200,1.800
30.13E-6,1.206,1.800
30.16E-6,1.214,1.800
30.20E-6,1.221,1.800
30.25E-6,1.218,1.800
30.30E-6,1.215,1.800
30.35E-6,1.213,1.800
30.44E-6,1.210,1.800
30.57E-6,1.208,1.800
30.68E-6,1.208,1.800
30.81E-6,1.207,1.800
30.94E-6,1.207,1.800
31.04E-6,1.207,1.800
31.16E-6,1.207,1.800
31.29E-6,1.207,1.800
31.41E-6,1.207,1.800
31.57E-6,1.207,1.800
31.85E-6,1.207,1.800
32.43E-6,1.207,1.800
33.43E-6,1.207,1.800
34.43E-6,1.207,1.800
35.43E-6,1.207,1.800
36.43E-6,1.207,1.800
37.43E-6,1.207,1.800
38.43E-6,1.207,1.800
39.43E-6,1.207,1.800
40.43E-6,1.207,1.800
41.43E-6,1.207,1.800
42.43E-6,1.207,1.800
43.43E-6,1.207,1.800
44.43E-6,1.207,1.800
45.43E-6,1.207,1.800
46.43E-6,1.207,1.800
47.43E-6,1.207,1.800
48.43E-6,1.207,1.800
49.21E-6,1.207,1.800
50.00E-6,1.207,1.800
