time (s),/VIN (V),/VOUT (V)
0.000,1.800,1.200
50.00E-9,1.800,1.200
150.0E-9,1.800,1.200
350.0E-9,1.800,1.200
750.0E-9,1.800,1.200
1.550E-6,1.800,1.200
2.550E-6,1.800,1.200
3.550E-6,1.800,1.200
4.550E-6,1.800,1.200
5.550E-6,1.800,1.200
6.550E-6,1.800,1.200
7.550E-6,1.800,1.200
8.550E-6,1.800,1.200
9.275E-6,1.800,1.200
10.00E-6,1.800,1.200
10.03E-6,1.800,1.194
10.06E-6,1.800,1.183
10.08E-6,1.800,1.178
10.10E-6,1.800,1.173
10.11E-6,1.800,1.172
10.13E-6,1.800,1.171
10.15E-6,1.800,1.170
10.16E-6,1.800,1.170
10.17E-6,1.800,1.169
10.17E-6,1.800,1.169
10.18E-6,1.800,1.169
10.19E-6,1.800,1.168
10.21E-6,1.800,1.167
10.23E-6,1.800,1.166
10.26E-6,1.800,1.165
10.29E-6,1.800,1.163
10.33E-6,1.800,1.161
10.39E-6,1.800,1.158
10.53E-6,1.800,1.151
10.76E-6,1.800,1.141
11.07E-6,1.800,1.133
11.39E-6,1.800,1.137
11.75E-6,1.800,1.151
12.15E-6,1.800,1.172
12.28E-6,1.800,1.179
12.53E-6,1.800,1.191
12.61E-6,1.800,1.195
12.76E-6,1.800,1.201
12.80E-6,1.800,1.202
12.88E-6,1.800,1.205
12.94E-6,1.800,1.207
13.04E-6,1.800,1.209
13.13E-6,1.800,1.211
13.15E-6,1.800,1.212
13.20E-6,1.800,1.213
13.20E-6,1.800,1.213
13.22E-6,1.800,1.213
13.23E-6,1.800,1.213
13.25E-6,1.800,1.214
13.29E-6,1.800,1.214
13.33E-6,1.800,1.215
13.39E-6,1.800,1.216
13.47E-6,1.800,1.216
13.62E-6,1.800,1.217
13.90E-6,1.800,1.218
14.32E-6,1.800,1.215
14.94E-6,1.800,1.208
15.13E-6,1.800,1.205
15.51E-6,1.800,1.201
15.67E-6,1.800,1.199
15.89E-6,1.800,1.198
16.05E-6,1.800,1.197
16.21E-6,1.800,1.196
16.40E-6,1.800,1.195
16.57E-6,1.800,1.195
16.61E-6,1.800,1.195
16.70E-6,1.800,1.195
16.77E-6,1.800,1.195
16.79E-6,1.800,1.195
16.83E-6,1.800,1.195
16.90E-6,1.800,1.195
16.99E-6,1.800,1.195
17.18E-6,1.800,1.196
17.39E-6,1.800,1.196
17.81E-6,1.800,1.198
18.06E-6,1.800,1.199
18.43E-6,1.800,1.200
18.70E-6,1.800,1.200
18.94E-6,1.800,1.201
19.23E-6,1.800,1.201
19.50E-6,1.800,1.201
19.79E-6,1.800,1.201
20.14E-6,1.800,1.201
20.53E-6,1.800,1.201
20.91E-6,1.800,1.200
21.38E-6,1.800,1.200
21.77E-6,1.800,1.200
22.22E-6,1.800,1.199
22.65E-6,1.800,1.199
23.18E-6,1.800,1.200
23.76E-6,1.800,1.200
24.44E-6,1.800,1.200
25.17E-6,1.800,1.200
25.80E-6,1.800,1.200
26.53E-6,1.800,1.200
27.47E-6,1.800,1.200
28.47E-6,1.800,1.200
29.28E-6,1.800,1.200
30.10E-6,1.800,1.200
30.13E-6,1.800,1.206
30.16E-6,1.800,1.214
30.20E-6,1.800,1.223
30.21E-6,1.800,1.224
30.21E-6,1.800,1.224
30.22E-6,1.800,1.224
30.23E-6,1.800,1.224
30.24E-6,1.800,1.224
30.25E-6,1.800,1.225
30.27E-6,1.800,1.225
30.30E-6,1.800,1.225
30.34E-6,1.800,1.226
30.38E-6,1.800,1.227
30.46E-6,1.800,1.228
30.62E-6,1.800,1.229
30.92E-6,1.800,1.230
31.51E-6,1.800,1.230
32.24E-6,1.800,1.230
33.24E-6,1.800,1.230
33.49E-6,1.800,1.230
33.99E-6,1.800,1.230
34.12E-6,1.800,1.230
34.40E-6,1.800,1.230
34.79E-6,1.800,1.230
35.26E-6,1.800,1.230
35.75E-6,1.800,1.230
36.40E-6,1.800,1.230
37.40E-6,1.800,1.230
38.40E-6,1.800,1.230
39.40E-6,1.800,1.230
40.40E-6,1.800,1.230
41.40E-6,1.800,1.229
42.40E-6,1.800,1.229
43.40E-6,1.800,1.229
44.40E-6,1.800,1.229
45.40E-6,1.800,1.229
46.40E-6,1.800,1.229
47.40E-6,1.800,1.229
48.40E-6,1.800,1.229
49.20E-6,1.800,1.229
50.00E-6,1.800,1.229
